Pollster,Pollster Rating ID,# of Polls,NCPP / AAPOR / Roper,Live Caller With Cellphones,Methodology,Banned by 538,Historical Advanced Plus-Minus,Predictive    Plus-Minus,538 Grade,Mean-Reverted Bias,Races Called Correctly,Misses Outside MOE,Simple Average Error,Simple Expected Error,Simple Plus-Minus,Advanced Plus-Minus,Mean-Reverted Advanced Plus Minus,Predictive Plus-Minus,# of Polls for Bias Analysis,Bias,Mean-Reverted Bias,House Effect,Average Distance from Polling Average (ADPA),Herding Penalty
Monmouth University,215,100,yes,yes,Live,no,-1.9,-1.5,A+,D +1.3,80%,21%,5.2,6.5,-1.1,-1.9,-1.6,-1.5,70,D +1.8,D +1.3,R +0.5,5.1,0.2
Selzer & Co.,304,44,yes,yes,Live,no,-1.9,-1.4,A+,D +0.1,84%,25%,4.2,5.7,-1.3,-1.9,-1.1,-1.4,31,D +0.1,D +0.1,D +0.2,5,0
ABC News/Washington Post,3,63,yes,yes,Live,no,-1.5,-1.3,A+,D +0.6,79%,5%,2.8,4.6,-1.7,-1.5,-1.1,-1.3,58,D +0.9,D +0.6,D +1.5,3.8,0.02
Elway Research,87,21,yes,yes,Live,no,-2.5,-1.2,A/B°,D +0.5,90%,5%,3.9,6.3,-2.2,-2.5,-1,-1.2,20,D +1.2,D +0.5,D +3.7,4.5,0.37
Field Research Corp. (Field Poll),94,25,yes,yes,Live,no,-2,-1.2,A/B°,R +1.0,100%,16%,3.9,5.5,-1.5,-2,-0.8,-1.2,18,R +3.3,R +1.0,D +0.6,4.7,0
IBD/TIPP,144,22,yes,yes,Live,no,-2,-1.1,A/B°,R +0.8,73%,5%,2.1,4,-1.7,-2,-0.9,-1.1,22,R +1.8,R +0.8,R +1.3,3.4,0.23
Muhlenberg College,219,29,yes,yes,Live,no,-2.2,-1,A+,R +0.2,84%,7%,3.4,6,-2.5,-2.2,-1.2,-1,28,R +0.4,R +0.2,D +0.2,3.9,0.84
Marquette University Law School,195,11,yes,yes,Live,no,-2.4,-1,A/B°,D +0.3,77%,9%,2.8,5.6,-2.6,-2.4,-0.8,-1,8,D +1.0,D +0.3,R +0.2,4.9,0
Siena College/New York Times Upshot,448,57,yes,yes,Live,no,-1.3,-1,A+,R +0.3,69%,11%,3.9,5.7,-1.7,-1.3,-1,-1,57,R +0.4,R +0.3,D +0.4,4.2,0.21
Marist College,183,172,yes,yes,Live,no,-1.1,-1,A+,R +0.2,84%,24%,5.2,6.3,-1,-1.1,-0.9,-1,111,R +0.2,R +0.2,R +0.0,5.1,0.03
Data Orbital,73,8,yes,yes,Live,no,-2.8,-0.9,A/B°,D +0.3,100%,0%,2.2,5.3,-3,-2.8,-0.8,-0.9,8,D +0.9,D +0.3,R +1.4,3.7,0.73
National Journal,224,12,yes,yes,Live,no,-3.2,-0.9,A/B°,R +0.2,100%,0%,2.6,6.2,-3.4,-3.2,-0.8,-0.9,12,R +0.6,R +0.2,D +0.3,3.5,0.9
