pollno,race,year,location,type_simple,type_detail,pollster,pollster_rating_id,polldate,samplesize,cand1_name,cand1_pct,cand2_name,cand2_pct,cand3_pct,margin_poll,electiondate,cand1_actual,cand2_actual,margin_actual,error,bias,rightcall,comment,partisan
87909,1998_Gov-G_NY,1998,NY,Gov-G,Gov-G,Blum & Weprin Associates,32,10/13/1998,364,Democrat,26,Republican,57,9,-31,11/3/1998,33.2,54.3,-21.1,9.9,-9.9,1,newly added in 2019 update,
87926,1998_Gov-G_OH,1998,OH,Gov-G,Gov-G,University of Cincinnati (Ohio Poll),346,10/13/1998,540,Democrat,37,Republican,52,,-15,11/3/1998,44.7,50.1,-5.4,9.6,-9.6,1,newly added in 2019 update,
5380001,1998_House-G_ID-1,1998,ID-1,House-G,House-G,Garin-Hart-Yang Research Group,113,10/13/1998,372,Democrat,44,Republican,42,,2,11/3/1998,44.73,55.27,-10.54,12.54,12.54,0,,D
5380002,1998_House-G_ID-2,1998,ID-2,House-G,House-G,Garin-Hart-Yang Research Group,113,10/13/1998,400,Democrat,42,Republican,36,,6,11/3/1998,44.69,52.51,-7.82,13.82,13.82,0,,D
5380003,1998_House-G_US,1998,US,House-G,House-G,Zogby Interactive/JZ Analytics,395,10/13/1998,864,Democrat,39,Republican,36,,3,11/3/1998,46.42,47.99,-1.57,4.57,4.57,0,"previously listed as Zogby Analytics, telephone",
5380004,1998_Sen-G_NV,1998,NV,Sen-G,Sen-G,FM3 Research,91,10/13/1998,1418,Democrat,49,Republican,44,,5,11/3/1998,47.88,47.78,.1,4.9,4.9,1,"previously listed as Fairbank, Maslin, Maullin, Metz & Associates",D
5380005,1998_Sen-G_NY,1998,NY,Sen-G,Sen-G,Blum & Weprin Associates,32,10/13/1998,364,Democrat,44,Republican,52,,-8,11/3/1998,54.62,44.08,10.54,18.54,-18.54,0,,
5380006,1998_Sen-G_NY,1998,NY,Sen-G,Sen-G,Garin-Hart-Yang Research Group,113,10/13/1998,902,Democrat,46,Republican,42,,4,11/3/1998,54.62,44.08,10.54,6.54,-6.54,1,,D
5380007,1998_Sen-G_OH,1998,OH,Sen-G,Sen-G,University of Cincinnati (Ohio Poll),346,10/13/1998,540,Democrat,34,Republican,62,,-28,11/3/1998,43.53,56.46,-12.93,15.07,-15.07,1,,
5380008,1998_Gov-G_AZ,1998,AZ,Gov-G,Gov-G,Behavior Research Center (Rocky Mountain),27,10/14/1998,519,Democrat,31,Republican,53,,-22,11/3/1998,35.5,61,-25.5,3.5,3.5,1,,
5380009,1998_Gov-G_IA,1998,IA,Gov-G,Gov-G,Talmey-Drake Research & Strategy Inc.,329,10/14/1998,408,Democrat,40,Republican,48,,-8,11/3/1998,52.3,46.5,5.8,13.8,-13.8,0,,D
5380010,1998_Gov-G_IL,1998,IL,Gov-G,Gov-G,WCIA-TV,373,10/14/1998,401,Democrat,32,Republican,58,,-26,11/3/1998,47.5,51,-3.5,22.5,-22.5,1,,
5380011,1998_Gov-G_NE,1998,NE,Gov-G,Gov-G,Mason-Dixon Polling & Research Inc.,197,10/14/1998,828,Democrat,34,Republican,54,,-20,11/3/1998,46,53.9,-7.9,12.1,-12.1,1,,
5380012,1998_Gov-G_WI,1998,WI,Gov-G,Gov-G,St. Norbert College,313,10/14/1998,269,Democrat,35,Republican,59,,-24,11/3/1998,38.7,59.7,-21,3,-3,1,,
5380013,1998_House-G_MT-1,1998,MT-1,House-G,House-G,Moore Information,217,10/14/1998,400,Democrat,36,Republican,51,,-15,11/3/1998,44.4,53,-8.6,6.4,-6.4,1,,R
5380014,1998_Sen-G_AZ,1998,AZ,Sen-G,Sen-G,Behavior Research Center (Rocky Mountain),27,10/14/1998,519,Democrat,18,Republican,60,,-42,11/3/1998,27.16,68.73999999999999,-41.58,.42,-.42,1,,
5380015,1998_Sen-G_IL,1998,IL,Sen-G,Sen-G,WCIA-TV,373,10/14/1998,401,Democrat,37,Republican,54,,-17,11/3/1998,47.44,50.35,-2.91,14.09,-14.09,1,,
