Rank,Pollster,Pollster Rating ID,Polls Analyzed,NCPP/AAPOR/Roper,Banned by 538,Predictive Plus-Minus,538 Grade,Mean-Reverted Bias,Races Called Correctly,Misses Outside MOE,Simple Average Error,Simple Expected Error,Simple Plus-Minus,Advanced Plus-Minus,Mean-Reverted Advanced Plus Minus,# of Polls for Bias Analysis,Bias,House Effect,Average Distance from Polling Average (ADPA),Herding Penalty
1,Selzer & Co.,304,50,yes,no,-1.164872371474521,A+,.1068463875508721,.78,.24,4.562133331298828,5.959977154458428,-1.39298948255301,-1.623991286805722,-1.006764054913049,33,.2013049270167495,-.2436310533715819,5.339088853326275,0
2,ABC News/The Washington Post,3,82,yes,no,-.9919601103089348,A+,.919806741264664,.7378048780487805,.0853658536585366,3.053507269882574,4.972745084419228,-1.914383473930063,-1.328716976870906,-.980676124300166,77,1.256718524090656,1.231279279930035,3.827491674106647,.1323492717694392
3,Siena College/The New York Times Upshot,448,83,yes,no,-.9544521038153676,A+,1.14294147140295,.7289156626506024,.2048192771084337,4.352681654045381,5.364920020225804,-1.007384025573833,-1.309740901950579,-1.055391384869558,82,1.422586092134801,.2312039975053743,3.574593667720398,.225521742481611
4,IBD/TIPP,144,31,yes,no,-.9384244225719548,A+,-.8323505085998764,.8064516129032258,.032258064516129,2.085001545567666,4.009343275206846,-1.919487389032589,-1.512109181475797,-.7926143837060662,31,-1.587915728169103,-1.814818206485563,3.704195219998842,.0994545884761387
5,Field Research Corp. (Field Poll),94,25,yes,no,-.9066947881490729,A/B,-.68286791423325,1,.2,4.103997268676758,5.990497434167947,-1.881645824884602,-2.473642991473191,-.9231339849666499,18,-2.45507632361518,.7254408972487491,4.752570927914591,0
6,SurveyUSA,325,834,yes,no,-.8752330868681902,A,.0484691218432057,.8932853717026379,.1954436450839329,4.704052174977547,5.683743839377613,-.9748373237934711,-1.032314128557589,-.9872966045424653,673,.0512701689222769,-.5315926826248129,4.945520069959565,.1361415019183604
7,Marquette University Law School,195,13,yes,no,-.8697002861718625,A/B,.3831011403830225,.8076923076923077,.0769230769230769,2.932985892662635,6.054269110656587,-3.116428877387361,-3.454291736544523,-1.235316783275665,9,1.407818264431424,-.5141475002058183,4.347614329091975,.1538779277881331
8,Siena College,305,55,yes,no,-.8293660466608428,A,-.5366020204415759,.8727272727272727,.2545454545454545,5.02008486661044,5.578377511654227,-.5534383044371974,-1.225251368148029,-.8036684444001194,50,-.844322738647461,-1.053552798344115,4.695373958576219,.1790445736095319
9,Landmark Communications,166,48,no,no,-.786005596999762,A,1.414304425825647,.7708333333333334,.1666666666666667,4.448425730069478,5.431063119323992,-.9777830486479258,-1.360030188032199,-.9120955116881638,42,2.192652974809919,-1.707165289556037,4.390866224150755,.0583615807178807
10,Research & Polling Inc.,280,40,no,no,-.7513833843367311,A,-.6080981815445845,.875,.1,4.338134384155273,5.568008056561508,-1.225019331799646,-1.767130072846286,-1.045516722924715,39,-1.030772771590795,.4793430099621862,4.64207646394386,.3149313028156319
11,AtlasIntel,546,22,yes,no,-.7499685151956839,A,.4354616403579712,.75,.2272727272727273,4.584125345403498,5.225420256679696,-.6364405706696089,-1.023215482173971,-.5627685151956839,14,.9953408922467913,-1.740201084411755,6.067670031564372,0
12,MassINC Polling Group,198,20,yes,no,-.7440584999606555,A/B,-.7850465739065724,.85,.2,4.52824182510376,6.208162293460438,-1.675066127750088,-1.257475622479393,-.5865806232527697,14,-2.180184500558036,-1.995397342239822,5.79614435261604,.0812833459930051
13,Monmouth University,215,120,yes,no,-.7076238531971101,A,2.087707895122895,.7833333333333333,.2666666666666667,5.895935599009196,6.281559100011743,-.3807691603959558,-1.036981998571407,-.8643483465169622,83,2.741045687572066,-.1174755194307274,4.889776770866244,.2711130049671029
14,Marist College,183,189,yes,no,-.669456194648838,A,.1069875574214711,.8333333333333334,.2698412698412698,5.503499348958333,6.156418871325839,-.6480651817609135,-.7272975370227955,-.6370061782261081,121,.1314358671834646,.0296862598112305,4.997716942331857,.0219156245512363
15,Fox News/Beacon Research/Shaw & Co. Research,103,46,yes,no,-.6526828278459328,A,1.807602334432939,.75,.3695652173913043,5.56253603230352,5.996276726177782,-.428886353267673,-.7697429920479961,-.5150206567139288,31,3.073489773658014,.8663459100829412,4.616863057440015,0
16,Stockton University,317,11,yes,no,-.5988865336566043,A/B,.8586874339554346,.9090909090909091,.1818181818181818,4.268058083274147,5.3663269154552,-1.093414491574463,-1.443419811806566,-.4592542556950052,11,2.698824102228338,.7386111683315703,6.07582560725001,0
17,Data Orbital,73,13,yes,no,-.5601375650091485,A/B,.5515915781817705,.9615384615384616,0,2.397174541766827,4.830461730624204,-2.428432848250788,-1.487450615111105,-.5659004369636715,13,1.449840252216046,-1.198510417111883,4.046261810032384,.4437168583600935
18,University of North Florida,360,10,yes,no,-.5472183790769786,A/B,.8902943716826435,.4,.3,4.059848022460938,6.303158922207842,-2.238456559140316,-1.393749348566706,-.4314608606122858,7,3.979950496128627,1.022124882062393,3.95182601196337,.0666741928082798
19,Blum & Weprin Associates,32,19,yes,no,-.5370805569371541,A/B,-.6930586251044314,.9473684210526315,.2105263157894737,4.740097848992598,5.245323230143717,-.5003710405445295,-2.155558391362864,-.4691066218503643,17,-3.425431644215303,.5520147939495113,4.496007923756143,.0729941157575656
20,Greenberg Quinlan Rosner/American Viewpoint,127,8,yes,no,-.463154299736858,A/B,-.6666186527357043,1,.5,4.377521991729736,5.458382514305143,-1.076006181968817,-1.622196341123171,-.3597660894434694,6,-4.268723805745442,1.512220143538255,5.405572548404853,0
21,Los Angeles Times,172,36,yes,no,-.4478968987718507,A/B,-.1703826699373148,.8472222222222222,.2777777777777778,5.032578468322754,6.34540278620666,-1.307969977277317,-.8479272108704069,-.3299054331784183,23,-.6038673235022504,.8650991554956743,5.176007332823471,.1241410678532038
22,Trafalgar Group,338,76,no,no,-.44111500781667,A-,-1.322880839391394,.6578947368421053,.3289473684210527,4.464504016073127,4.785290985686268,-.3159326290065507,-.628346204721615,-.4965072263540098,62,-1.730800259497858,-4.426759876682544,5.635691353916745,0
