Rank,Pollster,Pollster Rating ID,Polls Analyzed,AAPOR/Roper,Banned by 538,Predictive Plus-Minus,538 Grade,Mean-Reverted Bias,Races Called Correctly,Misses Outside MOE,Simple Average Error,Simple Expected Error,Simple Plus-Minus,Advanced Plus-Minus,Mean-Reverted Advanced Plus-Minus,# of Polls for Bias Analysis,Bias,House Effect,Average Distance from Polling Average (ADPA),Herding Penalty
1,The New York Times/Siena College,448,95,yes,no,-1.192859796,A+,1.006012283,0.747368421,0.178947368,4.043249833,5.364791547,-1.318428594,-1.625523444,-1.318372229,94,1.243259572,0.700506339,3.575557511,0.261187822
2,Selzer & Co.,304,53,yes,no,-1.175910681,A+,0.161119958,0.811320755,0.245283019,4.916847985,5.959234897,-1.039273792,-1.622670539,-1.000843556,35,0.297644697,-0.34349505,5.288403362,0
3,Research & Polling Inc.,280,44,no,no,-0.965391705,A+,-0.58256828,0.886363636,0.090909091,4.177286452,5.548050498,-1.367650926,-1.938115313,-1.183300777,43,-0.956078019,0.632895517,4.642076464,0.28627562
4,SurveyUSA,325,856,no,no,-0.917319754,A+,0.003250661,0.89135514,0.195093458,4.681670806,5.64253118,-0.957747254,-1.094409912,-1.04352797,697,0.003446508,-0.526229634,4.969035183,0.126962789
5,Marquette University Law School,195,15,yes,no,-0.908214578,A/B,0.237526524,0.8,0.066666667,2.846556346,5.938505276,-3.08883581,-3.191347088,-1.208474636,11,0.751227292,-0.199839756,4.201277784,0.257599826
6,Siena College,305,62,yes,no,-0.83779857,A,-0.182960409,0.85483871,0.241935484,4.966500805,5.50301496,-0.533401035,-1.216718438,-0.833993971,57,-0.272093321,-0.767896857,4.48544586,0.204096473
7,AtlasIntel,546,24,yes,no,-0.762375056,A,0.258207313,0.729166667,0.208333333,4.398018758,5.247766939,-0.846635061,-1.02344072,-0.551881388,16,0.584691525,-1.850977993,5.707373162,0
8,ABC News/The Washington Post,3,82,yes,no,-0.723926952,A,0.799462665,0.682926829,0.073170732,3.124918333,4.853081542,-1.725050088,-0.992174001,-0.69294574,77,1.157155966,1.027951049,3.729887895,0.152913969
9,Cygnal,67,39,no,no,-0.722834682,A,1.594686242,0.935897436,0.153846154,3.775233538,5.139128964,-1.360782306,-1.463483259,-0.96736176,39,2.412537599,-0.464191141,4.066349988,0.313144847
10,Beacon Research/Shaw & Co. Research,103,56,yes,no,-0.721024201,A,1.434188948,0.741071429,0.321428571,5.097407409,5.808001065,-0.707480536,-0.833079218,-0.584963045,41,2.195348507,0.909194876,4.470258945,0
11,Marist College,183,200,yes,no,-0.702045462,A,0.286519976,0.8325,0.265,5.396293201,6.119533284,-0.720126962,-0.737529815,-0.644292046,131,0.348444436,0.311369631,4.940167563,0
