poll_id,question_id,race_id,year,race,location,type_simple,type_detail,pollster,pollster_rating_id,methodology,partisan,polldate,samplesize,cand1_name,cand1_id,cand1_party,cand1_pct,cand2_name,cand2_id,cand2_party,cand2_pct,cand3_pct,margin_poll,electiondate,cand1_actual,cand2_actual,margin_actual,error,bias,rightcall,advancedplusminus,comment
26013,87909,1455,1998,1998_Gov-G_NY,NY,Gov-G,Gov-G,Blum & Weprin Associates,32,Live Phone,,10/13/1998,364,Peter Vallone,13080,DEM,26,George Pataki,13083,REP,57,9,-31,11/3/1998,33.16,54.32,-21.15,9.85,-9.85,1,1.46156109818919,for New York Daily News | WABC-TV (New York)
26255,87926,1456,1998,1998_Gov-G_OH,OH,Gov-G,Gov-G,University of Cincinnati (Ohio Poll),346,Live Phone,,10/13/1998,540,Lee Fisher,13085,DEM,37,Bob Taft,13086,REP,52,,-15,11/3/1998,44.69,50.05,-5.36,9.64,-9.64,1,4.285788832043713,
26026,31266,1736,1998,1998_Sen-G_NV,NV,Sen-G,Sen-G,FM3 Research,91,Live Phone,D,10/13/1998,488,Harry Reid,3964,DEM,49,John Ensign,3965,REP,44,,5,11/3/1998,47.86,47.77,.09,4.91,4.91,1,-1.023783833419476,for unspecified Democratic sponsor
26013,31253,1738,1998,1998_Sen-G_NY,NY,Sen-G,Sen-G,Blum & Weprin Associates,32,Live Phone,,10/13/1998,364,Charles E. Schumer,3966,DEM,44,Alfonse M. D'Amato,3967,REP,52,,-8,11/3/1998,54.62,44.08,10.54,18.54,-18.54,0,10.06410362547784,for New York Daily News | WABC-TV (New York)
63632,117103,1738,1998,1998_Sen-G_NY,NY,Sen-G,Sen-G,Garin-Hart-Yang Research Group,113,Live Phone,D,10/13/1998,902,Charles E. Schumer,3966,DEM,46,Alfonse M. D'Amato,3967,REP,42,,4,11/3/1998,54.62,44.08,10.54,6.54,-6.54,1,-1.972390679465864,for Charles E. Schumer
26255,31495,1741,1998,1998_Sen-G_OH,OH,Sen-G,Sen-G,University of Cincinnati (Ohio Poll),346,Live Phone,,10/13/1998,540,Mary Boyle,3969,DEM,34,George V. Voinovich,3968,REP,62,,-28,11/3/1998,43.53,56.46,-12.93,15.07,-15.07,1,7.802559515861351,
64053,117875,1966,1998,1998_House-G_ID-1,ID-1,House-G,House-G,Garin-Hart-Yang Research Group,113,Live Phone,D,10/13/1998,372,Dan Williams,13924,DEM,44,Helen Chenoweth,13925,REP,42,,2,11/3/1998,44.73,55.27,-10.53,12.53,12.53,0,4.738113022542788,for Richard Stallings
64053,117876,1967,1998,1998_House-G_ID-2,ID-2,House-G,House-G,Garin-Hart-Yang Research Group,113,Live Phone,D,10/13/1998,400,Richard Stallings,13926,DEM,42,Mike Simpson,13927,REP,36,,6,11/3/1998,44.69,52.51,-7.82,13.82,13.82,0,6.113068143316237,for Richard Stallings
28268,33546,8661,1998,1998_House-G_US,US,House-G,House-G,CBS News/The New York Times,36,Live Phone,,10/13/1998,600,Generic Candidate,13752,DEM,48,Generic Candidate,13753,REP,46,,2,11/3/1998,47.13,48.02,-.89,2.89,2.89,0,-2.724108175649672,sample size unavailable; estimated at 600 as a default
28267,33545,8661,1998,1998_House-G_US,US,House-G,House-G,Zogby Interactive/JZ Analytics,395,Live Phone,,10/13/1998,864,Generic Candidate,13752,DEM,39,Generic Candidate,13753,REP,36,,3,11/3/1998,47.13,48.02,-.89,3.89,3.89,0,-1.268250015299009,
54202,87738,1435,1998,1998_Gov-G_AZ,AZ,Gov-G,Gov-G,Behavior Research Center (Rocky Mountain Poll),27,Live Phone,,10/14/1998,519,Paul Johnson,13009,DEM,31,Jane Hull,13012,REP,53,,-22,11/3/1998,35.53,60.95,-25.42,3.42,3.42,1,-3.329042450408335,
54291,87827,1443,1998,1998_Gov-G_IL,IL,Gov-G,Gov-G,WCIA-TV,373,Live Phone,,10/14/1998,401,Glenn Poshard,13043,DEM,32,George Ryan,13044,REP,58,,-26,11/3/1998,47.46,51.03,-3.57,22.43,-22.43,1,13.03403803396177,
54273,87809,1444,1998,1998_Gov-G_IA,IA,Gov-G,Gov-G,"Drake Research & Strategy, Inc.",329,Live Phone,D,10/14/1998,408,Tom Vilsack,13039,DEM,40,Jim Lightfoot,13036,REP,48,,-8,11/3/1998,52.3,46.51,5.8,13.8,-13.8,0,5.071033845698524,for Tom Vilsack
54346,87882,1451,1998,1998_Gov-G_NE,NE,Gov-G,Gov-G,Mason-Dixon Polling & Strategy,197,Live Phone,,10/14/1998,828,Bill Hoppner,13067,DEM,34,Mike Johanns,13066,REP,54,,-20,11/3/1998,45.98,53.9,-7.93,12.07,-12.07,1,5.310639447157964,
26233,87975,1466,1998,1998_Gov-G_WI,WI,Gov-G,Gov-G,St. Norbert College,313,Live Phone,,10/14/1998,415,Ed Garvey,13127,DEM,28,Tommy Thompson,13128,REP,63,,-35,11/3/1998,38.7,59.66,-20.97,14.03,-14.03,1,4.678346179679724,
