Person,Party,State,Event,Type,Date,Link,Snippet
Rick Perry,Republican,NH,New Hampshire Federation of Republican Women reception,attended event,9-Nov,http://www.p2016.org/chrnnewh/nhvisits15r.html,On November 9 he attended a New Hampshire Federation of Republican Women reception at The Draft in Concord
Rick Perry,Republican,NH,Town Hall at Dartmouth,speech,9-Nov,http://www.p2016.org/chrnnewh/nhvisits15r.html,"did a town hall, hosted by Dartmouth CRs, at Dartmouth College in Hanover."
Rick Perry,Republican,NH,Manchester Expeditionary Brigade's U.S. Marine Corps,speech,10-Nov,http://www.p2016.org/chrnnewh/nhvisits15r.html,spoke at the Manchester Expeditionary Brigade's U.S. Marine Corps 239th Birthday luncheon at Derryfield Restaurant in Manchester
Rick Perry,Republican,NH,Roundtable discussion,speech,10-Nov,http://www.p2016.org/chrnnewh/nhvisits15r.html,"held a roundtable discussion, hosted by KSC Republicans, at Keene State College in Keene"
Rick Perry,Republican,NH,Cheshire County GOP Committee meeting,speech,10-Nov,http://www.p2016.org/chrnnewh/nhvisits15r.html,spoke at a Cheshire County GOP Committee meeting at Kristin's Bistro & Bakery in Keene
Rand Paul,Republican,IA,Rod Blum Fundraiser,fundraiser (other),14-Nov,http://features.desmoinesregister.com/news/politics/candidate-tracker/,"Event for 1st District U.S. House candidate Rod Blum, a Republican who went on to win the race to replace Democratic U.S. Rep. Bruce Braley in the left-leaning district. Sponsored by Rod Blum."
Rand Paul,Republican,IA,MobileDemand Tech Company Tour,public appearance,14-Nov,http://features.desmoinesregister.com/news/politics/candidate-tracker/,"Tour and small business roundtable at MobileDemand, a technology company, with 1st District U.S. House candidate Rod Blum, who went on to win the race in the left-leaning district."
Rand Paul,Republican,IA,University Speeech - College Republicans,speech,14-Nov,http://features.desmoinesregister.com/news/politics/candidate-tracker/,"He stopped by the campus of one of Iowa's major universities for an event with the College Republicans and GOP U.S. Senate candidate Joni Ernst, who later won."
Ben Carson,Republican,IA,Family Leader's “Celebrate the Family” fundraising dinner.,speech,22-Nov,http://features.desmoinesregister.com/news/politics/candidate-tracker/,Keynote speaker for the Family Leader's “Celebrate the Family” fundraising dinner. Sponsored by The Family Leader.
Jim Webb,Democratic,IA,"""Veterans to veterans"" phone bank",public appearance,25-Nov,http://features.desmoinesregister.com/news/politics/candidate-tracker/,"Webb participated in a ""Veterans to veterans"" phone bank at the Democratic Coordinated Campaign Office."
Bobby Jindal,Republican,IA,Polk County GOP Holiday Victory Party,speech,25-Nov,http://features.desmoinesregister.com/news/politics/candidate-tracker/,Jindal was booked to headline the Polk County GOP Holiday Victory Party. It marked his his fourth trip to Iowa this year. Sponsored by Polk County Republican Party.
Carly Fiorina,Republican,NH,Independent Business Council of New Hampshire,speech,5-Dec,http://www.p2016.org/chrnnewh/nhvisits14.html,"Former HP CEO Carly Fiorina spoke at a breakfast hosted by the Independent Business Council of New Hampshire (chaired by Congressman-elect Frank Guinta) at the Bedford Country Club in Bedford, NH on December 5, 2014.  "
Bernie Sanders,Democratic,IA,Breakfast Meeting,public appearance,16-Dec,http://www.p2016.org/chrniowa/iavisits14.html#dhttp://www.p2016.org/chrniowa/iavisits14.html#d,On December 16 he started with a breakfast meeting with local residents at Drake Diner
Bernie Sanders,Democratic,IA,Town Hall,speech,16-Dec,http://features.desmoinesregister.com/news/politics/candidate-tracker/,A town meeting at noon with ISU students and the greater Ames community. Sponsored by United States Student Association and the Iowa Citizens for Community Improvement Action Fund.
Bernie Sanders,Democratic,IA,Progress Iowa's 2014 Holiday Party,speech,16-Dec,http://www.p2016.org/chrniowa/iavisits14.html#dhttp://www.p2016.org/chrniowa/iavisits14.html#d,the keynote speaker at Progress Iowa's 2014 Holiday Party at the Meadows Events and Conference Center in Altoona
Bernie Sanders,Democratic,IA,Meet local people,meeting,16-Dec,http://www.p2016.org/chrniowa/iavisits14.html#d,"Also on Tuesday he met ""with groups of Iowans including labor unions, environmentalists, women’s rights groups, immigration reform activists, grassroots progressive groups and other organizations."""
Bobby Jindal,Republican,IA,Polk County Republicans' fall Victory Dinner,speech,16-Dec,http://www.p2016.org/chrniowa/iavisits14.html,"Gov. Bobby Jindal spoke at Polk County Republicans' fall Victory Dinner at the West Des Moines Marriott in West Des Moines,Iowa on the evening of December 16, 2014."
Bernie Sanders,Democratic,IA,Iowa Public Television,speech,17-Dec,http://www.p2016.org/chrniowa/iavisits14.html#d,"On December 17 he taped ""Iowa Press"" at Iowa Public Television in Johnston"
Bobby Jindal,Republican,IA,Meetings with Iowa religious leaders,meeting,6-Jan,http://features.desmoinesregister.com/news/politics/candidate-tracker/,"Two closed-door meetings with Iowa religious leaders in Cedar Rapids and Des Moines sponsored by the American Renewal Project, a socially conservative group that organizers pastors on political matters. Invitation only; not open to public."
Rand Paul,Republican,NH,Second Amendment Supporter Event,speech,14-Jan,http://www.p2016.org/chrnnewh/nhvisits15r.html,question and answer session on the Second Amendment with the Londonderry Fish and Game Club
Rand Paul,Republican,NH,Legislative leaders breakfast,meeting,14-Jan,http://nhjournal.com/update-rand-paul-to-host-events/,"""Legislative Leaders Breakfast"" early Wednesday at Murphy’s Diner in Manchester - breakfast meeting with state legislative leaders at Murphy's Diner in downtown Manchester, N.H."
Rand Paul,Republican,NH,Meet with local leaders,public appearance,14-Jan,http://www.courier-journal.com/story/politics-blog/2015/01/12/busy-week-takes-kentuckys-sen-rand-paul-to-new-hampshire-nevada-arizona/21632017/,"In the late afternoon Wednesday, Paul will meet with business leaders and activists at The Draft Sports Bar & Grill in the state capital of Concord, N.H."
Rand Paul,Republican,NH,Charter school tour,public appearance,14-Jan,http://www.courier-journal.com/story/politics-blog/2015/01/12/busy-week-takes-kentuckys-sen-rand-paul-to-new-hampshire-nevada-arizona/21632017/,Tour of Founders Academy
Rand Paul,Republican,NH,Common core Q&A,speech,14-Jan,http://www.randpac.com/2015/01/12/senator-rand-paul-meet-activists-new-hampshire/,Education Q&A Session on Common Core
Rand Paul,Republican,NH,Manchester mayor meeting,meeting,14-Jan,http://www.randpac.com/2015/01/12/senator-rand-paul-meet-activists-new-hampshire/,"Meeting with Mayor of Manchester, Ted Gatsas"
Chris Christie,Republican,IA,inauguration of Gov. Terry Branstad at Community Choice Credit Union,attended event,16-Jan,http://www.p2016.org/chrniowa/iavisits15r.html,http://www.cbs2iowa.com/news/features/top-stories/stories/chris-christie-attend-branstads-inauguration-33033.shtml
Carly Fiorina,Republican,IA,private dinner to thank Unlocking Potential volunteers,meeting,22-Jan,http://www.p2016.org/chrniowa/iavisits15r.html,On January 22 she is doing a private dinner to thank Unlocking Potential volunteers.
Carly Fiorina,Republican,IA,Speech at Iowa Chapter of National Contract Management Association,speech,23-Jan,http://www.p2016.org/chrniowa/iavisits15r.html,"On January 23 she is to speak on ""Leadership in the Workplace"" at the Iowa chapter of the National Contract Management Association January luncheon at the Marriott in Cedar Rapids."
Rick Santorum,Republican,IA,Private Meetings,meeting,23-Jan,http://www.p2016.org/chrniowa/iavisits15r.html,"On January 23, according to the Des Moines Register, he will hold private meetings."
Chris Christie,Republican,IA,Iowa Freedom Summit. Sponsored by Steve King and Citizens United.,speech,24-Jan,http://features.desmoinesregister.com/news/politics/candidate-tracker/,Multi-candidate forum. Sponsored by Steve King and Citizens United.
Ted Cruz,Republican,IA,Iowa Freedom Summit. Multi-candidate forum. Sponsored by Steve King and Citizens United.,speech,24-Jan,http://features.desmoinesregister.com/news/politics/candidate-tracker/,"Cruz was booked to be one of several speakers at the inaugural Iowa Freedom Summit hosted by U.S. Rep. Steve King and Citizens United, a conservative organization best known for influencing campaign finance in this country. Sponsored by Steve King and Citizens United."
Ted Cruz,Republican,IA,Private grassroots roundtable,meeting,24-Jan,http://www.p2016.org/chrniowa/iavisits15r.html,">Sen. Ted Cruz is scheduled to visit Des Moines, Iowa on January 24, 2015.  The Des Moines Regiister reports he plans a private grassroots roundtable; and will speak at the Iowa Freedom Summit."
