Person,Party,Statement Date,Latest Statement,Statement Score
Bernie Sanders,Democratic,26-Dec,"""I don't want to do it unless I can do it well,"" he told The Associated Press. ""I don't want to do it unless we can win this thing.""",3
Jim Webb,Democratic,20-Nov,"""I have decided to launch an Exploratory Committee to examine whether I should run for President in 2016""",4
Martin O'Malley,Democratic,3-Nov,“seriously considering” a bid for the White House in 2016 but “probably” won’t decide until his successor takes office.,4
Joe Biden,Democratic,9-Dec,"""Honest to God, I haven't made up my mind""",3
Hillary Clinton,Democratic,5-Sep,"""I will be making a decision around probably after the first of the year about whether I am going to run again or not""",3
Elizabeth Warren,Democratic,15-Dec,"""I am not running for president.""",1
Andrew Cuomo,Democratic,14-Oct," asked whether the governor planned to stay in the state of New York for the next four years. ""That’s what I hope to do,"" Cuomo said. ""Unless I drop dead with a heart attack or take a plane to Italy and decide not to come back.""",1
Deval Patrick,Democratic,1-Dec,"""I've thought about it, but no, I can't get ready for 2016""",1
Rick Perry,Republican,18-Dec,"“Under objective I wrote: Highly motivated professional, seeking a position as chief executive of a large enterprise with good benefits and a really large personal jet.”",4
Rick Santorum,Republican,5-Jan,"""As you probably know, RJS is seriously considering a run for the White House in 2016.""",4
Rand Paul,Republican,9-Jan,"“If the ideas are resonating — if the ideas look like they have a chance – then it’s much more likely that I’ll make a go of this. If it looks like we’re at 1 percent, we’re not in the top tier, and it’s just going to be a quixotic sort of run, then I think it’s not something I want to do just for educational purposes. I would do it to be in to win. And that’s a decision we’re going to have to make later in the spring.”",3
Mike Huckabee ,Republican,3-Jan,"""I feel compelled to ascertain if the support exists strongly enough for another Presidential run. So as we say in television, stay tuned!""",4
Jeb Bush,Republican,16-Dec,"""decided to actively explore the possibility of running for President of the United States""",4
Chris Christie,Republican,17-Dec,"“I am thinking about it,” Christie said. “You can imagine that this is a really difficult decision to make and an important one.”",3
Bobby Jindal,Republican,5-Jan,"""I think the more choices for the voters, the better,"" he said. ""I've never decided to get in or not get into a race based on who else is running."";""If I decide to run,"" he said, ""it's going to be based on whether I think I've got something unique to offer.""",3
Scott Walker,Republican,16-Dec,"Walker says Bush’s action “doesn’t affect me one way or another.” Walker says whether he decides to run for president will be “based upon me, my family and my state and what I may or may not be able to do for my country not based on anyone else who may or may not be in the race.”",3
Ben Carson,Republican,7-Nov,"""starting to think about it""",3
Marco Rubio,Republican,7-Jan,"“I believe that if I decide to run for president, we have a path to be a very competitive candidate, and ultimately to win,” Rubio said.",3
Ted Cruz,Republican,30-Oct,"“But if we run another candidate in the mold of a Bob Dole or a John McCain or Mitt Romney, we will end up with the same result which is millions of people will stay home on Election Day … and if we run another candidate like that, Hillary Clinton will be the next president,”",3
John Kasich,Republican,7-Dec,"“Well, George, well, look, you know, you knew you were never going to get a good answer out of me here today,” Kasich said today on “This Week.”",2
Paul Ryan,Republican,12-Jan,"""I have decided that I am not going to run for president in 2016""",1
Carly Fiorina,Republican,9-Jan,"HH: On a day like today, does it make you rethink even thinking about running for president given the complexity, the burden, the sorrow that goes with that office? CF: No, in fact just the opposite. Because I think we have to have leaders with the moral clarity and courage to call evil by its name. And I do not think we have enough of that leadership. We certainly don’t have it in the White House today, and we don’t have it with our former secretary of state. And the longer we resist calling evil by its name, and doing what is necessary to combat it, the worse this will get.",4
Mitt Romney,Republican,9-Jan,"“People ask if I really want to be president,” Romney said, according to a source in the room. “Yeah, I want to be president.”",3
Mike Pence,Republican,7-Jan,“It’s not on our agenda. It’s not our focus. I am completely focused on the future of the people of Indiana and this session of the General Assembly. We’ll let decisions about my future wait until the spring.”,2
Rob Portman,Republican,2-Dec,"""I don't think I can run for president and be an effective senator at the same time,"" Portman said. ""While I appreciate the encouragement I have received from many to run for president, my focus will remain on Ohio and running for re-election to the Senate in 2016.""",1
