date,location,city,state,lat,lng
9/5/2016,"Cleveland, Ohio",Cleveland,OH,41.49932,-81.6943605
9/5/2016,"Hampton, Illinois",Hampton,IL,41.5558667,-90.4092971
9/6/2016,"Tampa, Florida",Tampa,FL,27.950575,-82.4571776
9/7/2016,"New York City, New York",New York,NY,40.7127837,-74.0059413
9/8/2016,"Charlotte, North Carolina",Charlotte,NC,35.2270869,-80.8431267
9/8/2016,"Kansas City, Missouri",Kansas City,MO,39.0997265,-94.5785667
9/9/2016,"New York City, New York",New York,NY,40.7127837,-74.0059413
9/12/2016,"New York City, New York",New York,NY,40.7127837,-74.0059413
9/15/2016,"Greensboro, North Carolina",Greensboro,NC,36.0726354,-79.7919754
9/15/2016,"Washington, DC",Washington,DC,38.9071923,-77.0368707
9/16/2016,"Washington, DC",Washington,DC,38.9071923,-77.0368707
9/17/2016,"Washington, DC",Washington,DC,38.9071923,-77.0368707
9/19/2016,"Philadelphia, Pennsylvania",Philadelphia,PA,39.9525839,-75.1652215
9/19/2016,"New York City, New York",New York,NY,40.7127837,-74.0059413
9/21/2016,"Orlando, Florida",Orlando,FL,28.5383355,-81.3792365
9/26/2016,"Hempstead, New York",Hempstead,NY,40.7062128,-73.6187397
9/27/2016,"Raleigh, North Carolina",Raleigh,NC,35.7795897,-78.6381787
9/28/2016,"Durham, New Hampshire",Durham,NH,43.1339545,-70.9264393
9/29/2016,"Des Moines, Iowa",Des Moines,IA,41.6005448,-93.6091064
9/30/2016,"Fort Pierce, Florida",Fort Pierce,FL,27.4467056,-80.3256056
9/30/2016,"Coral Springs, Florida",Coral Springs,FL,26.271192,-80.2706044
10/2/2016,"Charlotte, North Carolina",Charlotte,NC,35.2270869,-80.8431267
10/3/2016,"Toledo, Ohio",Toledo,OH,41.6639383,-83.555212
10/3/2016,"Akron, Ohio",Akron,OH,41.0814447,-81.5190053
10/4/2016,"Haverford, Pennsylvania",Haverford,PA,40.0022406,-75.3208107
10/4/2016,"Harrisburg, Pennsylvania",Harrisburg,PA,40.2731911,-76.8867008
10/5/2016,"Washington, DC",Washington,DC,38.9071923,-77.0368707
10/9/2016,"St. Louis, Missouri",St. Louis,MO,38.6105426,-90.3371889
10/10/2016,"Detroit, Michigan",Detroit,MI,42.331427,-83.0457538
10/10/2016,"Columbus, Ohio",Columbus,OH,39.9611755,-82.9987942
10/11/2016,"Miami, Florida",Miami,FL,25.7616798,-80.1917902
10/12/2016,"Pueblo, Colorado",Pueblo,CO,38.2544472,-104.6091409
10/12/2016,"Las Vegas, Nevada",Las Vegas,NV,36.1699412,-115.1398296
10/13/2016,"San Francisco, California",San Francisco,CA,37.7749295,-122.4194155
10/14/2016,"Burbank, California",Burbank,CA,34.1808392,-118.3089661
10/19/2016,"Las Vegas, Nevada",Las Vegas,NV,36.1699412,-115.1398296
10/20/2016,"New York City, New York",New York,NY,40.7127837,-74.0059413
10/21/2016,"Cleveland, Ohio",Cleveland,OH,41.49932,-81.6943605
10/22/2016,"Pittsburgh, Pennsylvania",Pittsburgh,PA,40.4406248,-79.9958864
10/22/2016,"Philadelphia, Pennsylvania",Philadelphia,PA,39.9525839,-75.1652215
10/23/2016,"Charlotte, North Carolina",Charlotte,NC,35.2270869,-80.8431267
10/23/2016,"Raleigh, North Carolina",Raleigh,NC,35.7795897,-78.6381787
10/24/2016,"Manchester, New Hampshire",Manchester,NH,42.9956397,-71.4547891
10/25/2016,"Coconut Creek, Florida",Coconut Creek,FL,26.2517482,-80.1789351
10/26/2016,"Lake Worth, Florida",Lake Worth,FL,26.6167555,-80.0684479
10/26/2016,"Tampa, Florida",Tampa,FL,27.950575,-82.4571776
10/27/2016,"Winston Salem, North Carolina",Winston Salem,NC,36.0998596,-80.244216
10/27/2016,"New York City, New York",New York,NY,40.7127837,-74.0059413
10/28/2016,"Cedar Rapids, Iowa",Cedar Rapids,IA,41.9778795,-91.6656232
10/28/2016,"Des Moines, Iowa",Des Moines,IA,41.6005448,-93.6091064
10/29/2016,"Daytona Beach, Florida",Daytona Beach,FL,29.2108147,-81.0228331
10/30/2016,"Wilton Manors, Florida",Wilton Manors,FL,26.1603626,-80.138934
10/31/2016,"Kent, Ohio",Kent,OH,41.1536674,-81.3578859
10/31/2016,"Cincinnati, Ohio",Cincinnati,OH,39.1031182,-84.5120196
11/1/2016,"Dade City, Florida",Dade City,FL,28.3647248,-82.1959178
11/1/2016,"Sanford, Florida",Sanford,FL,28.8028612,-81.269453
11/1/2016,"Fort Lauderdale, Florida",Fort Lauderdale,FL,26.1224386,-80.1373174
11/2/2016,"Tempe, Arizona",Tempe,AZ,33.4255104,-111.9400054
11/2/2016,"Las Vegas, Nevada",Las Vegas,NV,36.1699412,-115.1398296
11/3/2016,"Greenville, North Carolina",Greenville,NC,35.612661,-77.3663538
11/3/2016,"Raleigh, North Carolina",Raleigh,NC,35.7795897,-78.6381787
11/4/2016,"Pittsburgh, Pennsylvania",Pittsburgh,PA,40.4406248,-79.9958864
11/4/2016,"Detroit, Michigan",Detroit,MI,42.331427,-83.0457538
11/5/2016,"Pembroke Pines, Florida",Pembroke Pines,FL,26.007765,-80.2962555
11/6/2016,"Cleveland, Ohio",Cleveland,OH,41.49932,-81.6943605
11/6/2016,"Manchester, New Hampshire",Manchester,NH,42.9956397,-71.4547891
11/7/2016,"Oakland, Pennsylvania",Oakland,PA,40.4420135,-79.9625521
11/7/2016,"Allendale, Michigan",Allendale,MI,42.9721861,-85.9540218
11/7/2016,"Philadelphia, Pennsylvania",Philadelphia,PA,39.9525839,-75.1652215
