date,location,city,state,lat,lng
9/1/2016,"Wilmington, OH",Wilmington,OH,39.4453393,-83.8285375
9/3/2016,"Detroit, MI",Detroit,MI,42.331427,-83.0457538
9/6/2016,"Virginia Beach, VA",Virginia Beach,VA,36.8529263,-75.977985
9/6/2016,"Greenville, NC",Greenville,NC,35.612661,-77.3663538
9/7/2016,"New York, NY",New York,NY,40.7127837,-74.0059413
9/9/2016,"NW, Washington, DC",Washington,DC,38.9071923,-77.0368707
9/9/2016,"Pensacola, FL",Pensacola,FL,30.421309,-87.2169149
9/12/2016,"Baltimore, MD",Baltimore,MD,39.2903848,-76.6121893
9/12/2016,"Asheville, NC",Asheville,NC,35.5950581,-82.5514869
9/13/2016,"Des Moines, IA",Des Moines,IA,41.6005448,-93.6091064
9/13/2016,"Aston, PA",Aston,PA,39.8648194,-75.4257325
9/14/2016,"Canton, OH",Canton,OH,40.7989473,-81.378447
9/15/2016,"New York, NY",New York,NY,40.7127837,-74.0059413
9/15/2016,"Laconia, NH",Laconia,NH,43.5278546,-71.4703509
9/16/2016,Washington DC,Washington,DC,38.9071923,-77.0368707
9/16/2016,"Miami, FL",Miami,FL,25.7616798,-80.1917902
9/17/2016,"Houston, TX",Houston,TX,29.7604267,-95.3698028
9/17/2016,"Colorado Springs, CO",Colorado Springs,CO,38.8338816,-104.8213634
9/19/2016,"Fort Myers, FL",Fort Myers,FL,26.640628,-81.8723084
9/20/2016,"High Point, NC",High Point,NC,35.9556923,-80.0053176
9/20/2016,"Kenansville, NC",Kenansville,NC,34.9623883,-77.9622069
9/21/2016,"Toledo, OH",Toledo,OH,41.6639383,-83.555212
9/22/2016,"Chester Township, PA",Chester Township,PA,39.8517618,-75.4024228
9/24/2016,"Roanoke, VA",Roanoke,VA,37.2709704,-79.9414266
9/26/2016,"Hemstead, NY",Hemstead,NY,40.7062128,-73.6187397
9/27/2016,"Melbourne, FL",Melbourne,FL,28.0836269,-80.6081089
9/28/2016,"Council Bluffs, IA",Council Bluffs,IA,41.2619444,-95.8608333
9/28/2016,"Waukesha, WI",Waukesha,WI,43.0116784,-88.2314813
9/29/2016,"Bedfor, NH",Bedfor,NH,42.9463291,-71.5132008
9/30/2016,"Novi, MI",Novi,MI,42.48059,-83.4754913
10/1/2016,"Manheim, PA",Manheim,PA,40.1634279,-76.3949614
10/3/2016,"Pueblo, CO",Pueblo,CO,38.2544472,-104.6091409
10/3/2016,"Loveland, CO",Loveland,CO,40.3977612,-105.0749801
10/4/2016,"Prescott, Valley, AZ",Prescott Valley,AZ,34.6100243,-112.315721
10/5/2016,"Henderson, NV",Henderson,NV,36.0395247,-114.9817213
10/5/2016,"Reno, NV",Reno,NV,39.5296329,-119.8138027
10/6/2016,"Sandown, NH",Sandown,NH,42.928698,-71.1870053
10/9/2016,"St. Louis, MO",St. Louis,MO,38.6105426,-90.3371889
10/10/2016,"Ambridge, PA",Ambridge,PA,40.5892339,-80.22506
10/10/2016,"Wilkes-Barre, PA",Wilkes-Barre,PA,41.2459149,-75.8813075
10/11/2016,"Panama City, FL",Panama City,FL,30.1588129,-85.6602058
10/12/2016,"Ocala, FL",Ocala,FL,29.1871986,-82.1400923
10/12/2016,"Lakeland, FL",Lakeland,FL,28.0394654,-81.9498042
10/13/2016,"West Palm Beach, FL",West Palm Beach,FL,26.7153424,-80.0533746
10/13/2016,"Cincinnati, OH",Cincinnati,OH,39.1031182,-84.5120196
10/14/2016,"Greensboro, NC",Greensboro,NC,36.0726354,-79.7919754
10/14/2016,"Charlotte, NC",Charlotte,NC,35.2270869,-80.8431267
10/15/2016,"Portsmouth, NH",Portsmouth,NH,43.0717552,-70.7625532
10/15/2016,"Bangor, ME",Bangor,ME,44.8011821,-68.7778138
10/17/2016,"Green Bay, WI",Green Bay,WI,44.519159,-88.019826
10/18/2016,"Colorado Springs, CO",Colorado Springs,CO,38.8338816,-104.8213634
10/18/2016,"Grand Junction, CO",Grand Junction,CO,39.0638705,-108.5506486
10/19/2016,"Las Vegas, NV",Las Vegas,NV,36.1699412,-115.1398296
10/20/2016,"Deleware, OH",Deleware,OH,40.2986724,-83.067965
10/20/2016,"New York, NY",New York,NY,40.7127837,-74.0059413
10/21/2016,"Fletcher, NC",Fletcher,NC,35.4306712,-82.5012316
10/21/2016,"Johnstown, PA",Johnstown,PA,40.3267407,-78.9219698
10/21/2016,"Newtown, PA",Newtown,PA,40.2283371,-74.9322596
