question_id,start_date,end_date,pollster_id,pollster,sponsors,sample_size,population,methodology,url,politician,favorable,unfavorable,very_favorable,somewhat_favorable,somewhat_unfavorable,very_unfavorable
114577,2019-12-07,2019-12-10,568,YouGov,Economist,1195,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,Michael F. Bennet,14,29,4,10,12,17
114585,2019-12-07,2019-12-10,568,YouGov,Economist,1198,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,Michael Bloomberg,24,58,7,17,20,38
114589,2019-12-07,2019-12-10,568,YouGov,Economist,1198,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,Cory A. Booker,35,45,11,24,12,33
114593,2019-12-07,2019-12-10,568,YouGov,Economist,1198,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,Steve Bullock,14,27,3,11,11,16
114597,2019-12-07,2019-12-10,568,YouGov,Economist,1202,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,Pete Buttigieg,35,44,14,21,13,31
114601,2019-12-07,2019-12-10,568,YouGov,Economist,1197,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,Julián Castro,28,45,6,22,15,30
114605,2019-12-07,2019-12-10,568,YouGov,Economist,1198,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,John K. Delaney,11,31,3,8,13,18
114609,2019-12-07,2019-12-10,568,YouGov,Economist,1202,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,Tulsi Gabbard,25,45,6,19,21,24
114613,2019-12-07,2019-12-10,568,YouGov,Economist,1202,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,Amy Klobuchar,29,40,8,21,14,26
114617,2019-12-07,2019-12-10,568,YouGov,Economist,1197,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,Deval Patrick,14,31,4,10,11,20
114625,2019-12-07,2019-12-10,568,YouGov,Economist,1196,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,Tom Steyer,19,41,5,14,14,27
114633,2019-12-07,2019-12-10,568,YouGov,Economist,1195,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,Marianne Williamson,14,42,3,11,19,23
114637,2019-12-07,2019-12-10,568,YouGov,Economist,1198,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,Andrew Yang,32,41,8,24,17,24
114621,2019-12-07,2019-12-10,568,YouGov,Economist,1201,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,Bernard Sanders,42,51,20,22,12,39
114629,2019-12-07,2019-12-10,568,YouGov,Economist,1204,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,Elizabeth Warren,41,49,22,19,10,39
114581,2019-12-07,2019-12-10,568,YouGov,Economist,1204,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,Joseph R. Biden Jr.,42,52,20,22,14,38
114836,2019-12-07,2019-12-10,568,YouGov,Economist,1203,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,Donald Trump,45,54,12,6,48,
114530,2019-12-04,2019-12-09,396,Quinnipiac University,,1553,rv,Live Phone,https://poll.qu.edu/national/release-detail?ReleaseID=3651,Pete Buttigieg,31,29,,,,
114532,2019-12-04,2019-12-09,396,Quinnipiac University,,1553,rv,Live Phone,https://poll.qu.edu/national/release-detail?ReleaseID=3651,Amy Klobuchar,24,23,,,,
114534,2019-12-04,2019-12-09,396,Quinnipiac University,,1553,rv,Live Phone,https://poll.qu.edu/national/release-detail?ReleaseID=3651,Michael Bloomberg,21,40,,,,
114526,2019-12-04,2019-12-09,396,Quinnipiac University,,1553,rv,Live Phone,https://poll.qu.edu/national/release-detail?ReleaseID=3651,Bernard Sanders,44,48,,,,
114524,2019-12-04,2019-12-09,396,Quinnipiac University,,1553,rv,Live Phone,https://poll.qu.edu/national/release-detail?ReleaseID=3651,Joseph R. Biden Jr.,44,47,,,,
114528,2019-12-04,2019-12-09,396,Quinnipiac University,,1553,rv,Live Phone,https://poll.qu.edu/national/release-detail?ReleaseID=3651,Elizabeth Warren,38,45,,,,
114733,2019-12-04,2019-12-09,396,Quinnipiac University,,1553,rv,Live Phone,https://poll.qu.edu/national/release-detail?ReleaseID=3651,Donald Trump,40,57,,,,
114385,2019-12-04,2019-12-08,320,Monmouth University,,838,rv,Live Phone,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_us_121019.pdf/,Pete Buttigieg,34,35,13,21,13,22
114386,2019-12-04,2019-12-08,320,Monmouth University,,838,rv,Live Phone,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_us_121019.pdf/,Michael Bloomberg,26,54,7,19,21,33
114387,2019-12-04,2019-12-08,320,Monmouth University,,838,rv,Live Phone,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_us_121019.pdf/,Andrew Yang,25,28,4,21,11,17
114382,2019-12-04,2019-12-08,320,Monmouth University,,838,rv,Live Phone,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_us_121019.pdf/,Joseph R. Biden Jr.,43,50,18,25,16,34
114384,2019-12-04,2019-12-08,320,Monmouth University,,838,rv,Live Phone,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_us_121019.pdf/,Elizabeth Warren,40,50,18,22,11,39
114383,2019-12-04,2019-12-08,320,Monmouth University,,838,rv,Live Phone,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_us_121019.pdf/,Bernard Sanders,41,54,20,21,15,39
114673,2019-12-04,2019-12-08,320,Monmouth University,,838,rv,Live Phone,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_us_121019.pdf/,Donald Trump,46,52,33,13,5,47
114192,2019-12-01,2019-12-03,568,YouGov,Economist,1196,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/799kgtotz3/econTabReport.pdf,Michael Bloomberg,26,57,6,20,20,37
114196,2019-12-01,2019-12-03,568,YouGov,Economist,1195,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/799kgtotz3/econTabReport.pdf,Cory A. Booker,36,46,12,24,12,34
114200,2019-12-01,2019-12-03,568,YouGov,Economist,1196,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/799kgtotz3/econTabReport.pdf,Steve Bullock,15,26,4,11,10,16
114204,2019-12-01,2019-12-03,568,YouGov,Economist,1194,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/799kgtotz3/econTabReport.pdf,Pete Buttigieg,36,43,17,19,15,28
114208,2019-12-01,2019-12-03,568,YouGov,Economist,1195,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/799kgtotz3/econTabReport.pdf,Julián Castro,32,40,9,23,12,28
114212,2019-12-01,2019-12-03,568,YouGov,Economist,1191,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/799kgtotz3/econTabReport.pdf,John K. Delaney,14,31,3,11,13,18
114216,2019-12-01,2019-12-03,568,YouGov,Economist,1194,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/799kgtotz3/econTabReport.pdf,Tulsi Gabbard,26,44,5,21,21,23
114220,2019-12-01,2019-12-03,568,YouGov,Economist,1194,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/799kgtotz3/econTabReport.pdf,Kamala D. Harris,36,50,12,24,12,38
114224,2019-12-01,2019-12-03,568,YouGov,Economist,1195,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/799kgtotz3/econTabReport.pdf,Amy Klobuchar,28,41,9,19,18,23
