Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?
Anthony White (Alabama),AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879999,3.4200001,No,Nonwhite,Yes,No,No,No,No,No,,,No,,,,,,,,,,
Christopher Countryman,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879999,1.74,No,White,No,Yes,No,No,No,No,,,No,,,,,,,,,,
"Doug ""New Blue"" Smith",AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879999,3.27,No,White,Yes,No,No,No,No,No,,,No,,,,,,,,,,
James C. Fields,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879999,8,No,Nonwhite,Yes,No,Yes,No,No,No,,,No,,,,,,,,,,
Sue Bell Cobb,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879999,28.98,No,White,No,No,Yes,No,No,No,,,No,,,,,,,,,,
Walt Maddox,AL,Governor of Alabama,Governor,Regular,6/5/18,Advanced,None,On the Ballot,-28.879999,54.599998,Yes,White,No,No,Yes,No,No,No,,,Yes,,,,,,,,,,
Lizzetta Hill McConnell,AL,U.S. House Alabama District 1,Representative,Regular,6/5/18,Lost,None,None,-30.68,19.23,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,
Robert Kennedy Jr.,AL,U.S. House Alabama District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-30.68,80.769997,Yes,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,
Audri Scott Williams,AL,U.S. House Alabama District 2,Representative,Regular,6/5/18,Lost,None,None,-33.080002,39.560001,No,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,
Tabitha Isner,AL,U.S. House Alabama District 2,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-33.080002,60.439999,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,
Adia McClellan Winfrey,AL,U.S. House Alabama District 3,Representative,Regular,6/5/18,Lost,None,None,-33.66,34.240002,No,Nonwhite,No,No,No,No,Yes,No,,,Yes,,,,,,,,,,
Mallory Hagan,AL,U.S. House Alabama District 3,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-33.66,65.739998,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,
Lee Auman,AL,U.S. House Alabama District 4,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-62.48,54.130001,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,
Rick Neighbors,AL,U.S. House Alabama District 4,Representative,Regular,6/5/18,Lost,None,None,-62.48,45.869999,No,White,Yes,No,No,No,No,No,,,No,,,,,,,,,,
Peter Joffrion,AL,U.S. House Alabama District 5,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-34.830002,100,Yes,White,No,No,No,No,No,No,,,,,,,,,,Yes,,,
Danner Kline,AL,U.S. House Alabama District 6,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-48.459999,100,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,
Jared Henderson,AR,Governor of Arkansas,Governor,Regular,5/22/18,Advanced,None,On the Ballot,-28.639999,63.299999,Yes,White,No,No,No,No,Yes,No,,,,,,,,,,,,,
Leticia Sanders,AR,Governor of Arkansas,Governor,Regular,5/22/18,Lost,None,None,-28.639999,36.700001,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,
Chintan Desai,AR,U.S. House Arkansas District 1,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-34.810001,100,Yes,Nonwhite,No,No,No,No,No,No,,,Yes,,,,,,,Yes,,,
Clarke Tucker,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-13.51,57.82,Yes,White,No,No,Yes,No,No,No,Yes,,Yes,,,,,,,,,,
Gwen Combs,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,None,-13.51,20.299999,No,White,Yes,No,No,No,No,No,No,,Yes,,,,,,,,,,
Jonathan Dunkley,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,None,-13.51,9.3400002,No,Nonwhite,No,No,No,No,No,No,No,,No,,,,,,,,,,
Paul Spencer,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,None,-13.51,12.55,No,White,No,No,No,No,No,No,No,,No,,,,,,,,,,
Joshua Mahony,AR,U.S. House Arkansas District 3,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-34.560001,100,Yes,White,No,No,No,No,No,No,,,,,,,,,,Yes,,,
Hayden Shamel,AR,U.S. House Arkansas District 4,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-33.68,100,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,
Brianna Westbrook,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,-24.559999,39.720001,No,White,No,Yes,No,No,No,No,,,,,,,Yes,Yes,,,,,
Hiral Tipirneni,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Advanced,None,On the Ballot,-24.559999,60.220001,Yes,Nonwhite,No,No,No,No,Yes,No,,,,,,,No,No,,,,,
Akinyemi Agbede,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.22,No,Nonwhite,No,No,No,No,Yes,No,,,No,,,,No,,,,,,
Albert Caesar Mezzetti,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.28,No,White,Yes,No,Yes,No,No,No,,,No,,,,No,,,,,,
Amanda Renteria,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,2.1500001,No,Nonwhite,No,No,No,No,No,No,,,No,,,,No,,,,,,
Antonio Villaraigosa,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,21.290001,No,Nonwhite,No,No,Yes,No,No,No,,,No,,,,No,,,,,,
Delaine Eastin,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,5.4000001,No,White,No,No,Yes,No,No,No,,,Yes,,,,Yes,,,,,,
Gavin Newsom,CA,Governor of California,Governor,Regular,6/5/18,Advanced,None,On the Ballot,25.83,53.869999,Yes,White,No,No,Yes,No,No,No,,,Yes,,,,No,,,,,,
John Chiang,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,15.08,No,Nonwhite,No,No,Yes,No,Yes,No,,,Yes,,,,No,,,,,,
Juan Bribiesca,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.40000001,No,Nonwhite,No,No,No,No,Yes,No,,,No,,,,No,,,,,,
Klement Tinaj,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.12,No,Nonwhite,No,No,No,No,No,No,,,No,,,,No,,,,,,
Michael Shellenberger,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.73000002,No,White,No,No,No,No,No,No,,,No,,,,No,,,,,,
Robert Davidson Griffis,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.25999999,No,White,No,No,No,No,No,No,,,No,,,,No,,,,,,
Thomas Jefferson Cares,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.20999999,No,White,No,No,No,No,Yes,No,,,No,,,,No,,,,,,
Audrey Denney,CA,U.S. House California District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-21.379999,43.650002,Yes,White,No,No,No,No,No,No,,,,,,,Yes,Yes,,No,,,
David Peterson,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,None,-21.379999,7.3000002,No,White,No,No,No,No,No,No,,,,,,,No,No,,No,,,
Jessica Holcombe,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,None,-21.379999,28.540001,No,White,No,No,No,No,No,No,,,,,,,No,No,,No,,,
Marty Walters,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,None,-21.379999,20.51,No,White,No,No,No,No,No,No,,,,,,,No,No,,Yes,,,
Dotty Nygard,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,1.89,No,White,No,No,No,No,Yes,No,No,No,No,,,,Yes,Yes,,No,,,
Josh Harder,CA,U.S. House California District 10,Representative,Regular,6/5/18,Advanced,None,On the Ballot,0.62,35.57,Yes,White,No,No,No,No,Yes,No,Yes,No,Yes,,,,No,No,,No,,,
Michael Eggman,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,21.34,No,White,No,No,No,No,No,No,No,No,No,,,,No,No,,No,,,
Mike Barkley,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,4.98,No,White,Yes,No,No,No,Yes,No,No,No,No,,,,No,No,,No,,,
Sue Zwahlen,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,17.049999,No,White,No,No,Yes,No,Yes,No,No,No,No,,,,No,No,,No,,,
Virginia Madueno,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,19.17,No,Nonwhite,No,No,Yes,No,No,No,No,Yes,Yes,,,,No,No,,Yes,,,
TJ Cox,CA,U.S. House California District 21,Representative,Regular,6/5/18,Advanced,None,On the Ballot,11.87,100,Yes,Nonwhite,No,No,No,No,Yes,No,Yes,No,,,,,,,,,,,
Andrew Janz,CA,U.S. House California District 22,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-13.41,78.830002,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,
Bobby Bliatout,CA,U.S. House California District 22,Representative,Regular,6/5/18,Lost,None,None,-13.41,12.26,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,
Ricardo Franco,CA,U.S. House California District 22,Representative,Regular,6/5/18,Lost,None,None,-13.41,8.9099998,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,
Kurtis Wilson,CA,U.S. House California District 23,Representative,Regular,6/5/18,Lost,None,None,-25.379999,4.8400002,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,
Mary Helen Barro,CA,U.S. House California District 23,Representative,Regular,6/5/18,Lost,None,None,-25.379999,18.200001,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,
Tatiana Matta,CA,U.S. House California District 23,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-25.379999,42.720001,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,
Wendy Reed,CA,U.S. House California District 23,Representative,Regular,6/5/18,Lost,None,None,-25.379999,34.25,No,White,No,No,No,No,No,No,,,,,,,,,,,,,
Bryan Caforio,CA,U.S. House California District 25,Representative,Regular,6/5/18,Lost,None,None,2.02,38.259998,No,White,No,No,No,No,No,No,No,No,Yes,,,,No,Yes,,,,,
Jess Phoenix,CA,U.S. House California District 25,Representative,Regular,6/5/18,Lost,None,None,2.02,13.24,No,White,No,No,No,No,Yes,No,No,No,Yes,,,,Yes,No,,,,,
Katie Hill,CA,U.S. House California District 25,Representative,Regular,6/5/18,Advanced,None,On the Ballot,2.02,42.970001,Yes,White,No,Yes,No,No,No,No,Yes,Yes,Yes,,,,No,No,,,,,
Mary Pallant,CA,U.S. House California District 25,Representative,Regular,6/5/18,Lost,None,None,2.02,5.54,No,White,No,No,No,No,No,No,No,No,,,,,No,No,,,,,
Andy Thorburn,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,2.99,20.440001,No,White,No,No,No,Yes,No,No,No,No,Yes,,,,Yes,,,No,,No,
Gil Cisneros,CA,U.S. House California District 39,Representative,Regular,6/5/18,Advanced,None,On the Ballot,2.99,43.23,Yes,Nonwhite,Yes,No,No,Yes,No,No,Yes,No,Yes,,,,No,,,No,,Yes,
Herbert Lee,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,2.99,9.4200001,No,Nonwhite,No,No,No,Yes,Yes,No,No,No,No,,,,No,,,No,,No,
Mai Khanh Tran,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,2.99,11.69,No,Nonwhite,No,No,No,Yes,Yes,No,No,Yes,Yes,,,,No,,,No,,No,
Sam Jammal,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,2.99,11.98,No,Nonwhite,No,No,No,No,No,Yes,No,No,Yes,,,,No,,,Yes,,No,
Suzi Park Leggett,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,2.99,3.24,No,Nonwhite,No,No,No,No,No,No,No,No,No,,,,No,,,No,,No,
Jessica Morse,CA,U.S. House California District 4,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-18.16,49.099998,Yes,White,No,No,No,No,No,No,,,Yes,,,,No,No,,Yes,,,
Regina Bateson,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,None,-18.16,30.07,No,White,No,No,No,No,No,No,,,Yes,,,,No,No,,No,,,
Robert Lawton,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,None,-18.16,5.25,No,White,No,No,No,No,No,No,,,No,,,,No,No,,No,,,
Roza Calderon,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,None,-18.16,15.57,No,Nonwhite,No,No,No,No,Yes,No,,,Yes,,,,Yes,Yes,,No,,,
Julia Peacock,CA,U.S. House California District 42,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-15.31,76.019997,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,Yes,,,
Norman Quintero,CA,U.S. House California District 42,Representative,Regular,6/5/18,Lost,None,None,-15.31,23.98,No,Nonwhite,No,No,No,No,No,No,,,No,,,,,,,No,,,
Brian Forde,CA,U.S. House California District 45,Representative,Regular,6/5/18,Lost,None,None,-1.4299999,13.06,No,White,No,No,No,No,Yes,Yes,No,No,Yes,,No,,No,,No,,,,
Dave Min,CA,U.S. House California District 45,Representative,Regular,6/5/18,Lost,None,None,-1.4299999,38.740002,No,Nonwhite,No,No,No,No,No,No,No,No,Yes,,No,,No,,No,,,,
Katie Porter,CA,U.S. House California District 45,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-1.4299999,44.040001,Yes,White,No,No,No,No,No,No,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,,
