person_id,candidate_id,race_id,Ballotpedia url,Candidate,incumbent,State,District,Office Type,Race Type,Race Primary Election Date,Primary Results Votes,Primary Status,Primary Runoff Status,General Status,Gender,Date Born,Partisan Lean,Primary %,Race,Religion,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Bush Alum?,Trump Alum?,Support Tariffs?,Support the Wall?,Party Support?,Trump Endorsed?,Bannon Endorsed?,Great America Endorsed?,NRA Endorsed?,Right to Life Endorsed?,Susan B. Anthony Endorsed?,ALIPAC Endorsed?,Club for Growth Endorsed?,Koch Support?,House Freedom Support?,Tea Party Endorsed?,Main Street Endorsed?,Chamber Endorsed?,No Labels Support?
40558,13498,6858,https://ballotpedia.org/Mike_Dunleavy,Mike Dunleavy,No,AK,Governor of Alaska,Governor,Regular,8/21/18,39193,Advanced,None,On the Ballot,Male,1961,,61.8,N/A,None,No,No,No,,No,No,No,Not on website,Not on website,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
290385,25755,6858,https://ballotpedia.org/Michael_Sheldon,Michael Sheldon,No,AK,Governor of Alaska,Governor,Regular,8/21/18,1408,Lost,None,None,Male,1/20/56,,2.2,N/A,None,No,No,No,,No,No,No,Not on website,Not on website,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
38764,37426,6858,https://ballotpedia.org/Mead_Treadwell,Mead Treadwell,No,AK,Governor of Alaska,Governor,Regular,8/21/18,20230,Lost,None,None,None,3/21/56,,31.9,N/A,Catholic,No,No,Yes,,No,Yes,No,No website available,No website available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
303038,43508,6858,https://ballotpedia.org/Darin_Colbry,Darin Colbry,No,AK,Governor of Alaska,Governor,Regular,8/21/18,363,Lost,None,None,Male,None,,0.6,No information available,No information available,No information available,No information available,No information available,,No information available,No information available,No information available,No information available,No information available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
303039,43509,6858,https://ballotpedia.org/Thomas_Gordon,Thomas Gordon,No,AK,Governor of Alaska,Governor,Regular,8/21/18,849,Lost,None,None,Male,9/3/56,,1.3,Native Alaskan,Christian,No,No,No,,No,No,No,No website available,No website available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
303040,43510,6858,https://ballotpedia.org/Merica_Hlatcu,Merica Hlatcu,No,AK,Governor of Alaska,Governor,Regular,8/21/18,957,Lost,None,None,Male,None,,1.5,N/A,None,No,No,No,,Yes,No,No,Not on website,Not on website,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19674,43511,6858,https://ballotpedia.org/Gerald_Heikes,Gerald Heikes,No,AK,Governor of Alaska,Governor,Regular,8/21/18,432,Lost,None,None,None,5/14/53,,0.7,N/A,Christian,No,No,No,,No,No,No,Not on website,Not on website,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
52788,17533,2081,https://ballotpedia.org/Steve_Smith_(Arizona),Steve Smith,No,AZ,U.S. House Arizona District 1,Representative,Regular,8/28/18,None,Lost,None,None,Male,1976,,37.8,N/A,Christian,No,No,Yes,,No,No,No,no website available,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,No,Yes,N/A,N/A,Yes,N/A,N/A,N/A
57887,19246,2081,https://ballotpedia.org/Wendy_Rogers,Wendy Rogers,No,AZ,U.S. House Arizona District 1,Representative,Regular,8/28/18,None,Advanced,None,On the Ballot,Female,1954,,43.4,N/A,evalgelical protestant,Yes,No,No,,No,No,No,Not on website,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,No,N/A,N/A,N/A
291683,26838,2081,https://ballotpedia.org/Tiffany_Shedd,Tiffany Shedd,No,AZ,U.S. House Arizona District 1,Representative,Regular,8/28/18,None,Lost,None,None,Female,1968,,18.8,N/A,None,No,No,No,,No,No,No,Not on website,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,No,N/A,N/A,N/A
292874,27790,3352,https://ballotpedia.org/Lea_Marquez_Peterson,Lea Marquez Peterson,No,AZ,U.S. House Arizona District 2,Representative,Regular,8/28/18,None,Advanced,None,On the Ballot,Female,1970,,33.6,Hispanic,None,No,No,No,,No,No,No,Not on website,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A
294465,29158,3352,https://ballotpedia.org/Casey_Welch,Casey Welch,No,AZ,U.S. House Arizona District 2,Representative,Regular,8/28/18,0,Lost,None,None,Male,,,21.4,N/A,None,No,No,No,,No,No,No,Not on website,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A
295600,30178,3352,https://ballotpedia.org/Danny_Morales,Danny Morales,No,AZ,U.S. House Arizona District 2,Representative,Regular,8/28/18,None,Lost,None,None,Male,1975,,15.9,Hispanic,Christian,Yes,No,Yes,,No,No,No,Not on website,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,No,N/A,N/A,N/A,N/A,N/A
295740,30370,3352,https://ballotpedia.org/Brandon_Martin_(Arizona),Brandon Martin,No,AZ,U.S. House Arizona District 2,Representative,Regular,8/28/18,None,Lost,None,None,Male,,,29.1,N/A,Christian,Yes,No,No,,No,No,No,Not on website,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A
16318,5495,1926,https://ballotpedia.org/Edna_San_Miguel,Edna San Miguel,No,AZ,U.S. House Arizona District 3,Representative,Regular,8/28/18,None,Lost,None,None,Female,,,21.4,Hispanic,Jewish,No,No,No,,No,No,No,Not on website,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
296769,31358,1926,https://ballotpedia.org/Sergio_Arellano,Sergio Arellano,No,AZ,U.S. House Arizona District 3,Representative,Regular,8/28/18,None,Lost,None,None,Male,None,,27.3,Hispanic,None,Yes,No,No,,No,No,No,Not on website,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
304886,47764,1926,https://ballotpedia.org/Nicolas_Pierson,Nicolas Pierson,No,AZ,U.S. House Arizona District 3,Representative,Regular,8/28/18,None,Advanced,None,On the Ballot,Male,None,,51.4,Hispanic,None,Yes,No,No,,No,No,No,Not on website,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13662,4612,2075,https://ballotpedia.org/Debbie_Lesko,Debbie Lesko,No,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,None,Advanced,None,On the Ballot,Female,11/14/58,,35.77,N/A,None,No,No,Yes,No,No,No,No,Not on website,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A
5124,1720,2075,https://ballotpedia.org/Bob_Stump,Bob Stump,No,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,None,Lost,None,None,Male,9/21/71,,5.37,N/A,None,No,No,Yes,No,No,No,No,Not on website,Increase our border security,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,N/A,N/A,N/A
9692,3278,2075,https://ballotpedia.org/Clair_Van_Steenwyk,Clair Van Steenwyk,No,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,None,Lost,None,None,Male,10/1/46,,2.37,N/A,Christian,No,No,No,No,No,No,No,Not on website,Yes,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,N/A,N/A,N/A
44483,14853,2075,https://ballotpedia.org/Phil_Lovas,Phil Lovas,No,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,None,Lost,None,None,Male,1968,,23.88,N/A,None,No,No,Yes,No,No,No,Yes,Website not availablr,Yes,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,N/A,N/A,N/A
46440,15468,2075,https://ballotpedia.org/Richard_Mack,Richard Mack,No,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,None,Lost,None,None,Male,1952,,1.42,N/A,Mormon,No,No,No,No,No,No,No,Not on website,Not on website,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,N/A,N/A,N/A
52182,17318,2075,https://ballotpedia.org/Stephen_Dolgos,Stephen Dolgos,No,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,None,Lost,None,None,Male,7/9/74,,0.48,N/A,Byzantine Catholic,Yes,No,No,No,No,No,No,Not on website,Not on website,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,N/A,N/A,N/A
52410,17379,2075,https://ballotpedia.org/Steve_B._Montenegro,Steve Montenegro,No,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,None,Lost,None,None,Male,,,23.82,,,,,,No,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,N/A,N/A,N/A
290252,25677,2075,https://ballotpedia.org/Chris_Sylvester_(Arizona),Christopher Sylvester,No,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,None,Lost,None,None,Male,,,1.92,,,,,,No,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,N/A,N/A,N/A
292610,27516,2075,https://ballotpedia.org/David_Lien,David Lien,No,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,None,Lost,None,None,Male,,,1.77,,,,,,No,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,N/A,N/A,N/A
292662,27574,2075,https://ballotpedia.org/Chad_Allen,Chad Allen,No,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,None,Lost,None,None,Male,,,1.05,,,,,,No,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,N/A,N/A,N/A
293126,28024,2075,https://ballotpedia.org/Brenden_Dilley,Brenden Dilley,No,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,None,Lost,None,None,Male,,,1.03,,,,,,No,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,N/A,N/A,N/A
293332,28235,2075,https://ballotpedia.org/Mark_Yates,Mark Yates,No,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,None,Lost,None,None,Male,,,1.12,,,,,,No,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,N/A,N/A,N/A
12045,4068,394,https://ballotpedia.org/Dave_Giles,Dave Giles,No,AZ,U.S. House Arizona District 9,Representative,Regular,8/28/18,None,Lost,None,None,Male,,,33.3,,,,,,,,,,,,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
289163,25226,394,https://ballotpedia.org/Steve_Ferrara,Steve Ferrara,No,AZ,U.S. House Arizona District 9,Representative,Regular,8/28/18,None,Advanced,None,On the Ballot,Male,,,58.9,,,Yes,No,No,,Yes,No,No,Not on website,Physically secure our border,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
290255,25686,394,https://ballotpedia.org/Irina_Baroness_Von_Behr,Irina Baroness Von Behr,No,AZ,U.S. House Arizona District 9,Representative,Regular,8/28/18,None,Lost,None,None,Female,,,7.8,,,,,,,,,,,,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
26686,8804,1160,https://ballotpedia.org/Joe_Arpaio,Joe Arpaio,No,AZ,U.S. Senate Arizona,Senator,Regular,8/28/18,None,Lost,None,None,Male,6/14/32,,18.9,,,,,,,,,,,,N/A,N/A,No,No,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A
31669,10489,1160,https://ballotpedia.org/Kelli_Ward,Kelli Ward,No,AZ,U.S. Senate Arizona,Senator,Regular,8/28/18,None,Lost,None,None,Female,1/25/69,,28.1,,,,,,,,,,,,N/A,N/A,Yes,Yes,N/A,N/A,N/A,Yes,N/A,No,N/A,N/A,N/A,N/A,N/A
37557,12494,1160,https://ballotpedia.org/Martha_McSally,Martha McSally,No,AZ,U.S. Senate Arizona,Senator,Regular,8/28/18,None,Advanced,None,On the Ballot,Female,3/22/66,,53,,,,,,,,,,,,N/A,N/A,No,No,N/A,N/A,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A
287496,24662,1569,https://ballotpedia.org/John_Cox_(California),John Cox,No,CA,Governor of California,Governor,Regular,6/5/18,1454824,Advanced,None,On the Ballot,Male,,,70.15,,,,,,Yes,,,,,,N/A,Yes,N/A,N/A,N/A,Yes-Local (State),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
44413,14820,1569,https://ballotpedia.org/Peter_Yuan_Liu,Peter Yuan Liu,No,CA,Governor of California,Governor,Regular,6/5/18,18051,Lost,None,None,Male,,,1.08,,,,,,No,,,,,,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
