Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,EMILY's List,Justice Dems,Indivisible,PCCC,Our Revolution,Sunrise,Sanders,AOC,Party Committee
Gavin Dass,Male,White,Asian (Indian),,No,No,Texas,3/1/22,Representative,1,"1,881",12%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Victor D. Dunn,Male,Black,,,No,No,Texas,3/1/22,Representative,1,"4,554",28%,Made runoff,"1,783",24%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Jrmar ""JJ"" Jefferson",Male,Black,,,No,No,Texas,3/1/22,Representative,1,"7,411",45%,Made runoff,"5,607",76%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stephen Kocen,Male,White,,,No,No,Texas,3/1/22,Representative,1,"2,457",15%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Robin Fulford,Female,White,,,No,No,Texas,3/1/22,Representative,2,"17,160",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Doc Shelby,Male,Black,,,No,No,Texas,3/1/22,Representative,3,"8,531",38%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sandeep Srivastava,Male,Asian (Indian),,,No,No,Texas,3/1/22,Representative,3,"13,865",62%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iro Omere,Female,Black,,,No,No,Texas,3/1/22,Representative,4,"16,404",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kathleen Cordelia Bailey,Female,White,,,No,No,Texas,3/1/22,Representative,5,"9,605",47%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tartisha Hill,Female,Black,,,No,No,Texas,3/1/22,Representative,5,"10,689",53%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lizzie Fletcher,Female,White,,,Yes,No,Texas,3/1/22,Representative,7,"29,579",100%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Laura Jones,Female,White,,,No,No,Texas,3/1/22,Representative,8,"14,496",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Al Green,Male,Black,,,Yes,No,Texas,3/1/22,Representative,9,"42,782",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Linda Nuno,Female,Latino,,,No,No,Texas,3/1/22,Representative,10,"20,537",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trey J. Hunt,Male,White,Black,,No,No,Texas,3/1/22,Representative,12,"20,561",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kathleen Brown,Female,White,,,No,No,Texas,3/1/22,Representative,13,"10,807",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eugene Howard,Male,Black,,,No,No,Texas,3/1/22,Representative,14,"10,619",50%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
