Category: All categories

Day,"""Hurricane Harvey"": (United States)","""Hurricane Irma"": (United States)","""Hurricane Maria"": (United States)","""Hurricane Jose"": (United States)"
2017-08-20,0,0,0,0
2017-08-21,0,0,0,0
2017-08-22,0,0,0,0
2017-08-23,1,0,0,0
2017-08-24,9,0,0,0
2017-08-25,29,0,0,0
2017-08-26,44,0,0,0
2017-08-27,18,0,0,0
2017-08-28,17,0,0,0
2017-08-29,16,0,0,0
2017-08-30,13,0,0,0
2017-08-31,10,5,0,0
2017-09-01,7,14,0,0
2017-09-02,5,13,0,0
2017-09-03,4,24,0,0
2017-09-04,3,35,0,0
2017-09-05,4,70,0,1
2017-09-06,4,97,0,3
2017-09-07,3,86,0,4
2017-09-08,2,79,0,6
2017-09-09,2,90,0,8
2017-09-10,2,100,0,10
2017-09-11,1,54,0,13
2017-09-12,1,13,0,9
2017-09-13,1,6,0,6
2017-09-14,1,4,0,4
2017-09-15,1,3,0,4
2017-09-16,0,2,1,4
2017-09-17,0,2,5,3
2017-09-18,1,2,11,4
2017-09-19,1,2,21,4
2017-09-20,1,1,19,2
2017-09-21,1,1,11,1
2017-09-22,0,1,6,0
2017-09-23,0,1,4,0
2017-09-24,0,1,4,0
2017-09-25,0,1,3,0
