Date,Harvey,Irma,Maria,Jose
8/20/17,0,0,0,0
8/21/17,0,0,0,0
8/22/17,4,1,0,0
8/23/17,6,1,0,0
8/24/17,309,0,0,0
8/25/17,1348,1,0,0
8/26/17,995,0,0,0
8/27/17,960,0,0,0
8/28/17,1956,1,0,0
8/29/17,2283,0,0,0
8/30/17,1603,0,0,0
8/31/17,1503,61,0,0
9/1/17,1109,66,0,0
9/2/17,700,36,0,0
9/3/17,546,52,0,0
9/4/17,713,221,0,0
9/5/17,1203,793,0,0
9/6/17,933,1668,0,31
9/7/17,744,1994,0,93
9/8/17,716,2049,0,167
9/9/17,420,1595,0,195
9/10/17,278,2544,0,94
9/11/17,400,2416,0,61
9/12/17,508,1388,0,42
9/13/17,465,1057,1,50
9/14/17,338,896,0,9
9/15/17,266,488,6,30
9/16/17,89,316,1,65
9/17/17,107,244,41,78
9/18/17,288,360,304,63
9/19/17,196,575,518,82
9/20/17,234,300,545,20
9/21/17,169,262,528,7
9/22/17,155,175,409,1
9/23/17,12,5,1,0
9/24/17,4,3,0,0
9/25/17,0,0,0,0
9/26/17,0,0,0,0
