Date,Texas,Puerto Rico,Florida
8/20/17,292,32,238
8/21/17,990,23,520
8/22/17,675,33,571
8/23/17,1099,35,600
8/24/17,1548,136,909
8/25/17,2212,37,502
8/26/17,1729,15,197
8/27/17,2333,11,201
8/28/17,4474,39,541
8/29/17,4548,13,496
8/30/17,4053,42,579
8/31/17,3571,32,535
9/1/17,2552,13,603
9/2/17,1751,12,560
9/3/17,1354,43,519
9/4/17,1392,179,532
9/5/17,1995,407,1363
9/6/17,1625,726,2328
9/7/17,1470,528,2609
9/8/17,1305,176,2972
9/9/17,787,93,2655
9/10/17,690,138,3346
9/11/17,1178,115,3206
9/12/17,1182,84,2073
9/13/17,1020,64,1787
9/14/17,959,118,1606
9/15/17,1084,52,974
9/16/17,546,28,651
9/17/17,521,67,510
9/18/17,713,333,621
9/19/17,886,633,783
9/20/17,843,888,589
9/21/17,773,913,536
9/22/17,870,884,472
9/23/17,125,4,86
9/24/17,33,8,49
9/25/17,2,0,0
9/26/17,0,0,0
