name,url
al.com,http://www.al.com
bleacherreport.com,http://bleacherreport.com
Business Insider,http://www.businessinsider.com
Buzzfeed,http://www.buzzfeed.com
cbs news,http://www.cbsnews.com/
Chicago Tribune,http://www.chicagotribune.com/
CNET,http://cnet.com
CNN,http://www.cnn.com/
Daily Mail,http://www.dailymail.co.uk/home/index.html
Daily News,http://www.nydailynews.com/
Daily Telegraph,http://www.telegraph.co.uk/
Dallas Morning News,http://www.dallasnews.com/
elitedaily.com,http://elitedaily.com/#spider
Engadget,http://engadget.com
Examiner.com,http://examiner.com
foxnews.com,http://foxnews.com/
freep.com,http://www.freep.com
Gawker,http://gawker.com
Guardian,http://www.guardian.co.uk/
houstonchronicle,http://www.chron.com/
Huffington Post,http://www.huffingtonpost.com/#
Independent,http://www.independent.co.uk/
LA Times,http://www.latimes.com/
Mashable!,http://mashable.com
Mic,http://mic.com/
mlive.com,http://mlive.com/
MSNBC,http://www.msnbc.msn.com/
NBC News,http://www.nbcnews.com
New York Times,http://nytimes.com
nj.com,http://www.nj.com
NPR,http://www.npr.org/
NY Post,http://www.nypost.com/
Salon,http://www.salon.com/
sfchronicle,http://www.sfgate.com/
slate.com,http://www.slate.com
TechCrunch,http://techcrunch.com
The Atlantic,http://www.theatlantic.com/
The Blaze,http://www.theblaze.com
The Boston Globe,http://www.boston.com/bostonglobe/
The Daily Beast,http://www.thedailybeast.com/
themirror,http://www.mirror.co.uk/
Time,http://time.com
upworthy.com,http://www.upworthy.com
US News & World Report ,http://www.usnews.com/
USAToday,http://usatoday.com/
Vice,http://m.vice.com
Vox,http://www.vox.com
Washington Post,http://washingtonpost.com
Yahoo News,http://news.yahoo.com/
