Date,Query,BBC News,CNN,FOX News,MSNBC
9/17/17,Hurricane Maria,0,0.029,0.0079,0.0208
9/18/17,Hurricane Maria,0.2204,0.1866,0.1877,0.0473
9/19/17,Hurricane Maria,0.8901,0.5818,0.1779,0.2621
9/20/17,Hurricane Maria,0.988,0.7985,0.5387,0.4835
9/21/17,Hurricane Maria,0.4756,0.6454,0.3177,0.2406
9/22/17,Hurricane Maria,0.2761,0.2778,0.1211,0.1998
9/23/17,Hurricane Maria,0.399,0.1442,0.0593,0.0674
9/24/17,Hurricane Maria,0.0216,0.0676,0.0779,0.0234
9/25/17,Hurricane Maria,0.0615,0.2536,0.1326,0.0583
8/31/17,Hurricane Irma,0,0.0072,0.0315,0
9/1/17,Hurricane Irma,0,0.1109,0.0914,0.0146
9/2/17,Hurricane Irma,0,0.0147,0.1081,0.0217
9/3/17,Hurricane Irma,0,0.0075,0.0642,0.0332
9/4/17,Hurricane Irma,0.0518,0.1166,0.1074,0.04
9/5/17,Hurricane Irma,0.3483,0.3329,0.2811,0.1583
9/6/17,Hurricane Irma,1.1525,0.6921,0.5575,0.3442
9/7/17,Hurricane Irma,1.4428,1.0137,0.6116,0.5171
9/8/17,Hurricane Irma,1.3243,1.1146,0.9578,0.7001
9/9/17,Hurricane Irma,1.1708,1.0285,1.208,1.2863
9/10/17,Hurricane Irma,1.4633,0.737,0.6727,0.2444
9/11/17,Hurricane Irma,1.1942,0.7329,0.9287,0.7105
9/12/17,Hurricane Irma,0.6716,0.5916,0.6647,0.5033
9/13/17,Hurricane Irma,0.4248,0.4102,0.203,0.174
9/14/17,Hurricane Irma,0.4412,0.417,0.3971,0.3843
9/15/17,Hurricane Irma,0.0418,0.1209,0.0756,0.1537
9/16/17,Hurricane Irma,0.0558,0.109,0.1555,0.0902
9/17/17,Hurricane Irma,0.0281,0.1642,0.1027,0.1764
9/18/17,Hurricane Irma,0.192,0.1866,0.1877,0.1231
9/19/17,Hurricane Irma,0.4787,0.1374,0.0816,0.085
9/20/17,Hurricane Irma,0.1715,0.1825,0.1747,0.1036
9/21/17,Hurricane Irma,0.0793,0.1174,0.0967,0.0283
9/22/17,Hurricane Irma,0.0145,0.0238,0.0499,0.0207
9/23/17,Hurricane Irma,0.023,0.0144,0.0066,0.0253
9/24/17,Hurricane Irma,0,0,0,0
9/25/17,Hurricane Irma,0,0.011,0.0331,0
8/24/17,Hurricane Harvey,0,0.114,0.121,0.0585
8/25/17,Hurricane Harvey,0.3431,0.8813,0.6824,0.6498
8/26/17,Hurricane Harvey,0.762,0.8628,1.0857,0.9577
8/27/17,Hurricane Harvey,0.1089,0.2344,0.2734,0.2329
8/28/17,Hurricane Harvey,0.1057,0.282,0.1554,0.2863
8/29/17,Hurricane Harvey,0.1885,0.1675,0.3127,0.2115
8/30/17,Hurricane Harvey,0.1011,0.1856,0.3229,0.2055
8/31/17,Hurricane Harvey,0.2116,0.2874,0.3308,0.2755
9/1/17,Hurricane Harvey,0.1267,0.3771,0.5253,0.387
9/2/17,Hurricane Harvey,0.2444,0.491,0.7797,0.4783
9/3/17,Hurricane Harvey,0.0805,0.2093,0.2753,0.5202
9/4/17,Hurricane Harvey,0.0222,0.2331,0.3078,0.3
9/5/17,Hurricane Harvey,0.0909,0.1498,0.1851,0.1223
9/6/17,Hurricane Harvey,0.0419,0.2543,0.223,0.1549
9/7/17,Hurricane Harvey,0.0624,0.1134,0.2109,0.1457
9/8/17,Hurricane Harvey,0.0208,0.1746,0.2242,0.1534
9/9/17,Hurricane Harvey,0,0.0128,0.1691,0.1257
9/10/17,Hurricane Harvey,0.0206,0.0278,0.1067,0
9/11/17,Hurricane Harvey,0.0468,0.0322,0.1337,0.032
9/12/17,Hurricane Harvey,0.0072,0.0524,0.09,0.0336
9/13/17,Hurricane Harvey,0,0.0091,0.0508,0.0261
9/14/17,Hurricane Harvey,0.021,0.0309,0.0426,0.0077
9/15/17,Hurricane Harvey,0,0,0.0151,0.0154
9/16/17,Hurricane Harvey,0.007,0.0073,0.0354,0.0139
9/17/17,Hurricane Harvey,0,0.0097,0.0079,0
9/18/17,Hurricane Harvey,0,0,0.0171,0
9/19/17,Hurricane Harvey,0,0,0,0.0142
9/20/17,Hurricane Harvey,0.0082,0,0.0073,0.0069
9/21/17,Hurricane Harvey,0,0.0251,0.0622,0.0212
9/22/17,Hurricane Harvey,0,0.0476,0.0427,0.0345
9/23/17,Hurricane Harvey,0.0077,0,0.0593,0.0084
9/24/17,Hurricane Harvey,0,0,0.0156,0
9/25/17,Hurricane Harvey,0,0.011,0.0166,0.0194
9/6/17,Hurricane Jose,0,0,0.0172,0
9/7/17,Hurricane Jose,0.0971,0.0467,0.0422,0.0146
9/8/17,Hurricane Jose,0.1387,0.1679,0.0408,0.0267
9/9/17,Hurricane Jose,0.2148,0.0511,0.0403,0.0887
9/10/17,Hurricane Jose,0.0206,0,0,0.0111
9/11/17,Hurricane Jose,0.0234,0.0161,0.0223,0.0192
9/12/17,Hurricane Jose,0,0,0.0277,0.0067
9/13/17,Hurricane Jose,0.0075,0.0091,0.0085,0
9/14/17,Hurricane Jose,0.007,0,0,0
9/15/17,Hurricane Jose,0,0.0076,0,0
9/16/17,Hurricane Jose,0,0.0436,0.0283,0.0347
9/17/17,Hurricane Jose,0,0.0386,0.0237,0.0415
9/18/17,Hurricane Jose,0,0.0104,0.0427,0.0284
9/19/17,Hurricane Jose,0,0,0.0148,0.0638
9/20/17,Hurricane Jose,0,0,0.0146,0
9/21/17,Hurricane Jose,0,0.0084,0.0069,0
