year,state,chamber,district,metric,value,pct
2020,AZ,,1,asian_vap,3382,1.66
2020,AZ,,1,biden_2020,,31.81
2020,AZ,,1,black_vap,2083,1.02
2020,AZ,,1,hispanic_vap,20838,10.22
2020,AZ,,1,native_vap,1640,0.8
2020,AZ,,1,other_vap,868,0.43
2020,AZ,,1,pacisl_vap,255,0.13
2020,AZ,,1,pvi,R+42.8,
2020,AZ,,1,total_pop,246622,
2020,AZ,,1,total_vap,203978,100
2020,AZ,,1,trump_2020,,66.86
2020,AZ,,1,two_plus_vap,7147,3.5
2020,AZ,,1,white_vap,167765,82.25
2020,AZ,,2,asian_vap,2371,1.42
2020,AZ,,2,biden_2020,,60.7
2020,AZ,,2,black_vap,5319,3.19
2020,AZ,,2,hispanic_vap,89583,53.73
2020,AZ,,2,native_vap,2022,1.21
2020,AZ,,2,other_vap,477,0.29
2020,AZ,,2,pacisl_vap,202,0.12
2020,AZ,,2,pvi,D+14.5,
2020,AZ,,2,total_pop,217702,
2020,AZ,,2,total_vap,166718,100
2020,AZ,,2,trump_2020,,38
2020,AZ,,2,two_plus_vap,2944,1.77
2020,AZ,,2,white_vap,63800,38.27
2020,AZ,,3,asian_vap,4610,2.79
2020,AZ,,3,biden_2020,,72.87
2020,AZ,,3,black_vap,5165,3.12
2020,AZ,,3,hispanic_vap,85333,51.57
2020,AZ,,3,native_vap,5449,3.29
2020,AZ,,3,other_vap,605,0.37
2020,AZ,,3,pacisl_vap,207,0.13
2020,AZ,,3,pvi,D+39.6,
2020,AZ,,3,total_pop,207569,
2020,AZ,,3,total_vap,165474,100
2020,AZ,,3,trump_2020,,25.78
2020,AZ,,3,two_plus_vap,3951,2.39
2020,AZ,,3,white_vap,60154,36.35
2020,AZ,,4,asian_vap,2150,1.31
2020,AZ,,4,biden_2020,,55.36
2020,AZ,,4,black_vap,6255,3.82
2020,AZ,,4,hispanic_vap,94815,57.95
2020,AZ,,4,native_vap,7950,4.86
2020,AZ,,4,other_vap,542,0.33
2020,AZ,,4,pacisl_vap,219,0.13
2020,AZ,,4,pvi,D+7.2,
2020,AZ,,4,total_pop,222582,
2020,AZ,,4,total_vap,163621,100
2020,AZ,,4,trump_2020,,43.01
2020,AZ,,4,two_plus_vap,3502,2.14
2020,AZ,,4,white_vap,48188,29.45
2020,AZ,,5,asian_vap,2345,1.24
2020,AZ,,5,biden_2020,,24.02
2020,AZ,,5,black_vap,1782,0.94
2020,AZ,,5,hispanic_vap,27019,14.24
2020,AZ,,5,native_vap,3669,1.93
2020,AZ,,5,other_vap,583,0.31
2020,AZ,,5,pacisl_vap,320,0.17
