state_abbr,state_name,rep_map,rep_map_r_districts,rep_map_d_districts,rep_map_c_districts,rep_map_avg_r_chances,rep_map_avg_d_chances,rep_map_median_pvi,dem_map,dem_map_r_districts,dem_map_d_districts,dem_map_c_districts,dem_map_avg_r_chances,dem_map_avg_d_chances,dem_map_median_pvi,com_map,com_map_r_districts,com_map_d_districts,com_map_c_districts,com_map_avg_r_chances,com_map_avg_d_chances,com_map_median_pvi
AK,Alaska,https://projects.fivethirtyeight.com/redistricting-2022-maps/alaska/,1,0,0,0.914728471,0.085271529,-14.62028,https://projects.fivethirtyeight.com/redistricting-2022-maps/alaska/,1,0,0,0.914728471,0.085271529,-14.62028,https://projects.fivethirtyeight.com/redistricting-2022-maps/alaska/,1,0,0,0.914728471,0.085271529,-14.62028
AL,Alabama,https://projects.fivethirtyeight.com/redistricting-2022-maps/alabama/committee_proposal_1/,6,1,0,0.855632541,0.144367459,-3.989967746,https://projects.fivethirtyeight.com/redistricting-2022-maps/alabama/plaintiffs_plan_c/,5,2,0,0.738228518,0.261771482,-14.80530033,https://projects.fivethirtyeight.com/redistricting-2022-maps/alabama/plaintiffs_plan_c/,5,2,0,0.738228518,0.261771482,-14.80530033
AR,Arkansas,https://projects.fivethirtyeight.com/redistricting-2022-maps/arkansas/sb723/,4,0,0,0.990880306,0.009119694,-0.261231718,https://projects.fivethirtyeight.com/redistricting-2022-maps/arkansas/hb1962/,3,0,1,0.845717809,0.154282191,-7.462783925,https://projects.fivethirtyeight.com/redistricting-2022-maps/arkansas/hb1962/,3,0,1,0.845717809,0.154282191,-7.462783925
AZ,Arizona,https://projects.fivethirtyeight.com/redistricting-2022-maps/arizona/draft_12_1/,6,2,1,0.662640439,0.337359561,-1.041590749,https://projects.fivethirtyeight.com/redistricting-2022-maps/arizona/preliminary_2/,4,3,2,0.56814246,0.43185754,4.290195881,https://projects.fivethirtyeight.com/redistricting-2022-maps/arizona/preliminary_3/,4,2,3,0.623240532,0.376759468,4.080982966
CA,California,https://projects.fivethirtyeight.com/redistricting-2022-maps/california/commission_draft_plan/,7,39,6,0.187300572,0.812699428,3.139152335,https://projects.fivethirtyeight.com/redistricting-2022-maps/california/commission_approved/,7,43,2,0.177906395,0.822093605,3.169976837,https://projects.fivethirtyeight.com/redistricting-2022-maps/california/commission_draft_plan/,7,39,6,0.187300572,0.812699428,3.139152335
CO,Colorado,https://projects.fivethirtyeight.com/redistricting-2022-maps/colorado/final_plan/,3,4,1,0.478351609,0.521648391,-5.041582356,https://projects.fivethirtyeight.com/redistricting-2022-maps/colorado/preliminary/,3,4,1,0.44956525,0.55043475,-1.831909089,https://projects.fivethirtyeight.com/redistricting-2022-maps/colorado/staff_plan_1/,3,3,2,0.474370008,0.525629992,-5.939080198
CT,Connecticut,https://projects.fivethirtyeight.com/redistricting-2022-maps/connecticut/republican_2/,0,3,2,0.229698989,0.770301011,0.865373694,https://projects.fivethirtyeight.com/redistricting-2022-maps/connecticut/democratic_1/,0,3,2,0.186666752,0.813333248,0.521623427,https://projects.fivethirtyeight.com/redistricting-2022-maps/connecticut/republican_2/,0,3,2,0.229698989,0.770301011,0.865373694
DE,Delaware,https://projects.fivethirtyeight.com/redistricting-2022-maps/delaware/,0,1,0,0.097314784,0.902685216,13.7246,https://projects.fivethirtyeight.com/redistricting-2022-maps/delaware/,0,1,0,0.097314784,0.902685216,13.7246,https://projects.fivethirtyeight.com/redistricting-2022-maps/delaware/,0,1,0,0.097314784,0.902685216,13.7246
FL,Florida,https://projects.fivethirtyeight.com/redistricting-2022-maps/florida/P000C0094/,18,8,2,0.663498397,0.336501603,-6.204782102,https://projects.fivethirtyeight.com/redistricting-2022-maps/florida/S019C8052/,15,9,4,0.612070784,0.387929216,-2.128038551,https://projects.fivethirtyeight.com/redistricting-2022-maps/florida/S035C8060/,14,8,6,0.612746982,0.387253018,-0.053595953
GA,Georgia,https://projects.fivethirtyeight.com/redistricting-2022-maps/georgia/draft_plan/,9,4,1,0.668534615,0.331465385,-11.01034254,https://projects.fivethirtyeight.com/redistricting-2022-maps/georgia/dem_proposal/,7,6,1,0.566435829,0.433564171,0.90144633,https://projects.fivethirtyeight.com/redistricting-2022-maps/georgia/dem_proposal/,7,6,1,0.566435829,0.433564171,0.90144633
HI,Hawaii,https://projects.fivethirtyeight.com/redistricting-2022-maps/hawaii/current/,0,2,0,0.005816598,0.994183402,0.17483,https://projects.fivethirtyeight.com/redistricting-2022-maps/hawaii/alternate/,0,2,0,0.00581582,0.99418418,0.031832855,https://projects.fivethirtyeight.com/redistricting-2022-maps/hawaii/current/,0,2,0,0.005816598,0.994183402,0.17483
IA,Iowa,https://projects.fivethirtyeight.com/redistricting-2022-maps/iowa/plan_2/,2,0,2,0.737316979,0.262683021,4.908000005,https://projects.fivethirtyeight.com/redistricting-2022-maps/iowa/plan_1/,2,1,1,0.669978014,0.330021986,3.084555039,https://projects.fivethirtyeight.com/redistricting-2022-maps/iowa/plan_2/,2,0,2,0.737316979,0.262683021,4.908000005
ID,Idaho,https://projects.fivethirtyeight.com/redistricting-2022-maps/idaho/draft_plan_1/,2,0,0,0.993535095,0.006464905,0.630217404,https://projects.fivethirtyeight.com/redistricting-2022-maps/idaho/draft_plan_2/,2,0,0,0.99210742,0.00789258,-0.427574804,https://projects.fivethirtyeight.com/redistricting-2022-maps/idaho/draft_plan_2/,2,0,0,0.99210742,0.00789258,-0.427574804
IL,Illinois,https://projects.fivethirtyeight.com/redistricting-2022-maps/illinois/democratic_plan_1/,3,11,3,0.290496053,0.709503947,-3.470958712,https://projects.fivethirtyeight.com/redistricting-2022-maps/illinois/democratic_plan_2/,3,13,1,0.255093253,0.744906747,-1.046905519,https://projects.fivethirtyeight.com/redistricting-2022-maps/illinois/democratic_plan_1/,3,11,3,0.290496053,0.709503947,-3.470958712
IN,Indiana,https://projects.fivethirtyeight.com/redistricting-2022-maps/indiana/republican_proposal/,7,2,0,0.799299523,0.200700477,-9.956476042,https://projects.fivethirtyeight.com/redistricting-2022-maps/indiana/republican_proposal/,7,2,0,0.799299523,0.200700477,-9.956476042,https://projects.fivethirtyeight.com/redistricting-2022-maps/indiana/republican_proposal/,7,2,0,0.799299523,0.200700477,-9.956476042
KS,Kansas,https://projects.fivethirtyeight.com/redistricting-2022-maps/kansas/ad_astra_2/,3,0,1,0.89346422,0.10653578,-3.415586556,https://projects.fivethirtyeight.com/redistricting-2022-maps/kansas/buffalo_2/,3,1,0,0.783967853,0.216032147,2.177499904,https://projects.fivethirtyeight.com/redistricting-2022-maps/kansas/wildcat/,3,0,1,0.805259598,0.194740402,-2.492594896
