Castle 1,Castle 2,Castle 3,Castle 4,Castle 5,Castle 6,Castle 7,Castle 8,Castle 9,Castle 10,Why did you choose your troop deployment?
2,2,2,2,6,18,2,28,36,2,DONT KNOW
1,1,1,11,19,27,37,1,1,1,"I'm going for the crumbs, hoping that most opponents bet on the valuable castles. And by betting at least 1 soldier on each I'm winning the ones that the opponent doesn't send any soldier to."
2,3,4,5,6,22,6,22,22,8,"Based on previous results, I focussed on castles 6, 8 and 9 and left myself a healthy backup in each of the others"
2,2,4,6,6,10,11,14,17,28,"Fairly evenly spread out, with an emphasis on the point-heavy castles."
1,1,2,3,16,22,1,1,33,20,Sheer whimsy.
2,2,11,12,12,16,16,17,6,6,"I focused on getting the extreme castles (1,2,3,4,9,10) while hoping to steal one of the middle castles (5,6,7,8)"
1,1,1,9,3,1,24,28,31,1,Need 28 to win. Don’t focus on 10 as others will. Hedge with a maybe getting 5
1,4,5,8,9,11,12,15,16,19,Simple weighting according to expected value
4,4,14,13,13,2,15,15,10,10,"I mostly trusted my gut, but did a back over the envelop best response iteration."
2,1,5,20,4,20,4,20,4,20,
1,4,12,14,7,16,18,20,3,5,"I focused on a combination that would get me to 28 points, but still tried to have above average on the castles that others might try to put 1-3 troops at."
1,2,1,3,5,20,21,33,7,7,
3,6,11,13,5,18,22,11,6,4,
4,0,0,0,0,0,0,32,32,32,You only need 28 to win
1,1,6,10,14,15,23,24,3,3,"I'm reverting to something closer to the winning strategy of this question's first instance. I'm sending few troops to the highest and lowest valued castles, instead focusing my parties on the middle-values."
1,1,1,2,1,15,21,26,31,1,"Goal is to maximize odds of winning 28 or more, and winning 6 through 9 seemed to have the easiest path of getting there. Skipping 5 and leaving 2 at 4 is because 4+6+7+8+9 is enough to win, happy to leave 5 behind to win 6-9."
1,1,1,21,1,1,21,21,31,1,"In order to win a war I need to get 28 points, anything more doesn't matter and anything less may as well be zero.  So I chose to strongly contest 4 spots which would allow me to get that score if I only one those (9, 8, 7, and 4).  For each of the remaining spots I chose to place a single troop in case someone also heavily contests one of these numbers but leaves another spot entirely uncontested.  Finally I chose numbers ending in 1 because I assumed that many people would choose round numbers and therefore I would have some chance of barely beating them."
1,0,0,0,1,14,34,34,14,2,"It’s basically a bell curve, but with one soldier in Castle 1 because I had to. "
