Castle 1,Castle 2,Castle 3,Castle 4,Castle 5,Castle 6,Castle 7,Castle 8,Castle 9,Castle 10
0,0,12,1,1,23,3,3,33,24
5,8,0,17,17,16,16,0,23,0
0,0,0,10,13,15,18,20,24,0
6,7,8,16,17,2,2,2,25,25
0,12,0,0,20,21,23,24,0,0
1,2,2,4,8,12,14,16,19,22
0,0,0,5,15,20,20,18,22,0
1,3,4,7,9,14,17,18,17,10
0,0,0,0,19,0,0,21,18,42
0,5,0,0,0,0,0,30,32,33
0,0,5,6,9,11,15,16,18,20
1,2,2,1,13,17,22,4,22,16
0,0,0,0,0,0,25,25,25,25
0,1,1,1,1,25,5,5,35,26
0,10,0,0,0,0,0,28,30,32
8,10,12,14,16,19,21,0,0,0
0,0,0,0,15,17,17,17,17,17
4,5,6,9,0,13,13,17,17,17
6,6,10,13,14,0,25,0,0,26
1,1,1,5,1,1,20,20,25,25
0,8,0,0,15,19,27,31,0,0
0,0,0,11,13,13,14,23,26,0
0,0,0,0,0,25,25,25,25,0
3,4,0,10,11,0,34,0,38,0
0,0,13,1,1,24,1,1,34,25
9,9,10,11,12,13,15,8,8,5
0,0,0,0,0,22,26,26,26,0
2,2,2,2,2,2,2,2,26,58
4,0,0,0,0,0,0,28,33,35
0,0,0,15,15,0,0,0,35,35
1,1,1,1,1,5,9,16,26,39
3,0,0,0,0,0,0,32,31,34
2,3,0,7,10,13,14,17,18,16
1,1,2,2,22,23,25,2,2,20
1,3,4,6,11,10,13,18,19,15
1,1,1,13,3,3,3,25,25,25
3,0,0,0,11,14,17,20,18,17
1,3,4,7,9,12,13,18,18,15
2,2,2,2,2,2,22,22,22,22
0,3,5,7,8,11,15,17,17,17
2,2,2,2,2,2,20,22,22,24
15,0,0,0,0,0,0,27,31,27
2,3,4,5,5,14,14,18,18,17
4,5,1,0,7,12,26,0,23,22
1,5,6,9,1,1,1,1,37,38
6,2,2,2,2,2,6,25,26,27
7,0,0,0,0,0,0,31,31,31
0,0,1,1,2,3,6,12,25,50
3,4,8,8,13,3,3,23,4,31
0,0,0,10,10,0,15,20,20,25
0,0,0,0,10,0,0,30,30,30
6,7,13,14,118,21,21,1,1,1
1,3,5,7,9,11,13,15,17,19
0,0,0,0,6,16,18,18,20,22
0,8,0,14,0,22,0,26,0,30
0,0,0,9,0,14,18,19,19,21
1,1,1,1,1,14,15,19,19,28
4,0,0,0,0,0,0,32,32,32
1,3,3,4,6,11,17,19,19,17
0,0,6,8,16,18,20,18,14,0
0,0,11,2,3,22,4,5,33,20
1,1,1,1,1,15,20,20,20,20
3,1,0,0,0,0,0,31,32,33
0,3,5,11,13,14,15,14,13,12
