Castle 1,Castle 2,Castle 3,Castle 4,Castle 5,Castle 6,Castle 7,Castle 8,Castle 9,Castle 10,Castle 11,Castle 12,Castle 13
1,1,1,1,1,22,23,23,22,1,1,1,2
1,1,1,1,1,3,10,2,12,14,16,18,20
1,1,1,1,1,1,1,20,20,20,20,1,12
0,0,0,0,12,0,0,17,2,20,23,24,2
2,2,2,2,2,2,2,25,25,30,2,2,2
9,9,9,9,9,9,9,9,9,9,4,3,3
1,1,1,1,13,13,13,13,14,14,14,1,1
1,2,3,4,5,6,7,9,10,11,13,14,15
2,1,5,5,0,13,3,8,13,1,18,29,2
0,0,0,0,0,0,0,0,0,0,0,0,100
2,2,3,4,5,5,6,6,6,11,19,21,10
3,2,2,3,4,5,10,12,147,16,20,4,5
1,1,3,4,8,12,15,11,21,14,3,3,4
0,0,0,6,12,12,12,13,0,13,16,16,0
2,3,3,9,3,5,13,19,24,3,6,5,6
2,2,5,7,10,9,15,2,12,16,16,2,2
0,1,1,1,2,2,16,17,18,18,2,20,2
2,3,4,5,6,8,9,10,11,12,13,14,1
0,0,0,0,0,11,13,16,2,3,3,29,23
2,2,4,4,6,6,8,8,12,12,12,12,12
0,2,2,1,1,14,14,14,1,23,1,1,26
0,0,0,0,0,0,6,4,14,10,22,18,26
2,2,2,2,9,10,11,12,13,14,15,4,4
,,,6,6,8,10,12,17,18,19,5,5
2,2,2,2,2,8,8,8,10,26,26,2,2
0,0,0,0,0,0,20,20,20,20,20,0,0
2,2,2,2,2,2,14,12,14,5,18,20,5
0,0,0,1,1,1,1,1,1,18,25,25,26
0,0,0,0,0,0,0,0,0,22,24,26,28
3,2,2,5,3,4,4,5,13,17,18,22,2
1,1,1,2,5,5,10,15,15,15,10,10,10
0,0,6,0,0,0,11,0,0,0,23,27,33
0,0,0,7,1,0,0,1,10,26,26,28,1
1,1,1,1,7,8,9,11,13,14,16,17,1
2,2,2,2,2,12,16,17,18,19,3,3,3
1,1,1,5,5,6,6,8,10,12,12,15,17
5,5,1,1,1,2,10,17,18,25,5,5,5
0,0,0,0,7,13,13,13,13,13,13,13,2
0,0,0,0,0,0,0,0,0,21,24,26,29
0,1,1,1,2,2,2,2,4,10,25,40,10
0,0,0,8,2,2,2,13,17,2,2,31,21
,,,,,,,,,25,25,25,25
2,1,2,6,8,8,10,11,1,1,15,17,18
1,2,2,3,8,11,11,11,11,14,14,6,6
6,7,12,12,7,3,10,1,3,11,1,16,11
1,1,1,1,1,1,1,,1,20,20,25,25
0,0,0,0,0,0,0,0,0,24,25,25,26
2,3,3,3,5,5,9,9,9,12,13,13,14
,,,,,,,15,20,20,20,25,
0,0,0,0,0,0,0,0,0,23,24,26,27
0,0,0,0,0,0,,1,3,6,13,26,51
0,0,0,16,16,0,17,0,17,17,17,0,0
,,,,,,,,20,20,20,20,20
2,3,5,5,5,8,11,14,17,,30,,
,,,,,,20,20,20,20,,20,
0,0,0,0,3,1,1,16,17,27,3,3,29
1,1,1,1,1,1,1,1,1,1,29,30,31
,,,,,,,,,25,25,25,25
1,1,3,6,16,21,1,21,16,11,1,1,1
3,,,,12,15,15,15,20,20,,,
4,4,4,4,4,4,4,4,4,4,4,4,52
1,0,0,0,11,11,11,11,11,11,11,11,11
1,2,3,4,5,6,7,8,12,13,14,12,13
2,2,3,5,9,10,13,26,0,30,0,0,0
6,1,1,1,7,8,10,11,25,27,1,1,1
0,0,0,8,10,1,14,1,18,21,23,2,2
3,3,4,0,0,11,14,27,7,31,0,0,0
2,1,3,3,5,3,11,16,21,25,3,1,6
1,1,1,2,2,3,10,8,5,5,30,30,2
3,3,3,3,4,7,8,12,16,16,16,7,2
,,,,,,,,7,21,31,41,
4,0,0,0,0,0,15,28,8,32,13,0,0
4,1,1,0,0,8,14,15,17,18,20,1,1
0,1,1,3,7,7,7,15,14,15,15,15,2
0,0,0,0,0,0,16,29,9,33,0,13,0
