date,NYC-3-1-1,ACS,BPSI,CAU,CHALL,DEP,DOB,DOE,DOF,DOHMH,DPR,FEMA,HPD,HRA,MFANYC,MOSE,NYCEM,NYCHA,NYCSERVICE,NYPD,NYSDOL,SBS,NYSEMERGENCYMG,total
10/22/12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10/23/12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10/24/12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10/25/12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
10/26/12,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
10/27/12,207,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519
10/28/12,6325,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6351
10/29/12,7922,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,8054
10/30/12,2843,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,3050
10/31/12,7668,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,8023
11/1/12,1717,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,108,0,0,0,0,17,0,1869
11/2/12,317,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,71,0,0,0,0,43,0,459
11/3/12,103,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,36,0,0,0,0,9,0,398
11/4/12,106,0,0,0,0,0,0,4905,0,0,0,0,0,0,0,0,22,0,0,0,0,3,0,5036
11/5/12,186,0,0,4,0,0,12,1417,0,0,0,0,0,0,0,0,42,0,0,0,0,27,0,1688
11/6/12,232,0,0,42,0,0,31,1535,0,0,0,0,0,0,123,0,27,0,0,0,0,14,0,2004
11/7/12,269,0,0,33,0,0,55,1434,0,0,0,0,0,0,287,0,29,0,0,0,0,9,0,2116
11/8/12,169,0,0,37,0,0,72,1035,0,0,0,0,0,0,194,0,92,0,0,0,0,12,0,1611
11/9/12,115,0,0,112,0,0,57,143,0,0,0,0,0,0,182,0,59,0,0,0,0,11,0,679
11/10/12,28,0,0,66,0,0,90,36,0,0,0,0,0,0,104,0,11,0,0,0,0,1,0,336
11/11/12,27,0,0,43,0,0,56,50,0,0,0,0,0,0,62,0,3,0,0,0,0,1,0,242
11/12/12,56,0,0,93,0,0,89,258,0,0,0,0,0,0,212,0,29,0,0,0,0,13,0,750
11/13/12,0,0,0,101,83,0,100,220,0,0,0,0,0,0,0,0,21,0,0,0,0,12,0,537
11/14/12,0,0,3,81,107,0,74,83,0,0,0,0,0,0,0,0,26,0,0,0,0,12,0,386
11/15/12,5,0,28,53,235,0,78,49,0,0,0,0,0,0,0,0,27,4,0,0,0,8,0,487
11/16/12,0,0,17,44,202,0,45,34,0,0,0,0,0,0,0,0,17,7,0,0,0,13,0,379
11/17/12,0,0,6,15,105,0,32,5,0,0,0,0,0,0,0,0,7,6,0,0,0,1,0,177
11/18/12,0,0,4,38,91,0,30,28,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,207
11/19/12,0,0,14,46,202,0,97,63,0,0,0,0,0,0,0,0,13,10,0,0,0,7,0,452
11/20/12,0,0,9,37,224,0,59,25,0,0,0,0,0,0,0,0,12,5,0,0,0,14,0,385
11/21/12,0,0,5,23,191,0,42,14,0,0,3,0,0,0,0,0,8,3,0,8,0,4,0,301
11/22/12,0,0,2,8,58,0,10,0,0,0,8,0,0,0,0,0,2,1,4,0,0,0,0,93
11/23/12,0,0,7,27,189,0,43,1,0,0,52,0,0,0,0,0,4,3,42,3,0,4,0,375
11/24/12,0,0,3,25,164,4,25,2,0,0,31,0,0,0,0,0,9,4,25,2,0,17,0,311
11/25/12,0,0,1,13,134,2,17,11,0,0,18,0,0,0,0,0,6,2,71,5,0,18,0,298
11/26/12,0,0,4,38,578,2,47,30,0,0,54,0,0,0,0,0,18,6,93,4,1254,52,0,2180
11/27/12,0,0,8,29,465,0,46,15,0,0,56,0,0,0,0,0,12,4,26,1,797,28,0,1487
11/28/12,0,5,2,31,337,0,58,9,0,0,46,0,0,0,0,0,4,6,16,2,361,22,0,899
11/29/12,0,5,4,27,283,0,65,6,32,3,42,0,0,0,0,0,12,7,11,5,233,12,0,747
11/30/12,0,5,2,39,161,2,52,7,57,7,44,0,0,0,0,0,8,4,11,3,122,10,0,534
12/1/12,0,0,1,14,131,2,20,6,11,7,21,0,0,0,0,0,10,5,6,1,68,1,0,304
12/2/12,0,0,1,7,120,0,12,7,4,4,15,0,0,0,0,0,1,0,9,4,49,1,0,234
12/3/12,0,1,1,23,221,3,53,8,90,4,45,0,0,0,0,0,7,3,11,0,129,8,0,607
12/4/12,0,3,4,11,167,5,42,7,92,4,37,0,0,0,0,0,5,3,8,4,122,4,0,518
12/5/12,0,3,2,19,158,3,37,5,87,6,37,0,0,0,0,4,16,2,7,3,113,6,0,508
12/6/12,0,0,1,36,206,4,28,5,51,1,42,0,0,0,0,7,3,8,12,9,153,9,0,575
12/7/12,0,1,1,12,148,1,25,1,48,4,21,0,0,1,0,7,7,2,6,3,117,11,0,416
12/8/12,0,0,0,5,109,0,13,0,11,8,0,0,0,18,0,4,5,1,5,0,56,2,0,237
12/9/12,0,0,3,5,72,1,10,0,6,1,0,0,0,16,0,0,4,2,4,0,42,0,0,166
12/10/12,0,1,2,12,156,7,35,7,33,9,0,0,0,57,0,5,6,0,11,1,90,11,0,443
12/11/12,0,0,1,17,132,1,15,2,61,9,0,0,0,48,0,1,9,1,4,2,109,11,0,423
12/12/12,0,0,0,17,151,2,26,3,60,14,0,0,0,86,0,4,6,4,10,6,96,4,0,489
12/13/12,0,1,1,20,111,3,11,7,48,11,0,0,0,65,0,2,2,1,8,3,96,5,0,395
12/14/12,0,2,1,15,111,3,31,4,40,10,0,0,0,81,0,6,3,5,12,3,65,4,0,396
12/15/12,0,0,2,9,41,0,11,0,14,4,0,0,0,49,0,1,1,0,2,0,19,0,0,153
12/16/12,0,0,0,5,46,2,8,1,2,10,0,0,0,356,0,1,0,1,2,1,22,3,0,460
12/17/12,0,1,4,15,101,3,31,2,68,9,0,0,0,331,0,3,5,1,8,3,81,6,0,672
12/18/12,0,0,3,8,95,0,30,2,41,5,0,0,0,231,0,1,8,1,6,0,50,8,0,489
12/19/12,0,0,0,7,80,2,18,1,20,14,0,0,0,41,0,8,2,2,6,4,57,5,0,267
12/20/12,0,0,1,0,59,1,9,4,38,7,0,0,0,0,0,1,3,0,3,3,32,2,0,163
12/21/12,0,0,0,2,83,2,15,86,25,7,0,0,6,0,0,2,2,4,3,2,26,3,0,268
12/22/12,0,0,1,1,71,0,2,0,5,3,0,0,0,0,0,0,3,0,1,0,13,0,0,100
12/23/12,0,1,0,0,45,0,0,2,2,6,0,0,7,0,0,0,1,1,4,0,7,1,0,77
12/24/12,0,0,0,1,49,0,9,0,12,1,0,0,9,0,0,2,2,3,8,1,17,1,0,115
12/25/12,0,0,0,0,11,0,0,0,2,2,0,0,2,0,0,0,1,0,5,0,2,0,0,25
12/26/12,0,0,1,1,88,1,11,0,34,4,0,0,18,0,0,3,2,0,4,0,29,3,0,199
12/27/12,0,0,0,2,93,1,16,1,25,4,0,0,15,0,0,0,2,1,4,2,25,7,0,198
12/28/12,0,1,0,0,72,1,21,0,28,11,0,0,13,0,0,2,1,4,5,2,10,6,0,177
12/29/12,0,0,1,1,81,1,2,1,6,0,0,0,3,0,0,2,1,1,0,0,8,0,0,108
12/30/12,0,0,0,0,47,0,3,0,2,3,0,0,6,0,0,0,4,1,0,1,6,0,0,73
12/31/12,0,0,1,1,61,1,8,0,21,5,0,0,6,0,0,4,0,2,0,0,14,8,0,132
1/1/13,0,0,0,0,30,0,0,13,1,1,0,0,1,0,0,0,0,1,0,1,6,1,0,55
1/2/13,0,0,0,1,107,2,10,9,14,6,0,0,15,0,0,2,1,3,3,1,35,4,0,213
1/3/13,0,2,0,0,84,1,6,2,18,6,0,0,10,0,0,1,6,2,4,1,22,3,0,168
1/4/13,0,0,0,4,94,0,7,0,24,6,0,0,9,0,0,0,2,3,3,0,21,1,0,174
1/5/13,0,0,0,0,58,0,4,0,5,4,0,0,3,0,0,0,0,1,0,1,4,2,0,82
1/6/13,0,0,0,0,48,0,3,0,0,6,0,0,4,0,0,0,0,0,0,0,4,0,0,65
1/7/13,0,0,2,0,98,2,8,3,15,12,0,0,9,0,0,2,2,2,1,0,24,4,0,184
1/8/13,0,0,1,0,66,0,7,0,7,5,0,0,12,0,0,3,1,1,1,0,22,5,0,131
1/9/13,0,0,1,0,79,1,14,2,21,4,0,0,8,0,0,2,2,0,4,0,11,3,0,152
1/10/13,0,0,0,1,115,2,11,0,6,4,0,0,8,0,0,3,2,1,1,0,20,2,0,176
1/11/13,0,0,1,0,138,1,12,2,8,3,0,0,9,0,0,0,1,2,4,0,5,2,0,188
1/12/13,0,0,0,0,97,0,5,0,6,5,0,0,3,0,0,2,3,0,2,3,5,2,0,133
1/13/13,0,0,0,0,74,0,3,0,6,1,0,0,5,0,0,0,1,0,1,0,2,1,0,94
1/14/13,0,0,0,0,162,0,13,5,14,2,0,0,7,0,0,1,2,1,0,1,19,5,0,232
1/15/13,0,0,0,1,64,0,20,2,16,0,0,0,15,0,0,2,2,0,2,0,14,2,0,140
1/16/13,0,0,0,0,67,1,11,1,14,1,0,0,17,0,0,1,2,1,2,1,20,1,0,140
1/17/13,0,0,0,1,52,0,10,1,11,5,0,0,7,0,0,1,1,0,3,1,11,4,0,108
1/18/13,0,0,1,1,59,0,9,1,10,1,0,0,22,0,0,1,0,1,3,1,13,2,0,125
1/19/13,0,0,0,4,37,0,5,0,2,3,0,0,6,0,0,0,2,0,0,0,7,0,0,66
1/20/13,0,0,0,0,25,1,3,0,1,0,0,0,7,0,0,0,1,0,0,1,5,2,0,46
1/21/13,0,0,0,0,31,1,6,0,8,0,0,0,10,0,0,0,1,0,0,0,7,1,0,65
1/22/13,0,0,1,0,69,1,9,2,18,2,0,0,21,0,0,1,4,1,3,1,22,1,0,156
1/23/13,0,0,0,1,27,0,10,2,4,5,0,0,8,0,0,0,2,0,5,2,8,1,0,75
1/24/13,0,0,0,1,39,0,11,1,22,2,0,0,10,0,0,1,1,1,1,0,11,16,0,117
1/25/13,0,0,0,2,47,0,9,0,17,1,0,0,14,0,0,1,0,2,3,0,10,18,0,124
1/26/13,0,0,0,0,43,0,5,0,3,0,0,0,6,0,0,1,2,0,0,1,3,3,0,67
1/27/13,0,0,0,0,34,0,1,0,1,0,0,0,10,0,0,0,1,0,0,0,0,3,0,50
1/28/13,0,1,1,0,44,0,12,1,34,4,0,0,12,0,0,4,1,1,3,0,10,20,0,148
1/29/13,0,2,1,0,52,0,9,0,31,6,0,0,28,0,0,0,1,1,1,4,13,19,0,168
1/30/13,0,2,1,1,34,1,13,0,57,1,0,0,18,0,0,1,4,0,8,2,4,12,0,159
1/31/13,0,2,0,1,46,0,11,1,86,0,0,0,21,0,0,0,2,0,13,1,11,5,0,200
2/1/13,0,0,1,2,35,0,13,0,71,2,0,0,16,0,0,0,1,0,11,0,6,2,0,160
2/2/13,0,0,0,1,26,0,4,0,12,1,0,0,8,0,0,0,0,0,4,0,3,1,0,60
2/3/13,0,0,0,0,9,1,1,0,6,0,0,0,3,0,0,0,0,0,3,0,2,0,0,25
2/4/13,0,0,0,1,40,0,10,0,50,1,0,0,22,0,0,1,1,0,9,0,14,8,0,157
2/5/13,0,0,0,0,36,2,6,0,30,0,0,0,17,0,0,0,2,0,7,0,10,7,0,117
2/6/13,0,0,1,1,31,2,4,0,38,0,0,0,25,0,0,1,0,1,7,0,8,6,0,125
2/7/13,0,2,0,4,32,1,7,0,28,3,0,0,26,0,0,0,0,0,5,3,7,6,0,124
2/8/13,0,0,0,0,30,1,0,0,19,0,0,0,21,0,0,1,0,0,3,1,5,0,0,81
2/9/13,0,0,0,0,5,1,3,0,6,2,0,0,8,0,0,0,0,0,0,0,2,1,0,28
2/10/13,0,0,0,1,14,0,0,0,4,0,0,0,7,0,0,0,0,0,3,1,1,1,0,32
2/11/13,0,0,0,0,33,2,5,0,27,2,0,0,27,0,0,0,1,0,7,1,5,11,0,121
2/12/13,0,0,0,0,25,2,11,0,37,2,0,0,21,0,0,3,0,0,10,0,7,7,0,125
2/13/13,0,0,1,2,26,1,3,1,26,1,0,0,18,0,0,0,0,1,11,1,8,2,0,102
2/14/13,0,0,0,0,13,1,8,0,26,4,0,0,6,0,0,4,0,0,17,0,3,8,0,90
2/15/13,0,0,0,2,29,2,5,0,11,1,0,0,12,0,0,1,2,0,21,3,7,6,0,102
2/16/13,0,0,0,0,12,0,1,0,2,1,0,0,7,0,0,1,1,0,10,1,0,2,0,38
2/17/13,0,0,0,0,10,0,1,0,1,3,0,0,2,0,0,0,0,0,11,1,0,0,0,29
2/18/13,0,0,0,0,10,0,2,0,2,0,0,0,14,0,0,0,1,0,12,1,4,0,0,46
2/19/13,0,0,1,0,24,1,10,1,13,2,0,0,23,0,0,3,0,0,24,0,4,8,0,114
2/20/13,0,0,0,3,24,0,6,1,18,3,0,0,25,0,0,2,0,1,18,1,7,5,0,114
2/21/13,0,0,0,2,37,1,7,1,13,3,0,0,22,0,0,2,2,0,12,0,0,2,0,104
2/22/13,0,0,0,0,31,1,9,0,9,4,0,0,11,0,0,0,1,0,8,1,4,2,0,81
2/23/13,0,1,0,0,9,0,1,0,0,3,0,0,7,0,0,0,0,0,4,0,1,0,0,26
2/24/13,0,0,0,0,6,0,3,0,3,1,0,0,5,0,0,1,0,0,4,0,2,0,0,25
2/25/13,0,0,0,0,16,1,6,0,18,2,0,0,27,0,0,1,1,0,5,1,4,7,0,89
2/26/13,0,0,0,0,17,0,10,0,14,1,0,0,29,0,0,0,1,0,10,1,4,7,0,94
2/27/13,0,0,1,0,20,1,11,0,24,3,0,0,22,0,0,1,0,0,7,2,5,6,0,103
2/28/13,0,1,0,0,20,1,10,0,24,1,0,0,16,0,0,3,0,0,6,1,5,5,0,93
3/1/13,0,0,1,0,14,0,4,0,20,4,0,0,14,0,0,0,0,1,6,0,2,1,0,67
3/2/13,0,0,0,0,7,2,0,0,1,2,0,0,6,0,0,0,1,0,3,0,0,0,0,22
3/3/13,0,0,0,0,2,0,1,0,0,2,0,0,7,0,0,1,1,0,5,0,2,0,0,21
3/4/13,0,0,0,0,8,0,15,1,20,2,0,0,18,0,0,0,0,0,6,0,1,4,0,75
3/5/13,0,1,1,0,7,0,8,0,4,2,0,0,10,0,0,0,0,0,5,2,4,1,0,45
3/6/13,0,0,0,0,4,0,4,0,22,3,0,0,16,0,0,2,1,0,2,0,1,3,0,58
3/7/13,0,0,0,0,3,1,6,0,15,0,0,0,6,0,0,2,1,0,5,2,3,6,0,50
3/8/13,0,0,0,0,4,0,3,0,18,3,0,0,10,0,0,1,0,1,2,2,2,3,0,49
3/9/13,0,0,0,0,2,1,5,0,0,0,0,0,2,0,0,0,0,0,3,0,2,0,0,15
3/10/13,0,0,0,0,2,0,2,0,4,0,0,0,3,0,0,0,0,0,8,0,0,0,0,19
3/11/13,0,0,0,0,4,0,4,0,14,1,0,0,10,0,0,1,1,0,10,1,1,6,0,53
3/12/13,0,0,0,0,7,1,6,0,16,4,0,0,9,0,0,0,1,1,6,0,2,7,0,60
3/13/13,0,0,0,0,6,0,9,0,28,1,0,0,7,0,0,2,1,0,7,0,4,5,0,70
3/14/13,0,0,0,0,9,0,15,0,17,0,0,0,7,0,0,0,1,0,4,0,1,1,0,55
3/15/13,0,0,0,0,3,0,10,0,13,2,0,0,13,0,0,0,1,0,8,0,2,2,0,54
3/16/13,0,0,0,0,2,0,3,0,2,0,0,0,4,0,0,0,1,0,5,0,0,1,0,18
3/17/13,0,0,0,0,0,0,5,0,1,0,0,0,5,0,0,0,1,0,8,0,0,0,0,20
3/18/13,0,0,1,0,5,0,2,0,5,0,0,0,8,0,0,0,1,0,6,1,3,1,0,33
3/19/13,0,0,0,0,2,0,4,0,12,2,0,0,10,0,0,1,1,0,4,1,1,1,0,39
3/20/13,0,0,0,0,6,1,5,0,7,2,0,0,12,0,0,0,1,1,11,0,2,1,0,49
3/21/13,0,0,0,0,5,0,2,0,0,1,0,0,11,0,0,1,1,1,12,0,1,3,0,38
3/22/13,0,0,0,0,27,1,7,0,12,0,0,0,11,0,0,0,1,0,3,0,1,1,0,64
3/23/13,0,0,0,0,8,0,2,0,3,0,0,0,2,0,0,0,0,0,6,0,1,0,0,22
3/24/13,0,0,0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,13
3/25/13,0,0,1,0,7,2,3,0,6,0,0,0,11,0,0,0,0,0,8,0,3,1,0,42
3/26/13,0,0,0,0,6,0,11,0,8,1,0,0,12,0,0,0,1,0,12,0,6,2,0,59
3/27/13,0,0,0,0,16,0,5,0,13,0,0,0,15,0,0,0,0,0,9,2,1,6,0,67
3/28/13,0,0,0,0,8,0,11,0,6,2,0,0,11,0,0,0,0,0,16,0,2,2,0,58
3/29/13,0,0,0,0,5,1,5,0,2,4,0,0,2,0,0,0,1,0,9,1,2,1,0,33
3/30/13,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,6,1,0,0,0,13
3/31/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,5
4/1/13,0,0,0,0,8,1,3,0,11,0,0,0,12,0,0,0,1,1,9,2,2,3,0,53
4/2/13,0,0,0,0,4,1,4,0,6,0,0,0,9,0,0,1,0,1,6,0,2,0,0,34
4/3/13,0,0,0,0,10,1,3,0,5,1,0,0,13,0,0,0,0,1,4,1,0,2,0,41
4/4/13,0,0,0,0,4,2,4,0,1,3,0,0,4,0,0,0,0,0,7,0,1,1,0,27
4/5/13,0,0,0,0,2,0,1,0,5,5,0,0,5,0,0,0,0,0,2,0,0,1,0,21
4/6/13,0,1,0,0,1,1,1,0,1,0,0,0,3,0,0,0,0,0,4,0,2,1,0,15
4/7/13,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,6
4/8/13,0,0,0,0,3,2,3,0,6,2,0,0,9,0,0,0,1,0,2,0,0,3,0,31
4/9/13,0,0,0,0,5,1,7,0,5,3,0,0,7,0,0,0,0,0,6,0,0,1,0,35
4/10/13,0,0,0,0,7,0,1,0,3,0,0,0,8,0,0,2,0,0,7,0,1,4,0,33
4/11/13,0,0,0,0,3,0,2,0,6,0,0,0,7,0,0,1,1,0,2,0,2,2,0,26
4/12/13,0,0,0,0,2,1,4,0,4,2,0,0,4,0,0,0,0,1,4,0,1,1,0,24
4/13/13,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,7
4/14/13,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,1,1,0,0,10
4/15/13,0,0,0,0,3,0,4,0,0,0,0,0,5,0,0,0,1,0,1,1,0,2,0,17
4/16/13,0,0,0,0,4,0,3,0,7,1,0,0,7,0,0,0,0,0,8,0,0,3,0,33
4/17/13,0,0,0,0,6,1,4,0,8,1,0,0,7,0,0,2,0,0,4,1,1,4,0,39
4/18/13,0,0,0,0,3,0,5,0,5,0,0,0,3,0,0,1,0,0,2,0,0,0,6,25
4/19/13,0,0,0,0,5,0,1,0,0,6,0,0,3,0,0,0,1,0,7,1,0,1,9,34
4/20/13,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,8,17
4/21/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
4/22/13,0,0,0,0,6,0,2,0,8,3,0,0,5,0,0,0,0,0,6,0,2,0,15,47
4/23/13,0,0,0,0,4,1,3,0,8,1,0,0,7,0,0,1,0,0,2,1,0,1,20,49
4/24/13,0,0,0,0,2,1,6,0,4,0,0,0,8,0,0,1,1,0,0,1,2,2,23,51
4/25/13,0,0,0,0,3,0,1,0,5,0,0,0,7,0,0,0,0,0,2,0,0,1,31,50
4/26/13,0,0,0,0,6,0,2,0,2,0,0,0,5,0,0,0,1,0,1,1,0,1,12,31
4/27/13,0,0,0,0,0,0,2,0,1,0,0,0,3,0,0,1,0,0,3,0,0,0,6,16
4/28/13,0,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,5,15
4/29/13,0,0,0,0,10,1,3,0,5,3,0,0,13,0,0,2,0,0,4,1,1,4,31,78
4/30/13,0,0,0,0,5,2,2,0,2,2,0,0,9,0,0,1,0,0,4,0,0,1,20,48
5/1/13,0,0,0,0,5,0,3,0,7,4,0,0,13,0,0,2,1,0,2,0,2,0,25,64
5/2/13,0,0,0,0,4,0,2,0,1,1,0,0,9,0,0,1,0,0,8,0,0,1,16,43
5/3/13,0,0,0,0,2,2,0,0,1,0,0,0,2,0,0,0,0,0,6,0,2,0,14,29
5/4/13,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,6
5/5/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
5/6/13,0,0,0,0,3,2,2,0,0,0,0,0,10,0,0,0,1,0,3,0,2,0,19,42
5/7/13,0,0,0,0,3,0,2,0,3,1,0,0,9,0,0,0,2,0,9,1,0,2,14,46
5/8/13,0,0,0,0,1,1,1,0,4,1,0,0,4,0,0,0,0,0,2,0,0,1,8,23
5/9/13,0,0,0,0,3,0,3,0,2,3,0,0,13,0,0,1,0,0,1,0,1,2,14,43
5/10/13,0,0,0,0,14,0,3,0,0,1,0,0,1,0,0,4,1,0,5,0,0,5,12,46
5/11/13,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,5,14
5/12/13,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4
5/13/13,0,0,0,0,16,1,0,0,1,1,0,0,7,0,0,2,0,1,4,0,0,6,26,65
5/14/13,0,0,0,0,12,0,1,0,1,1,0,0,15,0,0,0,1,0,5,0,0,2,24,62
5/15/13,0,0,0,0,14,0,2,0,3,0,0,0,4,0,0,0,0,0,3,0,0,3,25,54
5/16/13,0,0,0,0,9,1,0,0,0,0,0,0,6,0,0,0,0,0,4,0,2,1,18,41
5/17/13,0,0,0,0,5,0,1,0,0,0,0,0,7,0,0,0,1,0,1,0,0,2,13,30
5/18/13,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,1,1,0,0,1,9
5/19/13,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,7,12
5/20/13,0,0,0,0,13,0,2,0,2,0,0,0,4,0,0,1,2,0,5,0,1,0,14,44
5/21/13,0,0,0,0,2,0,3,0,3,2,0,0,7,0,0,1,2,0,4,0,0,4,11,39
5/22/13,0,0,0,0,10,1,0,0,0,0,0,0,6,0,0,2,1,2,1,0,0,1,22,46
5/23/13,0,0,0,0,9,0,1,0,4,1,0,0,12,0,0,0,2,0,1,0,0,1,7,38
5/24/13,0,0,0,0,5,0,0,0,1,1,0,0,1,0,0,1,0,1,3,0,1,1,7,22
5/25/13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,2,8
5/26/13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
5/27/13,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,5
5/28/13,0,0,0,0,6,0,4,0,5,0,0,0,7,0,0,1,0,0,5,0,1,3,16,48
