type,state,seat,num_polls,num_polls_partisan,Cook rating
HouseRace,AL,District 1,0,0,Solid R
HouseRace,AL,District 2,0,0,Solid R
HouseRace,AL,District 3,0,0,Solid R
HouseRace,AL,District 4,0,0,Solid R
HouseRace,AL,District 5,0,0,Solid R
HouseRace,AL,District 6,0,0,Solid R
HouseRace,AL,District 7,0,0,Solid D
HouseRace,AR,District 1,1,0,Solid R
HouseRace,AR,District 2,1,0,Solid R
HouseRace,AR,District 3,1,0,Solid R
HouseRace,AR,District 4,1,0,Likely R
HouseRace,AZ,District 1,2,1,Toss-Up
HouseRace,AZ,District 2,4,4,Lean D
HouseRace,AZ,District 3,0,0,Solid D
HouseRace,AZ,District 4,0,0,Solid R
HouseRace,AZ,District 5,0,0,Solid R
HouseRace,AZ,District 6,0,0,Solid R
HouseRace,AZ,District 8,0,0,Solid R
HouseRace,CA,District 1,0,0,Solid R
HouseRace,CA,District 2,0,0,Solid D
HouseRace,CA,District 3,2,2,Likely D
HouseRace,CA,District 4,0,0,Solid R
HouseRace,CA,District 5,0,0,Solid D
HouseRace,CA,District 6,0,0,Solid D
HouseRace,CA,District 7,1,1,Toss-Up
HouseRace,CA,District 8,0,0,Solid R
HouseRace,CA,District 9,4,4,Toss-Up
HouseRace,CA,District 10,3,3,Toss-Up
HouseRace,CA,District 11,0,0,Solid D
HouseRace,CA,District 12,0,0,Solid D
HouseRace,CA,District 13,0,0,Solid D
HouseRace,CA,District 14,0,0,Solid D
HouseRace,CA,District 15,0,0,Solid D
HouseRace,CA,District 16,0,0,Solid D
HouseRace,CA,District 17,0,0,Solid D
HouseRace,CA,District 18,0,0,Solid D
HouseRace,CA,District 19,0,0,Solid D
HouseRace,CA,District 20,0,0,Solid D
HouseRace,CA,District 21,2,2,Likely R
HouseRace,CA,District 22,0,0,Solid R
HouseRace,CA,District 23,0,0,Solid R
HouseRace,CA,District 25,0,0,Solid R
HouseRace,CA,District 26,1,1,Toss-Up
HouseRace,CA,District 27,0,0,Solid D
HouseRace,CA,District 28,0,0,Solid D
HouseRace,CA,District 29,0,0,Solid D
HouseRace,CA,District 30,5,2,Solid D
HouseRace,CA,District 31,0,0,Solid R
HouseRace,CA,District 32,0,0,Solid D
HouseRace,CA,District 33,0,0,Solid D
HouseRace,CA,District 34,0,0,Solid D
HouseRace,CA,District 35,0,0,Solid D
HouseRace,CA,District 36,5,5,Toss-Up
HouseRace,CA,District 37,0,0,Solid D
HouseRace,CA,District 38,0,0,Solid D
HouseRace,CA,District 39,0,0,Solid R
HouseRace,CA,District 40,0,0,Solid D
HouseRace,CA,District 41,1,1,Lean D
HouseRace,CA,District 42,0,0,Solid R
HouseRace,CA,District 43,0,0,Solid D
HouseRace,AZ,District 9,3,3,Lean D
HouseRace,CA,District 45,0,0,Solid R
HouseRace,CA,District 46,0,0,Solid D
HouseRace,CA,District 47,3,3,Likely D
HouseRace,CA,District 48,0,0,Solid R
HouseRace,CA,District 49,0,0,Solid R
HouseRace,CA,District 50,0,0,Solid R
HouseRace,CA,District 51,0,0,Solid D
HouseRace,CA,District 52,5,4,Toss-Up
HouseRace,CA,District 53,0,0,Solid D
HouseRace,CO,District 1,0,0,Solid D
HouseRace,CO,District 2,0,0,Solid D
HouseRace,CO,District 3,1,1,Lean R
HouseRace,CO,District 4,1,1,Solid R
HouseRace,CO,District 5,0,0,Solid R
HouseRace,CO,District 6,2,2,Toss-Up
HouseRace,CO,District 7,1,1,Lean D
HouseRace,CT,District 1,0,0,Solid D
HouseRace,CT,District 3,0,0,Solid D
HouseRace,CT,District 4,0,0,Solid D
HouseRace,CT,District 5,3,3,Toss-Up
HouseRace,DE,District 1,0,0,Solid D
HouseRace,FL,District 1,0,0,Solid R
HouseRace,FL,District 2,3,1,Lean R
HouseRace,FL,District 3,1,0,Solid R
HouseRace,FL,District 4,0,0,Solid R
HouseRace,FL,District 5,0,0,Solid D
HouseRace,FL,District 6,0,0,Solid R
HouseRace,FL,District 7,0,0,Solid R
HouseRace,FL,District 8,0,0,Solid R
HouseRace,FL,District 9,5,2,Likely D
HouseRace,FL,District 10,4,2,Lean R
HouseRace,FL,District 11,0,0,Solid R
HouseRace,FL,District 12,1,0,Solid R
HouseRace,FL,District 13,3,1,Solid R
HouseRace,FL,District 14,1,0,Solid D
HouseRace,FL,District 15,0,0,Solid R
HouseRace,FL,District 16,4,2,Likely R
HouseRace,FL,District 17,0,0,Solid R
HouseRace,FL,District 18,10,4,Toss-Up
HouseRace,FL,District 19,0,0,Solid R
HouseRace,FL,District 20,0,0,Solid D
HouseRace,FL,District 22,7,2,Likely D
HouseRace,FL,District 23,1,1,Solid D
HouseRace,FL,District 24,0,0,Solid D
HouseRace,FL,District 25,0,0,Solid R
HouseRace,GA,District 1,0,0,Solid R
HouseRace,GA,District 2,0,0,Solid D
HouseRace,GA,District 3,0,0,Solid R
HouseRace,GA,District 4,0,0,Solid D
HouseRace,GA,District 5,0,0,Solid D
HouseRace,GA,District 6,0,0,Solid R
HouseRace,GA,District 7,0,0,Solid R
HouseRace,GA,District 8,0,0,Solid R
HouseRace,GA,District 9,0,0,Solid R
HouseRace,GA,District 10,0,0,Solid R
HouseRace,GA,District 11,0,0,Solid R
HouseRace,GA,District 12,2,2,Toss-Up
HouseRace,GA,District 13,0,0,Solid D
HouseRace,HI,District 1,2,0,Solid D
HouseRace,HI,District 2,1,0,Solid D
HouseRace,ID,District 1,0,0,Solid R
HouseRace,ID,District 2,0,0,Solid R
HouseRace,IL,District 1,0,0,Solid D
HouseRace,IL,District 2,1,0,Solid D
HouseRace,IL,District 3,0,0,Solid D
HouseRace,IL,District 5,0,0,Solid D
HouseRace,IL,District 6,0,0,Solid R
HouseRace,IL,District 7,0,0,Solid D
HouseRace,IL,District 8,7,5,Likely D
HouseRace,IL,District 9,0,0,Solid D
HouseRace,IL,District 10,7,6,Toss-Up
HouseRace,IL,District 11,3,2,Toss-Up
HouseRace,IL,District 12,5,2,Toss-Up
