pollster_name,pollster_rating_id,2024_pollster_rating,sponsor_names,sponsor_classifications,partisanship,internal,state,start_date,end_date,tracking,has_prez?,has_generic?,has_senate?,has_house?,media?,university?,media_or_university
Marist College,183,2.94,"NPR, PBS NewsHour",national media,,,US,7/9/24,7/10/24,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Clarity Campaign Labs,52,1.57,,,,,US,6/13/24,6/20/24,FALSE,TRUE,TRUE,FALSE,FALSE,,,FALSE
North Star Opinion Research,233,1.07,American Greatness,national media,,,WI,7/6/24,7/10/24,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,TRUE
GQR,126,2.02,,,DEM,TRUE,IA,6/24/24,6/27/24,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE
YouGov,391,2.98,Yahoo News,national media,,,US,6/28/24,7/1/24,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
National Public Affairs,768,,,,,,NV,6/28/24,7/1/24,FALSE,TRUE,FALSE,TRUE,FALSE,,,FALSE
Cygnal,67,2.11,,,REP,TRUE,IL,7/2/24,7/3/24,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE
GQR,126,2.02,,,DEM,TRUE,WI,6/10/24,6/16/24,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE
Morning Consult,218,1.8,Bloomberg,national media,,,NC,7/24/24,7/28/24,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
Morning Consult,218,1.8,Bloomberg,national media,,,NV,7/24/24,7/28/24,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
Lord Ashcroft Polls,560,,,,,,US,5/31/24,6/27/24,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Lord Ashcroft Polls,560,,,,,,US,6/28/24,7/7/24,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Beacon Research/Shaw & Company Research,103,2.8,Fox News,national media,,,US,7/7/24,7/10/24,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
Hart Research Associates/Public Opinion Strategies,221,2.69,NBC News,national media,,,US,7/7/24,7/9/24,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE
Targoz Market Research,454,2.04,Beacon Center of Tennessee,501(c)(3),,,TN,6/20/24,7/1/24,FALSE,TRUE,FALSE,TRUE,FALSE,,,FALSE
Marketing Resource Group (MRG),193,1.78,,,,,MI,7/11/24,7/13/24,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
3W Insights,854,,WelcomePAC,PAC,DEM,,US,7/8/24,7/13/24,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
3W Insights,854,,WelcomePAC,PAC,DEM,,US,7/13/24,7/14/24,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
The New York Times/Siena College,448,3,,,,,PA,7/9/24,7/11/24,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
The New York Times/Siena College,448,3,,,,,VA,7/9/24,7/12/24,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
SoCal Research,851,,On Point Politics,national media,,,VA,7/6/24,7/11/24,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
Morning Consult,218,1.8,,,,,US,7/6/24,7/8/24,TRUE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Morning Consult,218,1.8,,,,,US,7/7/24,7/9/24,TRUE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Morning Consult,218,1.8,,,,,US,7/8/24,7/10/24,TRUE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Morning Consult,218,1.8,,,,,US,7/9/24,7/11/24,TRUE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Morning Consult,218,1.8,,,,,US,7/10/24,7/12/24,TRUE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Morning Consult,218,1.8,,,,,US,7/11/24,7/13/24,TRUE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Morning Consult,218,1.8,,,,,US,7/12/24,7/14/24,TRUE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Cygnal,67,2.11,Iowans for Tax Relief Foundation,501(c)(3),REP,,IA,7/8/24,7/9/24,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Lake Research Partners,165,1.2,,,DEM,TRUE,CA,6/24/24,6/27/24,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE
Virginia Commonwealth University L. Douglas Wilder School of Government and Public Affairs,370,2.14,,,,,VA,6/24/24,7/3/24,FALSE,TRUE,FALSE,TRUE,FALSE,,TRUE,TRUE
Redfield & Wilton Strategies,562,1.84,The Telegraph,national media,,,AZ,7/8/24,7/10/24,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
Redfield & Wilton Strategies,562,1.84,The Telegraph,national media,,,FL,7/8/24,7/10/24,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
Redfield & Wilton Strategies,562,1.84,The Telegraph,national media,,,GA,7/8/24,7/10/24,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
Redfield & Wilton Strategies,562,1.84,The Telegraph,national media,,,MI,7/8/24,7/10/24,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
Redfield & Wilton Strategies,562,1.84,The Telegraph,national media,,,NC,7/8/24,7/10/24,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
Redfield & Wilton Strategies,562,1.84,The Telegraph,national media,,,PA,7/8/24,7/10/24,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
Morning Consult,218,1.8,,,,,US,7/15/24,7/15/24,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Noble Predictive Insights,235,2.45,The Center Square,national media,,,US,7/8/24,7/11/24,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE
InsiderAdvantage,243,1.97,WAGA-TV (Atlanta),local media,,,GA,7/15/24,7/16/24,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
Redfield & Wilton Strategies,562,1.84,,,,,US,7/15/24,7/15/24,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Morning Consult,218,1.8,Bloomberg,national media,,,WI,7/24/24,7/28/24,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
Big Village,37,1.45,,,,,US,7/12/24,7/14/24,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
ActiVote,721,,,,,,US,7/7/24,7/15/24,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
HarrisX,133,1.5,Forbes,national media,,,US,7/13/24,7/15/24,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE
YouGov,391,2.98,The Economist,national media,,,US,7/13/24,7/16/24,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE
Public Policy Polling,263,1.32,Protect Our Care,501(c)(4),DEM,,WI,7/11/24,7/12/24,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Manhattan Institute,781,,,,,,US,7/7/24,7/13/24,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
HarrisX,133,1.5,Forbes,national media,,,US,7/22/24,7/25/24,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE
Ipsos,154,2.79,Reuters,national media,,,US,7/15/24,7/16/24,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
Cygnal,67,2.11,,,REP,TRUE,NY,7/9/24,7/11/24,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE
