movie,type,word,minutes_in
Reservoir Dogs,word,dick,0.40
Reservoir Dogs,word,dicks,0.43
Reservoir Dogs,word,fucked,0.55
Reservoir Dogs,word,fucking,0.61
Reservoir Dogs,word,bullshit,0.61
Reservoir Dogs,word,fuck,0.66
Reservoir Dogs,word,shit,0.90
Reservoir Dogs,word,fuck,1.43
Reservoir Dogs,word,dicks,1.56
Reservoir Dogs,word,fuck,1.66
Reservoir Dogs,word,dick,1.75
Reservoir Dogs,word,dick,1.75
Reservoir Dogs,word,dick,1.75
Reservoir Dogs,word,dick,1.75
Reservoir Dogs,word,dick,1.75
Reservoir Dogs,word,dick,1.75
Reservoir Dogs,word,dick,1.75
Reservoir Dogs,word,dicks,1.75
Reservoir Dogs,word,motherfucker,1.83
Reservoir Dogs,word,dick,1.96
Reservoir Dogs,word,pussy,2.15
Reservoir Dogs,word,fucks,2.18
Reservoir Dogs,word,fuck,2.30
Reservoir Dogs,word,fucking,2.45
Reservoir Dogs,word,hell,2.48
Reservoir Dogs,word,fucking,2.51
Reservoir Dogs,word,fucking,2.81
Reservoir Dogs,word,dick,2.86
Reservoir Dogs,word,jap,2.93
Reservoir Dogs,word,fuck,3.05
Reservoir Dogs,word,shit,3.20
Reservoir Dogs,word,fucking,3.40
Reservoir Dogs,word,fucking,3.55
Reservoir Dogs,word,fucking,3.70
Reservoir Dogs,word,motherfucker,3.93
Reservoir Dogs,word,motherfucker,3.98
Reservoir Dogs,word,shit,4.35
Reservoir Dogs,word,shit,4.76
Reservoir Dogs,word,fucking,4.86
Reservoir Dogs,word,dick,5.25
Reservoir Dogs,word,fucking,5.41
Reservoir Dogs,word,fucking,5.51
Reservoir Dogs,word,fucking,5.55
Reservoir Dogs,word,fucking,5.61
Reservoir Dogs,word,bullshit,6.23
Reservoir Dogs,word,fuck,6.46
Reservoir Dogs,word,fucked,6.58
Reservoir Dogs,word,fucks,6.66
Reservoir Dogs,word,bullshit,6.81
Reservoir Dogs,word,fucking,6.86
Reservoir Dogs,word,fucking,6.73
Reservoir Dogs,word,bastard,7.38
Reservoir Dogs,word,goddamn,7.41
Reservoir Dogs,word,goddamn,7.58
Reservoir Dogs,word,shit,9.63
Reservoir Dogs,word,fucking,9.96
Reservoir Dogs,word,shit,10.01
Reservoir Dogs,word,fucking,10.08
Reservoir Dogs,word,shit,10.26
Reservoir Dogs,word,goddamn,11.13
Reservoir Dogs,word,fucking,11.13
Reservoir Dogs,word,fucking,11.85
Reservoir Dogs,word,fucking,12.06
Reservoir Dogs,word,fucking,12.08
Reservoir Dogs,word,fucking,12.43
Reservoir Dogs,word,fucking,12.45
Reservoir Dogs,word,fucking,12.90
Reservoir Dogs,word,fucking,13.73
Reservoir Dogs,word,fuck,14.38
Reservoir Dogs,word,fucking,14.66
Reservoir Dogs,word,fucking,14.95
Reservoir Dogs,word,fucking,15.38
Reservoir Dogs,word,fucking,15.41
Reservoir Dogs,word,shit,15.45
Reservoir Dogs,word,fuck,15.51
Reservoir Dogs,word,fuck,15.65
Reservoir Dogs,word,fucking,15.75
Reservoir Dogs,word,fucked,15.86
Reservoir Dogs,word,fucked,15.88
Reservoir Dogs,word,fucked,15.93
Reservoir Dogs,word,fuck,16.45
Reservoir Dogs,word,motherfuckers,16.60
Reservoir Dogs,word,fucking,16.65
Reservoir Dogs,word,fuck,16.75
Reservoir Dogs,word,fucking,16.86
Reservoir Dogs,word,fucking,17.56
Reservoir Dogs,word,fuck,17.63
Reservoir Dogs,word,fucking,17.75
Reservoir Dogs,word,fucking,17.95
Reservoir Dogs,word,fucking,18.00
Reservoir Dogs,word,shit,20.13
Reservoir Dogs,word,fucking,20.16
Reservoir Dogs,word,fuck,20.68
Reservoir Dogs,word,fuck,20.73
Reservoir Dogs,word,fuck,20.93
Reservoir Dogs,word,fucking,20.96
Reservoir Dogs,word,asshole,20.98
Reservoir Dogs,word,fuck,21.00
Reservoir Dogs,word,fucking,21.01
Reservoir Dogs,word,fuck,21.20
Reservoir Dogs,word,fucking,22.18
Reservoir Dogs,word,fuck,22.21
Reservoir Dogs,word,motherfucker,22.46
Reservoir Dogs,word,fuck,22.60
Reservoir Dogs,word,goddamn,22.71
Reservoir Dogs,word,ass,22.80
Reservoir Dogs,word,fuck,23.00
Reservoir Dogs,word,fucking,23.20
Reservoir Dogs,word,assholes,23.35
Reservoir Dogs,word,fucking,24.01
Reservoir Dogs,word,fuck,24.05
Reservoir Dogs,word,fucking,24.60
Reservoir Dogs,word,fuck,24.66
Reservoir Dogs,word,fucking,24.76
Reservoir Dogs,word,fucking,25.13
Reservoir Dogs,word,shit,25.35
Reservoir Dogs,word,fuck,25.45
Reservoir Dogs,word,fucking,25.75
Reservoir Dogs,word,bullshit,25.76
Reservoir Dogs,word,fucking,26.01
Reservoir Dogs,word,fucking,26.06
Reservoir Dogs,word,fucking,26.16
Reservoir Dogs,word,fucking,26.26
Reservoir Dogs,word,hell,27.21
Reservoir Dogs,word,shit,28.60
Reservoir Dogs,word,fucking,28.60
Reservoir Dogs,word,fucking,28.83
Reservoir Dogs,word,shit,28.83
Reservoir Dogs,word,shit,29.16
Reservoir Dogs,word,hell,29.18
Reservoir Dogs,word,fucking,31.13
Reservoir Dogs,word,fuck,31.50
Reservoir Dogs,word,fucking,31.60
Reservoir Dogs,word,fuck,31.80
Reservoir Dogs,word,fuck,31.81
Reservoir Dogs,word,fucking,31.88
Reservoir Dogs,word,hell,32.11
Reservoir Dogs,word,fucking,32.43
Reservoir Dogs,word,fuck,32.55
Reservoir Dogs,word,fucking,32.58
Reservoir Dogs,word,shit,32.60
Reservoir Dogs,word,fuck,32.63
Reservoir Dogs,word,fucking,32.70
Reservoir Dogs,word,shit,32.91
Reservoir Dogs,word,asshole,33.76
Reservoir Dogs,word,shit,33.81
Reservoir Dogs,word,fucking,33.90
Reservoir Dogs,word,fucking,34.30
Reservoir Dogs,word,fuck,34.38
Reservoir Dogs,word,fucking,34.46
Reservoir Dogs,word,fucking,34.56
Reservoir Dogs,word,fucking,34.60
Reservoir Dogs,word,fuck,34.71
Reservoir Dogs,word,fucking,34.75
Reservoir Dogs,word,fuck,34.85
Reservoir Dogs,word,asshole,34.98
Reservoir Dogs,word,assholes,35.48
Reservoir Dogs,word,fuck,35.50
Reservoir Dogs,word,fucking,35.60
Reservoir Dogs,word,fucking,35.61
Reservoir Dogs,word,n-word ,35.61
Reservoir Dogs,word,n-word ,35.63
Reservoir Dogs,word,fucking,35.71
Reservoir Dogs,word,fucking,35.83
Reservoir Dogs,word,fuck,35.88
Reservoir Dogs,word,asses,35.95
Reservoir Dogs,word,fuck,36.01
Reservoir Dogs,word,shit,36.06
Reservoir Dogs,word,fucking,36.11
Reservoir Dogs,word,fuck,37.41
Reservoir Dogs,word,fucking,37.48
Reservoir Dogs,word,fuck,37.91
Reservoir Dogs,word,fucking,39.06
Reservoir Dogs,word,asshole,39.06
Reservoir Dogs,word,fucking,39.18
Reservoir Dogs,word,hell,39.46
Reservoir Dogs,word,hell,39.60
Reservoir Dogs,word,bitch,39.88
Reservoir Dogs,word,fucking,40.13
Reservoir Dogs,word,ass,40.15
Reservoir Dogs,word,ass,40.30
Reservoir Dogs,word,fuckup,40.48
Reservoir Dogs,word,shit,40.96
Reservoir Dogs,word,fuck,41.25
Reservoir Dogs,word,bastard,41.30
Reservoir Dogs,word,fuck,41.31
Reservoir Dogs,word,fuck,41.43
Reservoir Dogs,word,fucking,41.75
Reservoir Dogs,word,ass,41.76
Reservoir Dogs,word,bitch,41.85
Reservoir Dogs,word,fucking,41.93
Reservoir Dogs,word,n-word ,41.93
Reservoir Dogs,word,ass,42.00
Reservoir Dogs,word,fucking,42.03
Reservoir Dogs,word,bitch,42.11
Reservoir Dogs,word,bitch,42.13
Reservoir Dogs,word,shit,42.16
Reservoir Dogs,word,fuck,42.55
Reservoir Dogs,word,motherfucker,42.56
Reservoir Dogs,word,fucker,42.60
Reservoir Dogs,word,shitty,42.66
Reservoir Dogs,word,asshead,42.86
Reservoir Dogs,word,fucking,43.06
Reservoir Dogs,word,fucking,43.31
Reservoir Dogs,word,shit,43.35
Reservoir Dogs,word,fuck,42.70
