player,seconds_added_per_point
Dustin Brown,-6.37
Rohan Bopanna,-4.95
Chris Guccione,-4.63
Benoit Paire,-4.56
Lukas Dlouhy,-4.35
Brendan Evans,-4.25
Igor Sijsling,-4.19
Lukas Rosol,-4.13
Alexander Kudryavtsev,-4.05
Sam Querrey,-3.99
Carsten Ball,-3.99
Kristian Pless,-3.95
Alexandr Dolgopolov,-3.73
Peter Wessels,-3.61
Robert Kendrick,-3.57
Daniel Brands,-3.54
Bernard Tomic,-3.54
Zack Fleishman,-3.48
Ivo Minar,-3.38
James Blake,-3.36
Eric Prodon,-3.18
Goran Ivanisevic,-3.15
Florian Mayer,-3.15
Nick Kyrgios,-3.15
Samuel Groth,-2.84
Todd Reid,-2.84
Stephane Robert,-2.82
Juan Balcells,-2.80
Andrei Olhovskiy,-2.78
Alberto Berasategui,-2.77
Robby Ginepri,-2.73
Wayne Arthurs,-2.72
Frank Dancevic,-2.54
Kevin Kim,-2.53
Jan Hajek,-2.45
Roger Federer,-2.43
Taylor Dent,-2.43
Andrey Kuznetsov,-2.40
Jeff Morrison,-2.39
John Isner,-2.33
Marc Kevin Goellner,-2.31
Ricardas Berankis,-2.30
Michael Llodra,-2.27
Florent Serra,-2.25
Jiri Novak,-2.24
Andres Gomez,-2.21
Matthias Bachinger,-2.16
Ivo Karlovic,-2.12
Gary Muller,-2.09
Amer Delic,-2.09
Magnus Larsson,-2.08
Michal Tabara,-2.01
Nicolas Almagro,-2.01
Robin Haase,-1.97
Harel Levy,-1.95
Christophe Rochus,-1.94
Thierry Ascione,-1.94
Robin Soderling,-1.91
Mischa Zverev,-1.89
Jordi Burillo,-1.88
Philipp Petzschner,-1.88
Jarkko Nieminen,-1.76
Filip Dewulf,-1.74
Jan Kroslak,-1.74
Daniel Gimeno Traver,-1.64
Greg Rusedski,-1.59
Donald Young,-1.55
Bohdan Ulihrach,-1.55
Feliciano Lopez,-1.49
Filippo Volandri,-1.42
Gustavo Kuerten,-1.41
Stefan Koubek,-1.40
Fabio Fognini,-1.40
Richard Krajicek,-1.30
Jakob Hlasek,-1.26
Albert Montanes,-1.23
Juan Carlos Ferrero,1.21
Rainer Schuettler,1.32
Ronald Agenor,1.36
Sjeng Schalken,1.37
Marin Cilic,1.38
Todd Martin,1.41
Mikhail Youzhny,1.42
