server,seconds_before_next_point,day,opponent,game_score,set,game
Nicolas Almagro,22,28-May-15,Rafael Nadal,15-30,1,0-0
Nicolas Almagro,19,28-May-15,Rafael Nadal,15-40,1,0-0
Nicolas Almagro,23,28-May-15,Rafael Nadal,30-40,1,0-0
Nicolas Almagro,24,28-May-15,Rafael Nadal,Deuce,1,0-0
Nicolas Almagro,19,28-May-15,Rafael Nadal,Ad-in,1,0-0
Pablo Andujar,34,28-May-15,Philipp Kohlschreiber,40-30,5,2-4
Bernard Tomic,21,28-May-15,Thanasi Kokkinakis,30-40,3,0-1
Bernard Tomic,17,28-May-15,Thanasi Kokkinakis,Deuce,3,0-1
Bernard Tomic,17,28-May-15,Thanasi Kokkinakis,Ad-in,3,0-1
Rafael Nadal,34,28-May-15,Nicolas Almagro,15-30,1,0-1
Rafael Nadal,29,28-May-15,Nicolas Almagro,30-30,1,0-1
Rafael Nadal,33,28-May-15,Nicolas Almagro,30-40,1,0-1
Rafael Nadal,23,28-May-15,Nicolas Almagro,Deuce,1,0-1
Rafael Nadal,27,28-May-15,Nicolas Almagro,Ad-in,1,0-1
Pablo Andujar,26,28-May-15,Philipp Kohlschreiber,15-30,5,4-4
Pablo Andujar,24,28-May-15,Philipp Kohlschreiber,30-30,5,4-4
Pablo Andujar,32,28-May-15,Philipp Kohlschreiber,40-30,5,4-4
Bernard Tomic,21,28-May-15,Thanasi Kokkinakis,15-40,3,1-2
Bernard Tomic,15,28-May-15,Thanasi Kokkinakis,30-40,3,1-2
Bernard Tomic,18,28-May-15,Thanasi Kokkinakis,Deuce,3,1-2
Bernard Tomic,37,28-May-15,Thanasi Kokkinakis,Ad-out,3,1-2
Pablo Andujar,38,28-May-15,Philipp Kohlschreiber,Deuce,5,4-4
Pablo Andujar,31,28-May-15,Philipp Kohlschreiber,Ad-in,5,4-4
Nicolas Almagro,22,28-May-15,Rafael Nadal,15-0,1,1-3
Nicolas Almagro,24,28-May-15,Rafael Nadal,30-0,1,1-3
Nicolas Almagro,22,28-May-15,Rafael Nadal,40-0,1,1-3
Nicolas Almagro,20,28-May-15,Rafael Nadal,30-40,2,3-5
Andrey Kuznetsov,16,28-May-15,Jurgen Melzer,15-0,3,2-2
Andrey Kuznetsov,19,28-May-15,Jurgen Melzer,30-0,3,2-2
Andrey Kuznetsov,20,28-May-15,Jurgen Melzer,30-15,3,2-2
Andrey Kuznetsov,15,28-May-15,Jurgen Melzer,40-15,3,2-2
Rafael Nadal,27,28-May-15,Nicolas Almagro,40-0,3,5-1
Andy Murray,29,28-May-15,Joao Sousa,30-0,1,2-1
Andy Murray,20,28-May-15,Joao Sousa,40-0,1,2-1
Borna Coric,28,28-May-15,Tommy Robredo,Ad-out,1,5-4
Borna Coric,25,28-May-15,Tommy Robredo,Deuce,1,5-4
Borna Coric,29,28-May-15,Tommy Robredo,Ad-out,1,5-4
