Title,Date,Federal Reporter Citation,Westlaw Citation,Issue,Weight,Judge1,Judge2,Judge3,Vote1,Vote2,Vote3,Category
Hansen v. SkyWest Airlines,12/21/16,844 F.3d 914,2016 WL 7387139,1,0.5,Briscoe,McKay,Matheson,1,1,1,Title VII
Hansen v. SkyWest Airlines,12/21/16,844 F.3d 914,2016 WL 7387139,2,0.5,Briscoe,McKay,Matheson,0,0,0,Title VII
Glapion v. Jewell,12/14/16,--- Fed.Appx. ----,2016 WL 7228801,1,1,Lucero,Holmes,Moritz,0,0,0,Title VII
Dye v. Moniz,12/06/16,--- Fed.Appx. ----,2016 WL 7093896,1,1,Lucero,Holmes,Moritz,0,0,0,Title VII
"Lister v. City of Wichita, Kansas",11/15/16,--- Fed.Appx. ----,2016 WL 6694901,1,1,Lucero,Matheson,Bacharach,0,0,0,Title VII
ElHelbawy v. Pritzker,10/13/16,663 Fed.Appx. 658,2016 WL 5947456,1,1,Tymkovich,Bacharach,Moritz,0,0,0,Title VII
Chung v. El Paso School District #11,08/11/16,659 Fed.Appx. 953,2016 WL 4258835,1,1,Hartz,Holmes,McHugh,0,0,0,Title VII
Bird v. West Valley City,08/08/16,832 F.3d 1188,129 Fair Empl.Prac.Cas. (BNA) 685,1,1,Matheson,Baldock,Moritz,0,0,0,Title VII
Drury v. BNSF Railway Company,08/02/16,657 Fed.Appx. 785,2016 WL 4119068,1,1,Tymkovich,Lucero,Bacharach,0,0,0,Title VII
"Callahan v. Communication Graphics, Inc.",07/21/16,657 Fed.Appx. 739,2016 WL 3983511,1,1,Gorsuch,Baldock,McHugh,0,0,0,Title VII
Williams v. McKee,07/20/16,655 Fed.Appx. 677,2016 WL 3995755,1,1,Tymkovich,Murphy,Bacharach,0,0,0,Title VII
"Ghogomu v. Delta Airlines Global Services, LLC",06/16/16,652 Fed.Appx. 701,2016 WL 3409754,1,1,Briscoe,Bacharach,McHugh,0,0,0,Title VII
Glapion v. Castro,05/12/16,646 Fed.Appx. 668,2016 WL 2755473,1,1,Kelly,O'Brien,Gorsuch,0,0,0,Title VII
Johnson v. Oklahoma Department of Transp.,04/20/16,645 Fed.Appx. 765,2016 WL 1583596,1,1,Gorsuch,McKay,Bacharach,0,0,0,Title VII
Walton v. Powell,04/19/16,821 F.3d 1204,2016 WL 1566692,1,1,Gorsuch,Murphy,Moritz,1,1,1,Title VII
"Aman v. Dillon Companies, Inc.",04/15/16,645 Fed.Appx. 719,2016 WL 1533999,1,1,Briscoe,Lucero,McHugh,0,0,0,Title VII
McGowan v. Board of Trustees of Metropolitan State University of Denver,04/13/16,645 Fed.Appx. 667,2016 WL 1445420,1,1,Briscoe,Lucero,McHugh,0,0,0,Title VII
"Robinson v. St. John Medical Center, Inc.",04/13/16,645 Fed.Appx. 644,2016 WL 1444740,1,1,Gorsuch,Matheson,Moritz,0,0,0,Title VII
"Tuffa v. Flight Services & Systems, Inc.",04/05/16,644 Fed.Appx. 853,2016 WL 1319366,1,1,Gorsuch,McKay,Bacharach,0,0,0,Title VII
Unal v. Los Alamos Public Schools,01/29/16,638 Fed.Appx. 729,2016 WL 360758,1,0.5,Briscoe,Lucero,McHugh,1,1,1,Title VII
Unal v. Los Alamos Public Schools,01/29/16,638 Fed.Appx. 729,2016 WL 360758,2,0.5,Briscoe,Lucero,McHugh,0,0,0,Title VII
Hannah v. Cowlishaw,01/29/16,628 Fed.Appx. 629,2016 WL 362981,1,1,Lucero,Gorsuch,McHugh,0,0,0,Title VII
"Montoya v. Hunter Douglas Window Fashions, Inc.",01/25/16,636 Fed.Appx. 744,2016 WL 285057,1,1,Phillips,McHugh,Moritz,0,0,0,Title VII
Mancell v. McHugh,01/25/16,639 Fed.Appx. 527,2016 WL 285087,1,1,Hartz,Baldock,Holmes,0,0,0,Title VII
L'Ggrke v. Asset Plus Corp.,01/20/16,641 Fed.Appx. 779,2016 WL 231150,1,1,Hartz,Baldock,Holmes,0,0,0,Title VII
Lewis v. Twenty-First Century Bean Processing,01/06/16,638 Fed.Appx. 701,2016 WL 66334,1,1,Gorsuch,McKay,Bacharach,0,0,0,Title VII
Amos v. City of Claremore,12/23/15,635 Fed.Appx. 517,2015 WL 9311375,1,1,Kelly,Bacharach,Moritz,0,0,0,Title VII
"Lounds v. Lincare, Inc.",12/22/15,812 F.3d 1208,2015 WL 9299074,1,0.5,Kelly,Holmes,McHugh,1,1,1,Title VII
"Lounds v. Lincare, Inc.",12/22/15,812 F.3d 1208,2015 WL 9299074,2,0.5,Kelly,Holmes,McHugh,0,0,0,Title VII
Sanders v. Anoatubby,11/23/15,631 Fed.Appx. 618,2015 WL 7423038,1,1,Gorsuch,O'Brien,Bacharach,0,0,0,Title VII
McElroy v. American Family Ins.,10/30/15,630 Fed.Appx. 847,2015 WL 6576261,1,1,Briscoe,Holmes,Moritz,0,0,0,Title VII
