Country,Number of Incidents,Percent,Number Killed,Number Injured,Number US Killed,Number US Injured
Afghanistan,20,0.40%,65,50,0,1
Albania,2,0.04%,0,2,0,0
Algeria,311,6.28%,602,126,0,0
Angola,34,0.69%,373,111,0,0
Antigua and Barbuda,1,0.02%,0,0,0,0
Argentina,15,0.30%,2,1,0,0
Armenia,6,0.12%,5,17,0,0
Australia,2,0.04%,0,0,0,0
Austria,9,0.18%,0,5,0,0
Azerbaijan,4,0.08%,16,0,0,0
Bangladesh,47,0.95%,40,853,0,0
Belarus,1,0.02%,0,0,0,0
Belgium,4,0.08%,2,3,0,0
Belize,1,0.02%,0,1,0,1
Bolivia,22,0.44%,2,1,0,0
Bosnia_Herzegovina,6,0.12%,7,8,0,0
Brazil,24,0.48%,97,29,10,0
Burundi,5,0.10%,106,0,0,0
Cambodia,216,4.36%,279,483,0,1
Cameroon,4,0.08%,10,2,0,0
Canada,7,0.14%,0,0,0,0
Chad,13,0.26%,233,276,0,0
Chile,82,1.66%,13,31,0,0
China,21,0.42%,7,21,0,0
Colombia,225,4.54%,256,406,0,1
Comoros,2,0.04%,4,0,0,0
Congo (Brazzaville),23,0.46%,106,5,0,0
Congo (Kinshasa),12,0.24%,7,20,0,0
Corsica,67,1.35%,1,2,0,0
Costa Rica,3,0.06%,0,0,0,0
Croatia,4,0.08%,0,9,0,0
Cuba,5,0.10%,2,0,0,0
Cyprus,4,0.08%,0,16,0,0
Czech Republic,1,0.02%,0,0,0,0
Denmark,6,0.12%,0,36,0,0
Djibouti,2,0.04%,0,7,0,0
Dominican Republic,2,0.04%,1,0,0,0
Ecuador,11,0.22%,13,7,0,0
Egypt,127,2.56%,132,214,3,3
El Salvador,33,0.67%,32,4,0,1
Estonia,5,0.10%,1,3,0,0
Ethiopia,2,0.04%,0,0,0,0
France,52,1.05%,5,9,0,0
Georgia,45,0.91%,194,96,1,0
Germany,198,4.00%,27,181,0,5
Greece,30,0.61%,0,1,0,0
Guadeloupe,2,0.04%,0,0,0,0
Guatemala,83,1.68%,27,9,0,2
Guinea,6,0.12%,12,50,0,0
Guinea_Bissau,1,0.02%,1,0,0,0
Haiti,67,1.35%,36,50,0,5
Honduras,5,0.10%,1,4,0,0
Hong Kong,4,0.08%,4,5,0,0
Hungary,3,0.06%,0,0,0,0
India,249,5.03%,1219,2546,0,0
Indonesia,3,0.06%,7,1,0,0
Iran,47,0.95%,78,41,0,0
Iraq,18,0.36%,33,59,0,0
Ireland,4,0.08%,1,1,0,0
Israel,240,4.84%,142,297,0,0
Italy,30,0.61%,14,126,0,0
Jamaica,20,0.40%,15,17,0,1
Japan,45,0.91%,1,1,0,0
Jordan,1,0.02%,1,0,0,0
Kenya,25,0.50%,53,17,0,1
Kuwait,5,0.10%,1,0,0,0
Laos,1,0.02%,0,2,0,0
Latvia,1,0.02%,0,0,0,0
Lebanon,64,1.29%,51,174,0,0
Liberia,1,0.02%,0,1,0,1
Lithuania,3,0.06%,1,2,0,0
Malawi,1,0.02%,16,0,0,0
Malaysia,2,0.04%,0,0,0,0
Mali,8,0.16%,5,0,0,0
Mauritania,1,0.02%,0,2,0,0
Mexico,17,0.34%,47,22,1,1
Mozambique,8,0.16%,3,10,0,0
Myanmar (Burma),20,0.40%,147,70,0,0
Nepal,2,0.04%,0,0,0,0
Netherlands,3,0.06%,0,0,0,0
Netherlands Antilles,2,0.04%,0,0,0,0
New Zealand,1,0.02%,0,0,0,0
Nicaragua,53,1.07%,87,125,0,2
Niger,7,0.14%,5,0,0,0
Nigeria,17,0.34%,6,12,0,3
Northern Ireland,165,3.33%,73,175,0,0
Norway,7,0.14%,0,1,0,0
Pakistan,100,2.02%,228,302,0,0
Panama,18,0.36%,1,6,0,1
Papua New Guinea,7,0.14%,43,13,0,0
Paraguay,3,0.06%,3,0,0,0
Peru,334,6.74%,316,307,0,0
Philippines,198,4.00%,346,514,0,2
Poland,3,0.06%,0,3,0,2
Portugal,1,0.02%,0,0,0,0
Romania,1,0.02%,0,0,0,0
Russia,32,0.65%,203,841,1,5
Rwanda,13,0.26%,81,155,0,0
Senegal,6,0.12%,121,0,0,0
Sierra Leone,4,0.08%,30,9,0,0
Singapore,1,0.02%,0,1,0,0
Somalia,74,1.49%,115,293,28,124
South Africa,426,8.60%,1009,631,1,0
South Korea,4,0.08%,0,1,0,0
Spain,50,1.01%,19,37,0,0
Sri Lanka,29,0.59%,1268,380,0,0
Sudan,2,0.04%,0,0,0,0
Suriname,4,0.08%,0,2,0,0
Swaziland,1,0.02%,0,1,0,0
Sweden,5,0.10%,0,1,0,0
Switzerland,12,0.24%,2,9,0,0
Taiwan,5,0.10%,34,57,0,0
Tajikistan,14,0.28%,373,19,0,0
Tanzania,6,0.12%,0,1,0,1
Thailand,67,1.35%,34,97,0,0
Togo,13,0.26%,1,11,0,0
Trinidad and Tobago,2,0.04%,0,0,0,0
Turkey,386,7.79%,1166,403,0,0
Uganda,4,0.08%,2,1,0,0
United Kingdom,59,1.19%,3,133,0,0
United States,28,0.57%,21,1066,0,1048
Uruguay,4,0.08%,1,0,0,0
Venezuela,49,0.99%,2,13,0,0
Vietnam,2,0.04%,0,1,0,0
Yemen,23,0.46%,12,7,0,2
Yugoslavia,5,0.10%,1,5,0,0
Zambia,1,0.02%,0,0,0,0
,,,,,,
,,,,,,
