State,Bill,Introducing Party,Category,Status
Alabama,HB 396,D,limits voting time,Legislature adjourned without passing
Alabama,HB 399,R,"limits voting options, expanded voter id requirements",Legislature adjourned without passing
Alabama,SB 29,R,voter roll purge,Legislature adjourned without passing
Alabama,HB 351,R,limiting/criminalizing election official role,Legislature adjourned without passing
Alabama,HB 589,R,limits voting options,Legislature adjourned without passing
Alabama,HB 638,R,"expanded voter id requirements, limits voting time",Legislature adjourned without passing
Alabama,SB 200,R,voter roll purge,"Passed committee, legislature adjourned without passing"
Alabama,SB 235,R,limits voting options,"Passed committee, legislature adjourned without passing"
Alabama,HB 285,R,limits voting options,Signed into law
Alabama,HB 314,D,voter roll purge,Signed into law
Alabama,HB 538,R,limits voting time,Signed into law
Alaska,HB 23,R,limits voting options,Legislature adjourned without passing
Alaska,HB 96,N/A,expanded voter id requirements,Legislature adjourned without passing
Alaska,HB 196,R,"expanded voter id requirements, voter roll purges",Legislature adjourned without passing
Alaska,HB 212,R,voter roll purge,Legislature adjourned without passing
Alaska,SB 39,R,limits voting options,Legislature adjourned without passing
Alaska,SB 83,N/A,expanded voter id requirements,Legislature adjourned without passing
Alaska,HB 66,Mostly D,expanded voter id requirements,"Passed committee, legislature adjourned without passing"
Alaska,SB 43,R,limits voting options,Voting restriction removed from bill
Arizona,SB 1837,R,limits voting options,Became HB 2905
Arizona,HB 2891,R,partisan election roles,Became SB 1819
Arizona,HB 2358,R,voter roll purge,Legislature adjourned without passing
Arizona,HB 2369,R,limits voting options,Legislature adjourned without passing
Arizona,HB 2370,R,limits voting options,Legislature adjourned without passing
Arizona,HB 2560,R,limits voting options,Legislature adjourned without passing
Arizona,HB 2701,R,"expanded voter id requirements, limits voting options",Legislature adjourned without passing
Arizona,HB 2720,R,partisan election roles,Legislature adjourned without passing
Arizona,HB 2722,R,limits voting options,Legislature adjourned without passing
Arizona,HB 2798,R,expanded voter id requirements,Legislature adjourned without passing
Arizona,HB 2800,R,partisan election roles,Legislature adjourned without passing
Arizona,HB 2826,R,partisan election roles,Legislature adjourned without passing
Arizona,HB 2875,R,limits voting options,Legislature adjourned without passing
Arizona,SB 1678,R,limits voting options,Legislature adjourned without passing
Arizona,HB 2799,R,voter roll purge,Legislature adjourned without passing
Arizona,SB 1503,R,limits voting options,Legislature adjourned without passing
Arizona,SB 1654,R,increased voter surveillance,Legislature adjourned without passing
Arizona,SB 1358,R,limits voting options,"Passed committee, legislature adjourned without passing"
Arizona,SB 1593,R,"limits voting options,limits voting time","Passed committee, legislature adjourned without passing"
Arizona,SB 1241,R,limits voting options,"Passed House, died in Senate"
Arizona,HB 2793,R,limits voting options,"Passed House, Senate adjourned without passing"
Arizona,HB 2811,R,limits voting options,"Passed House, Senate adjourned without passing"
Arizona,HB 2302,R,limiting/criminalizing election official role,"Passed House, Senate adjourned without passing"
Arizona,SB 1713,R,limits voting options,"Passed Senate, died in House"
Arizona,SB 1106,R,limits voting options,"Passed Senate, House adjourned without passing"
Arizona,SB 1069,R,limits voting options,Rejected by Senate
Arizona,SB 1003,R,limits voting options,Signed into law
Arizona,SB 1485,R,limits voting options,Signed into law
Arizona,HB 2794,R,limiting/criminalizing election official role,Signed into law
Arizona,HB 2905,R,limits voting options,Signed into law
Arizona,SB 1819,R,partisan election roles,Signed into law
Arizona,HB 2792,R,limits voting options,Vetoed
Arizona,HB 2373,R,limits voting options,Voting restriction removed from bill
Arkansas,SB 556,R,limiting/criminalizing election official role,Legislature adjourned without passing
Arkansas,SB 485,R,limits voting time,"Passed Senate, died in House"
Arkansas,SB 701,Mostly R,limits voting options,Rejected by Senate
Arkansas,HB 1112,R,expanded voter id requirements,Signed into law
Arkansas,HB 1244,R,expanded voter id requirements,Signed into law
Arkansas,HB 1715,R,limits voting options,Signed into law
Arkansas,SB 643,R,limits voting time,Signed into law
Arkansas,HB 1615,R,limits voting options,Signed into law
Arkansas,SB 486,R,,Signed into law
Arkansas,SB 487,R,limiting/criminalizing election official role,Signed into law
Arkansas,SB 498,R,limiting/criminalizing election official role,Signed into law
Arkansas,SB 557,R,limiting/criminalizing election official role,Signed into law
California,SB 511,R,voter roll purge,Legislature adjourned without passing
California,SB 597,R,limits voting options,Legislature adjourned without passing
Colorado,HB 1086,R,expanded voter id requirements,Legislature adjourned without passing
Colorado,SB 10,R,limits voting options,Legislature adjourned without passing
Colorado,SB 7,R,limits voting options,Legislature adjourned without passing
Connecticut,HB 5008,R,limits voting options,Legislature adjourned without passing
Connecticut,HB 5042,R,limits voting options,Legislature adjourned without passing
Connecticut,HB 5873,R,limits voting options,Legislature adjourned without passing
Connecticut,HB 5874,R,expanded voter id requirements,Legislature adjourned without passing
Connecticut,HB 6326,R,limits voting options,Legislature adjourned without passing
Connecticut,SB 478,R,limits voting options,Legislature adjourned without passing
Connecticut,SB 795,R,limits voting options,Legislature adjourned without passing
Connecticut,SB 798,R,limits voting options,Legislature adjourned without passing
Connecticut,SB 800,R,expanded voter id requirements,Legislature adjourned without passing
Connecticut,SB 802,R,"limits voting options, expanded voter id requirements",Legislature adjourned without passing
Connecticut,HB 6325,Mostly R,limits voting options,"Passed House, Senate adjourned without passing"
Delaware,HB 187,R,expanded voter id requirements,Legislature adjourned without passing
Delaware,HB 189,R,"expanded voter id requirements, limits voting options",Legislature adjourned without passing
Florida,SB 656,R,"expanded voter id requirements, limits voting options",Legislature adjourned without passing
Florida,HB 7041,Mostly R,limits voting options,"Passed committee, legislature adjourned without passing"
Florida,SB 90,R,"limits voting options, expanded voter id requirements",Signed into law
Georgia,HB 227,R,expanded voter id requirements,Legislature adjourned without passing
Georgia,HB 267,R,limits voting options,Legislature adjourned without passing
Georgia,HB 325,R,limits voting options,Legislature adjourned without passing
Georgia,HB 365,R,limits voting options,Legislature adjourned without passing
Georgia,HB 366,R,limits voting options,Legislature adjourned without passing
Georgia,HB 494,R,expanded voter id requirements,Legislature adjourned without passing
Georgia,HB 507,R,limits voting options,Legislature adjourned without passing
Georgia,HB 512,R,limits voting time,Legislature adjourned without passing
Georgia,HB 537,R,"limiting/criminalizing election official role, expanded voter id requirements",Legislature adjourned without passing
Georgia,SB 175,R,expanded voter id requirements,Legislature adjourned without passing
Georgia,SB 177,R,limits voting options,Legislature adjourned without passing
Georgia,SB 29,R,"expanded voter id requirements, limits voting options",Legislature adjourned without passing
Georgia,SB 68,R,limits voting options,Legislature adjourned without passing
Georgia,SB 70,R,limits voting options,Legislature adjourned without passing
Georgia,SB 73,R,limits voting options,Legislature adjourned without passing
Georgia,HB 491,R,limiting/criminalizing election official role,Legislature adjourned without passing
Georgia,HB 270,R,"limits voting options, limits voting time","Passed committee, legislature adjourned without passing"
Georgia,SB 178,R,limits voting options,"Passed committee, legislature adjourned without passing"
Georgia,SB 232,R,expanded voter id requirements,"Passed committee, legislature adjourned without passing"
Georgia,SB 69,R,limits voting options,"Passed committee, legislature adjourned without passing"
Georgia,SB 71,R,limits voting options,"Passed committee, legislature adjourned without passing"
Georgia,SB 93,R,limits voting options,"Passed committee, legislature adjourned without passing"
Georgia,HB 531,R,"limits voting time, limits voting options","Passed House, Senate adjourned without passing"
Georgia,SB 241,R,"expanded voter id requirements, limits voting options, limiting/criminalizing election official role, partisan election roles","Passed Senate, House adjourned without passing"
Georgia,SB 67,R,expanded voter id requirements,"Passed Senate, House adjourned without passing"
Georgia,SB 72,R,voter roll purge,"Passed Senate, House adjourned without passing"
Georgia,SB 89,R,partisan election roles,"Passed Senate, House adjourned without passing"
Georgia,SB 202,R,"expanded voter id requirements, limits voting options, partisan election roles",Signed into law
