date,major_category,detail
6/16/15,Noncampaign,
6/17/15,Trump - other,Entry into race
6/18/15,Noncampaign,
6/19/15,Noncampaign,
6/20/15,Noncampaign,
6/21/15,Noncampaign,
6/22/15,Noncampaign,
6/23/15,Noncampaign,
6/24/15,Noncampaign,
6/25/15,Noncampaign,
6/26/15,Noncampaign,
6/27/15,Noncampaign,
6/28/15,Noncampaign,
6/29/15,Noncampaign,
6/30/15,Noncampaign,
7/1/15,Trump - polls,Polls - neutral or ambiguous results for Trump
7/2/15,Trump - polls,Polls - neutral or ambiguous results for Trump
7/3/15,Noncampaign,
7/4/15,Noncampaign,
7/5/15,Trump - comments,Trump's comments on Mexican immigrants
7/6/15,Noncampaign,
7/7/15,Noncampaign,
7/8/15,Dem. campaign,Clinton
7/9/15,Trump - vs. GOP,Trump vs. GOP establishment
7/10/15,GOP campaign,Cruz
7/11/15,Noncampaign,
7/12/15,Trump - other,Trump Las Vegas speech
7/13/15,GOP campaign,Walker
7/14/15,Noncampaign,
7/15/15,Trump - polls,Polls - good results for Trump
7/16/15,Trump - vs. GOP,John McCain criticism of Trump
7/17/15,Noncampaign,
7/18/15,Noncampaign,
7/19/15,Trump - comments,Trump comments on McCain's time as POW
7/20/15,Trump - comments,Trump comments on McCain's time as POW
7/21/15,Trump - comments,Trump comments on McCain's time as POW
7/22/15,Noncampaign,
7/23/15,Trump - vs. GOP,Trump threatens third-party run
7/24/15,Dem. campaign,Clinton
7/25/15,Dem. campaign,Clinton
7/26/15,Trump - polls,Polls - good results for Trump
7/27/15,GOP campaign,Rubio
7/28/15,Trump - other,"Michael Cohen (Trump advisor) ""rape"" comments"
7/29/15,Trump - other,Ivana Trump comments about Trump
7/30/15,Trump - polls,Polls - good results for Trump
7/31/15,Dem. campaign,Clinton
8/1/15,Dem. campaign,Clinton
8/2/15,Trump - polls,Polls - good results for Trump
8/3/15,Trump - other,Trump vs. Bush
8/4/15,Trump - polls,Polls - good results for Trump
8/5/15,Dem. campaign,Clinton
8/6/15,Dem. campaign,Clinton
8/7/15,Trump - comments,Trump comments on Megyn Kelly
8/8/15,Trump - comments,Trump comments on Megyn Kelly
8/9/15,Trump - comments,Trump comments on Megyn Kelly
8/10/15,Trump - other,Trump-Brietbart News relationship
8/11/15,Trump - other,Trump CNN interview
8/12/15,Dem. campaign,general
8/13/15,Dem. campaign,Clinton
8/14/15,Dem. campaign,general
8/15/15,Noncampaign,
