country,net_approval,Approve,Disapprove,DK/Refused
Canada,-71,13,84,3
France,-79,10,89,1
Germany,-81,8,89,3
Greece,-60,18,78,5
Hungary,-14,35,49,16
Italy,-56,17,73,10
Netherlands,-79,9,88,2
Poland,-45,18,63,19
Spain,-85,7,92,1
Sweden,-89,5,94,1
United Kingdom,-71,12,83,4
Russia,-12,35,47,17
Australia,-59,19,78,3
India,-4,25,29,47
Indonesia,-38,19,57,23
Japan,-63,15,78,7
Philippines,-33,28,61,12
South Korea,-71,12,83,6
Vietnam,-14,35,49,17
Israel,-2,42,44,13
Jordan,-2,44,46,10
Lebanon,-52,14,66,20
Tunisia,-40,20,60,21
Turkey,-51,12,63,24
Ghana,-35,29,64,6
Kenya,-28,33,61,6
Nigeria,-12,38,50,12
Senegal,-65,12,77,10
South Africa,-23,32,55,13
Tanzania,-30,31,61,8
Argentina,-72,11,83,6
Brazil,-61,15,76,9
Chile,-76,10,86,5
Colombia,-81,8,89,2
Mexico,-89,5,94,2
Peru,-62,16,78,7
Venezuela,-65,14,79,7
