year,avg,Canada,France,Germany,Greece,Hungary,Italy,Netherlands,Poland,Spain,Sweden,UK,Russia,Australia,India,Indonesia,Japan,Philippines,South Korea,Vietnam,Israel,Jordan,Lebanon,Tunisia,Turkey,Ghana,Kenya,Nigeria,Senegal,South Africa,Tanzania,Argentina,Brazil,Chile,Colombia,Mexico,Peru,Venezuela
2001,33.5,,20,51,,,33,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,34.15384615,59,20,33,,,43,,,26,,51,8,59,,,,,36,,83,1,17,,8,,,,,,,,,,,,,
2005,26.33333333,40,25,30,,,,39,47,18,,38,28,,,19,,,,,,1,23,,8,,,,,,,,,,,,,
2006,17.77777778,,15,25,,,,,,7,,30,21,,,20,32,,,,,7,,,3,,,,,,,,,,,,,
2007,27.56521739,28,14,19,,,30,,29,7,21,24,18,,,14,35,,22,,57,8,34,,2,69,72,,,,40,5,,29,,28,29,
2008,21.88235294,,13,14,,,,,41,8,,16,22,23,,23,25,,30,,,7,33,,2,,,,,32,60,7,,,,16,,
2009,67.17647059,88,91,93,,,,,62,72,,86,37,,,71,85,,81,,56,31,46,,33,,94,,,,,61,,,,55,,
2010,62.82352941,,87,90,,,,,60,69,,84,41,,,67,76,,75,,,26,43,,23,,95,84,,,,49,56,,,43,,
2011,57.93333333,,84,88,,,,,52,67,,75,41,,,62,81,,,,49,28,43,,12,,86,,,,,,63,,,38,,
2012,53.33333333,,86,87,30,,73,,50,61,,80,36,,,,74,,,,,22,39,28,24,,,,,,,,68,,,42,,
2013,58.1,81,83,88,35,,76,,49,54,,72,29,77,53,53,70,84,77,,61,24,37,24,29,55,81,53,78,74,,44,69,56,,49,,28
2014,55.0625,,83,71,27,,75,,55,58,,74,15,,48,60,60,89,84,67,71,17,35,27,24,60,78,53,73,72,74,31,52,54,56,40,46,33
2015,63.16129032,76,83,73,,,77,,64,58,,76,11,81,74,64,66,94,88,71,49,14,36,,45,82,80,73,77,77,78,40,63,60,,49,53,26
2016,73.88235294,83,84,86,41,58,68,92,58,75,93,79,,84,58,,78,,,,,,,,,,83,63,,73,,,,,,,,
2017,26.78378378,22,14,11,19,29,25,17,23,7,10,22,53,29,40,23,24,69,17,58,56,9,15,18,11,49,51,58,26,39,51,13,14,12,15,5,17,20
