year,avg,Canada,France,Germany,Greece,Hungary,Italy,Netherlands,Poland,Spain,Sweden,UK,Russia,Australia,India,Indonesia,Japan,Philippines,South Korea,Vietnam,Israel,Jordan,Lebanon,Tunisia,Turkey,Ghana,Kenya,Nigeria,Senegal,South Africa,Tanzania,Argentina,Brazil,Chile,Colombia,Mexico,Peru,Venezuela
2000,67.5,,62,78,,,76,,86,50,,83,37,,,,77,,58,,,,,,52,,94,,,,,50,,,,68,74,
2002,61.5,72,62,60,,,70,,79,,,75,61,,,,72,90,52,,,25,36,,30,83,80,,,65,53,34,,,,64,67,
2003,44.69230769,63,42,45,,,60,,,38,,70,37,59,,,,,46,,78,1,27,,15,,,,,,,,,,,,,
2004,35.66666667,,37,38,,,,,,,,58,46,,,,,,,,,5,,,30,,,,,,,,,,,,,
2005,43.58333333,59,43,42,,,,45,62,41,,55,52,,,38,,,,,,21,42,,23,,,,,,,,,,,,,
2006,35.33333333,,39,37,,,,,,23,,56,43,,,30,63,,,,,15,,,12,,,,,,,,,,,,,
2007,48.39130435,55,39,30,,,53,,61,34,46,51,41,,,29,61,,58,,78,20,47,,9,80,87,,,,46,16,,55,,56,61,
2008,44.23529412,,42,31,,,,,68,33,,53,46,46,,37,50,,70,,,19,51,,12,,,,,60,65,22,,,,47,,
2009,59.23529412,68,75,64,,,,,67,58,,69,44,,,63,59,,78,,71,25,55,,14,,90,,,,,38,,,,69,,
2010,60.11764706,,73,63,,,,,74,61,,65,57,,,59,66,,79,,,21,52,,17,,94,81,,,,42,62,,,56,,
2011,57.86666667,,75,62,,,,,70,64,,61,56,,,54,85,,,,72,13,49,,10,,83,,,,,,62,,,52,,
2012,51.86666667,,69,52,35,,74,,69,58,,60,52,,,,72,,,,,12,48,45,15,,,,,,,,61,,,56,,
2013,61.43333333,64,64,53,39,,76,,67,62,,58,51,66,56,61,69,85,78,,83,14,47,42,21,83,81,69,81,72,,41,73,68,,66,,53
2014,61.1875,,75,51,34,,78,,73,60,,66,23,,55,59,66,92,82,76,84,12,41,42,19,77,80,69,74,68,75,36,65,72,64,63,65,62
2015,65.32258065,68,73,50,,,83,,74,65,,65,15,63,70,62,68,92,84,78,81,14,39,,29,89,84,76,80,74,78,43,73,68,,66,70,51
2016,62.47058824,65,63,57,38,62,72,65,74,59,69,61,,60,56,,72,,,,,,,,,,63,66,,60,,,,,,,,
2017,49.54054054,43,46,35,43,63,61,37,73,31,45,50,41,48,49,48,57,79,75,84,81,15,34,27,18,59,54,69,55,53,57,35,50,39,51,30,51,47
