created_at,text,url,replies,retweets,favorites,user
10/23/17 12:30,"I had a very respectful conversation with the widow of Sgt. La David Johnson, and spoke his name from beginning, without hesitation!",https://twitter.com/realDonaldTrump/status/922440008971292672,46228,10243,49468,realDonaldTrump
10/23/17 11:53,"Two dozen NFL players continue to kneel during the National Anthem, showing total disrespect to our Flag &amp; Country.  No leadership in NFL!",https://twitter.com/realDonaldTrump/status/922430688703451136,31419,14006,62406,realDonaldTrump
10/23/17 11:42,"There will be NO change to your 401(k). This has always been a great and popular middle class tax break that works, and it stays!",https://twitter.com/realDonaldTrump/status/922428118685581313,9552,13719,62662,realDonaldTrump
10/22/17 12:08,"It is finally sinking through. 46% OF PEOPLE BELIEVE MAJOR NATIONAL NEWS ORGS FABRICATE STORIES ABOUT ME. FAKE NEWS, even worse! Lost cred.",https://twitter.com/realDonaldTrump/status/922072236592435200,56238,25102,112890,realDonaldTrump
10/22/17 12:02,"Wacky Congresswoman Wilson is the gift that keeps on giving for the Republican Party, a disaster for Dems. You watch her in action &amp; vote R!",https://twitter.com/realDonaldTrump/status/922070659093671936,32136,21573,97145,realDonaldTrump
10/22/17 11:50,Doing interview today with Maria Bartiromo at 10:00 A.M. on @FoxNews - ENJOY!,https://twitter.com/realDonaldTrump/status/922067676708638721,11153,7336,42415,realDonaldTrump
10/22/17 0:09,"...2nd Amendment, Strong Military, ISIS, historic VA improvement, Supreme Court Justice, Record Stock Market, lowest unemployment in 17 yrs!",https://twitter.com/realDonaldTrump/status/921891186352287744,24267,16216,72208,realDonaldTrump
10/22/17 0:02,"...9 months than this Administration. Over 50 Legislation approvals, massive regulation cuts, energy freedom, pipelines, border security....",https://twitter.com/realDonaldTrump/status/921889525881819136,16223,15125,71597,realDonaldTrump
10/21/17 23:57,"I agree getting Tax Cuts approved  is important (we will also get HealthCare), but perhaps no Administration has done more in its first.....",https://twitter.com/realDonaldTrump/status/921888248707846144,13914,12682,64506,realDonaldTrump
10/21/17 22:51,"Just out, but lightly reported: ""Fewest jobless claims since 1973 show firm U.S. Job Market"" Lowest since March 1973. @bpolitics",https://twitter.com/realDonaldTrump/status/921871707564101632,11117,16286,61853,realDonaldTrump
10/21/17 21:21,"Crooked Hillary Clinton spent hundreds of millions of dollars more on Presidential Election than I did. Facebook was on her side, not mine!",https://twitter.com/realDonaldTrump/status/921848853090983938,39988,21916,94648,realDonaldTrump
10/21/17 20:06,"Keep hearing about ""tiny"" amount of money spent on Facebook ads. What about the billions of dollars of Fake News on CNN, ABC, NBC &amp; CBS?",https://twitter.com/realDonaldTrump/status/921829947093733376,30950,22942,93003,realDonaldTrump
10/21/17 19:59,"Officials behind the now discredited ""Dossier"" plead the Fifth. Justice Department and/or FBI should immediately release who paid for it.",https://twitter.com/realDonaldTrump/status/921828280998744066,15593,23042,75980,realDonaldTrump
10/21/17 16:50,â€œTrump hails liberation of Raqqa as critical breakthrough in anti-ISIS campaignâ€ù https://t.co/2eoYXJB7h0,https://twitter.com/realDonaldTrump/status/921780758372642816,7023,10477,44463,realDonaldTrump
10/21/17 13:14,Stock Market hits another all time high on Friday. 5.3 trillion dollars up since Election. Fake News doesn't spent much time on this!,https://twitter.com/realDonaldTrump/status/921726400922619904,22522,20627,90626,realDonaldTrump
10/21/17 13:08,People get what is going on! https://t.co/Pdg7VqQv6M,https://twitter.com/realDonaldTrump/status/921724821939130369,18543,15240,51874,realDonaldTrump
10/21/17 13:02,RT @IamVicky4Trump: TUNE IN: Maria Bartiromo Has an Exclusive Interview With President Trump https://t.co/H5VuJwy78o,https://twitter.com/realDonaldTrump/status/921723302481145857,2555,5355,20354,realDonaldTrump
10/21/17 12:35,"Subject to the receipt of further information, I will be allowing, as President, the long blocked and classified JFK FILES to be opened.",https://twitter.com/realDonaldTrump/status/921716470140325889,38253,69410,205353,realDonaldTrump
10/21/17 12:07,"I hope the Fake News Media keeps talking about Wacky Congresswoman Wilson in that she, as a representative, is killing the Democrat Party!",https://twitter.com/realDonaldTrump/status/921709468055896064,33326,19720,88116,realDonaldTrump
10/21/17 11:52,"Budget that just passed is a really big deal, especially in terms of what will be the biggest tax cut in U.S. history - MSM barely covered!",https://twitter.com/realDonaldTrump/status/921705862992887808,9928,15220,67659,realDonaldTrump
10/20/17 23:52,"Great book just out, ""A Place Called Heaven,"" by Dr. Robert Jeffress - A wonderful man!",https://twitter.com/realDonaldTrump/status/921524504836395008,22288,13708,69808,realDonaldTrump
10/20/17 21:10,This is a once-in-a-generation opportunity to offer historic tax relief to the American people! Join me today: https://t.co/9czcJDbmVW https://t.co/s3kXpvbYih,https://twitter.com/realDonaldTrump/status/921483820288921601,16232,15468,61856,realDonaldTrump
10/20/17 18:50,"Today, it was an honor to have @UNSecretary-General @AntonioGuterres at the @WhiteHouse. Speaking for the U.S.A., we appreciate all you do! https://t.co/Sk0Jcazzxw",https://twitter.com/realDonaldTrump/status/921448521617821701,4644,6894,34922,realDonaldTrump
10/20/17 18:31,Thank you @GeraldoRivera @FoxandFriends. Agree! https://t.co/8cZLdAbgzw,https://twitter.com/realDonaldTrump/status/921443729990397952,9395,12757,47309,realDonaldTrump
