name,url,date,wins
Juro Fukuda,http://boxrec.com/boxer/195508,1941-01-24,1
Juro Fukuda,http://boxrec.com/boxer/195508,1941-02-18,2
Juro Fukuda,http://boxrec.com/boxer/195508,1941-02-26,3
Juro Fukuda,http://boxrec.com/boxer/195508,1941-04-06,4
Juro Fukuda,http://boxrec.com/boxer/195508,1941-04-25,5
Juro Fukuda,http://boxrec.com/boxer/195508,1941-07-03,6
Juro Fukuda,http://boxrec.com/boxer/195508,1941-08-04,7
Juro Fukuda,http://boxrec.com/boxer/195508,1941-08-18,8
Juro Fukuda,http://boxrec.com/boxer/195508,1941-09-06,9
Juro Fukuda,http://boxrec.com/boxer/195508,1941-09-22,10
Juro Fukuda,http://boxrec.com/boxer/195508,1941-09-26,11
Juro Fukuda,http://boxrec.com/boxer/195508,1941-11-02,12
Juro Fukuda,http://boxrec.com/boxer/195508,1941-12-18,13
Juro Fukuda,http://boxrec.com/boxer/195508,1941-12-23,14
Juro Fukuda,http://boxrec.com/boxer/195508,1942-01-08,15
Juro Fukuda,http://boxrec.com/boxer/195508,1942-04-05,16
Juro Fukuda,http://boxrec.com/boxer/195508,1942-05-11,17
Juro Fukuda,http://boxrec.com/boxer/195508,1942-06-09,18
Juro Fukuda,http://boxrec.com/boxer/195508,1942-07-30,19
Juro Fukuda,http://boxrec.com/boxer/195508,1943-01-07,20
Juro Fukuda,http://boxrec.com/boxer/195508,1943-01-30,21
Juro Fukuda,http://boxrec.com/boxer/195508,1943-03-03,22
Juro Fukuda,http://boxrec.com/boxer/195508,1943-04-30,23
Juro Fukuda,http://boxrec.com/boxer/195508,1943-05-29,24
Juro Fukuda,http://boxrec.com/boxer/195508,1943-07-12,25
Juro Fukuda,http://boxrec.com/boxer/195508,1943-08-15,26
Juro Fukuda,http://boxrec.com/boxer/195508,1943-11-26,27
Rocky Marciano,http://boxrec.com/boxer/9032,1947-03-17,1
Rocky Marciano,http://boxrec.com/boxer/9032,1948-07-12,2
Rocky Marciano,http://boxrec.com/boxer/9032,1948-07-19,3
Rocky Marciano,http://boxrec.com/boxer/9032,1948-08-09,4
Rocky Marciano,http://boxrec.com/boxer/9032,1948-08-23,5
Rocky Marciano,http://boxrec.com/boxer/9032,1948-08-30,6
Rocky Marciano,http://boxrec.com/boxer/9032,1948-09-13,7
Rocky Marciano,http://boxrec.com/boxer/9032,1948-09-20,8
Rocky Marciano,http://boxrec.com/boxer/9032,1948-09-30,9
Rocky Marciano,http://boxrec.com/boxer/9032,1948-10-04,10
Rocky Marciano,http://boxrec.com/boxer/9032,1948-11-29,11
Rocky Marciano,http://boxrec.com/boxer/9032,1948-12-14,12
Rocky Marciano,http://boxrec.com/boxer/9032,1949-03-21,13
Rocky Marciano,http://boxrec.com/boxer/9032,1949-03-28,14
Rocky Marciano,http://boxrec.com/boxer/9032,1949-04-11,15
Rocky Marciano,http://boxrec.com/boxer/9032,1949-05-02,16
Rocky Marciano,http://boxrec.com/boxer/9032,1949-05-23,17
Rocky Marciano,http://boxrec.com/boxer/9032,1949-07-18,18
Rocky Marciano,http://boxrec.com/boxer/9032,1949-08-16,19
Rocky Marciano,http://boxrec.com/boxer/9032,1949-09-26,20
Rocky Marciano,http://boxrec.com/boxer/9032,1949-10-10,21
Rocky Marciano,http://boxrec.com/boxer/9032,1949-11-07,22
Rocky Marciano,http://boxrec.com/boxer/9032,1949-12-02,23
Rocky Marciano,http://boxrec.com/boxer/9032,1949-12-19,24
Rocky Marciano,http://boxrec.com/boxer/9032,1949-12-30,25
Rocky Marciano,http://boxrec.com/boxer/9032,1950-03-24,26
Rocky Marciano,http://boxrec.com/boxer/9032,1950-06-05,27
Rocky Marciano,http://boxrec.com/boxer/9032,1950-07-10,28
Rocky Marciano,http://boxrec.com/boxer/9032,1950-09-18,29
Rocky Marciano,http://boxrec.com/boxer/9032,1950-11-13,30
Rocky Marciano,http://boxrec.com/boxer/9032,1950-12-18,31
Rocky Marciano,http://boxrec.com/boxer/9032,1951-01-29,32
Rocky Marciano,http://boxrec.com/boxer/9032,1951-03-20,33
Rocky Marciano,http://boxrec.com/boxer/9032,1951-03-26,34
Rocky Marciano,http://boxrec.com/boxer/9032,1951-04-30,35
Rocky Marciano,http://boxrec.com/boxer/9032,1951-07-12,36
Rocky Marciano,http://boxrec.com/boxer/9032,1951-08-27,37
Rocky Marciano,http://boxrec.com/boxer/9032,1951-10-26,38
Rocky Marciano,http://boxrec.com/boxer/9032,1952-02-13,39
Rocky Marciano,http://boxrec.com/boxer/9032,1952-04-21,40
Rocky Marciano,http://boxrec.com/boxer/9032,1952-05-12,41
Rocky Marciano,http://boxrec.com/boxer/9032,1952-07-28,42
Dick Tobin,http://boxrec.com/boxer/118985,1952-08-11,1
Rocky Marciano,http://boxrec.com/boxer/9032,1952-09-23,43
Hilaire Pratesi,http://boxrec.com/boxer/56069,1952-10-20,1
Dick Tobin,http://boxrec.com/boxer/118985,1953-02-07,2
Hilaire Pratesi,http://boxrec.com/boxer/56069,1953-02-23,2
Hilaire Pratesi,http://boxrec.com/boxer/56069,1953-03-19,3
Hilaire Pratesi,http://boxrec.com/boxer/56069,1953-03-28,4
Hilaire Pratesi,http://boxrec.com/boxer/56069,1953-04-15,5
Hilaire Pratesi,http://boxrec.com/boxer/56069,1953-04-23,6
Dick Tobin,http://boxrec.com/boxer/118985,1953-05-09,3
Rocky Marciano,http://boxrec.com/boxer/9032,1953-05-15,44
Hilaire Pratesi,http://boxrec.com/boxer/56069,1953-05-17,7
Hilaire Pratesi,http://boxrec.com/boxer/56069,1953-05-31,8
Hilaire Pratesi,http://boxrec.com/boxer/56069,1953-07-04,9
Rocky Marciano,http://boxrec.com/boxer/9032,1953-09-24,45
Hilaire Pratesi,http://boxrec.com/boxer/56069,1953-10-08,10
Hilaire Pratesi,http://boxrec.com/boxer/56069,1953-11-06,11
Hilaire Pratesi,http://boxrec.com/boxer/56069,1953-11-21,12
Hilaire Pratesi,http://boxrec.com/boxer/56069,1953-12-04,13
Hilaire Pratesi,http://boxrec.com/boxer/56069,1953-12-12,14
Hilaire Pratesi,http://boxrec.com/boxer/56069,1954-01-02,15
Hilaire Pratesi,http://boxrec.com/boxer/56069,1954-02-07,16
Hilaire Pratesi,http://boxrec.com/boxer/56069,1954-03-04,17
Dick Tobin,http://boxrec.com/boxer/118985,1954-04-20,4
Dick Tobin,http://boxrec.com/boxer/118985,1954-05-11,5
Hilaire Pratesi,http://boxrec.com/boxer/56069,1954-06-10,18
Rocky Marciano,http://boxrec.com/boxer/9032,1954-06-17,46
Rocky Marciano,http://boxrec.com/boxer/9032,1954-09-17,47
Hilaire Pratesi,http://boxrec.com/boxer/56069,1954-09-20,19
Joe Devlin,http://boxrec.com/boxer/69735,1954-10-21,1
Hilaire Pratesi,http://boxrec.com/boxer/56069,1954-10-25,20
Joe Devlin,http://boxrec.com/boxer/69735,1954-11-06,2
Hilaire Pratesi,http://boxrec.com/boxer/56069,1954-11-22,21
Joe Devlin,http://boxrec.com/boxer/69735,1954-11-23,3
Hilaire Pratesi,http://boxrec.com/boxer/56069,1954-12-10,22
Dick Tobin,http://boxrec.com/boxer/118985,1955-01-15,6
Hilaire Pratesi,http://boxrec.com/boxer/56069,1955-01-26,23
Hilaire Pratesi,http://boxrec.com/boxer/56069,1955-04-03,24
Hilaire Pratesi,http://boxrec.com/boxer/56069,1955-04-24,25
Rocky Marciano,http://boxrec.com/boxer/9032,1955-05-16,48
Hilaire Pratesi,http://boxrec.com/boxer/56069,1955-06-27,26
Rocky Marciano,http://boxrec.com/boxer/9032,1955-09-21,49
Dick Tobin,http://boxrec.com/boxer/118985,1955-11-01,7
Dick Tobin,http://boxrec.com/boxer/118985,1955-12-20,8
Joe Devlin,http://boxrec.com/boxer/69735,1955-12-29,4
Joe Devlin,http://boxrec.com/boxer/69735,1956-01-12,5
Joe Devlin,http://boxrec.com/boxer/69735,1956-01-30,6
Dick Tobin,http://boxrec.com/boxer/118985,1956-09-08,9
Dick Tobin,http://boxrec.com/boxer/118985,1957-04-23,10
Laszlo Papp,http://boxrec.com/boxer/34798,1957-05-18,1
Laszlo Papp,http://boxrec.com/boxer/34798,1957-06-15,2
Laszlo Papp,http://boxrec.com/boxer/34798,1957-06-28,3
Joe Devlin,http://boxrec.com/boxer/69735,1957-11-21,7
