date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation
2014-7-1,81,70,91,67,89,56,104,1919,2012,0.00,0.10,5.91
2014-7-2,85,74,95,68,89,56,101,2008,1931,0.00,0.10,1.53
2014-7-3,82,71,93,68,89,56,99,2010,1931,0.14,0.11,2.50
2014-7-4,75,64,86,68,89,55,99,1933,1955,0.00,0.10,2.63
2014-7-5,72,60,84,68,89,57,100,1967,1954,0.00,0.10,1.65
2014-7-6,74,61,87,68,89,57,99,1964,1948,0.00,0.10,1.95
2014-7-7,79,67,91,68,89,55,100,1972,1954,0.00,0.11,2.37
2014-7-8,83,72,94,68,89,58,101,1892,2010,0.00,0.11,1.87
2014-7-9,80,71,89,68,89,57,101,1891,1986,0.15,0.12,3.71
2014-7-10,78,71,85,68,89,53,101,1961,1926,0.0,0.11,2.45
2014-7-11,78,68,87,68,89,55,100,1961,1986,0.00,0.12,3.10
2014-7-12,79,67,91,68,89,59,102,1953,1930,0.00,0.11,1.95
2014-7-13,81,69,92,68,89,56,100,1918,1986,0.00,0.12,2.09
2014-7-14,85,74,96,68,89,59,102,2007,1954,0.00,0.12,2.15
2014-7-15,81,67,94,68,89,58,100,2001,1893,0.87,0.12,4.61
2014-7-16,76,66,85,68,89,58,100,2001,1887,0.00,0.12,1.47
2014-7-17,74,63,84,68,89,62,100,1886,1986,0.00,0.12,4.14
2014-7-18,77,70,83,68,89,62,102,1896,1887,0.0,0.12,1.82
2014-7-19,70,66,74,68,89,60,103,2009,1986,0.17,0.12,2.30
2014-7-20,74,65,83,68,89,60,101,1910,1986,0.0,0.12,1.25
2014-7-21,74,70,77,68,89,57,103,1890,1986,1.30,0.12,3.83
2014-7-22,79,72,85,68,89,58,103,2001,1926,0.0,0.12,2.56
2014-7-23,80,69,90,68,89,56,101,2007,1987,0.00,0.13,6.88
2014-7-24,80,71,89,68,89,59,100,1947,1952,0.06,0.12,2.83
2014-7-25,77,68,86,68,89,62,101,1947,2010,0.00,0.13,2.34
2014-7-26,78,66,89,68,89,60,100,1904,2005,0.00,0.13,2.84
2014-7-27,80,70,90,68,89,57,103,1920,1940,0.18,0.13,2.46
2014-7-28,79,68,90,68,89,54,102,1962,1952,0.06,0.13,2.98
