date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation
2014-7-1,70,63,77,63,82,52,107,1886,1985,0.00,0.00,0.09
2014-7-2,70,62,77,63,82,51,102,1887,1985,0.00,0.00,0.00
2014-7-3,72,63,81,63,82,52,100,1902,1985,0.00,0.00,0.00
2014-7-4,72,62,82,63,82,53,103,1900,1907,0.00,0.00,0.07
2014-7-5,75,64,86,63,82,50,100,1886,1907,0.00,0.00,0.02
2014-7-6,73,64,81,63,82,51,94,1894,1992,0.00,0.00,0.03
2014-7-7,77,64,89,63,83,51,96,1894,1954,0.00,0.00,0.02
2014-7-8,77,68,86,63,83,51,95,1894,1886,0.00,0.00,0.13
2014-7-9,75,67,82,63,83,52,100,1901,1985,0.00,0.00,0.05
2014-7-10,76,66,85,63,83,55,103,1903,1959,0.00,0.00,0.00
2014-7-11,73,65,80,64,83,52,97,1878,1959,0.00,0.00,0.04
2014-7-12,74,65,82,64,83,49,98,1888,1953,0.00,0.00,0.05
2014-7-13,75,67,82,64,83,51,98,1888,1990,0.00,0.00,0.02
2014-7-14,74,68,80,64,83,52,98,1908,1984,0.00,0.00,0.24
2014-7-15,76,69,82,64,83,50,98,1893,1886,0.00,0.00,0.00
2014-7-16,74,66,81,64,83,52,96,1894,1930,0.00,0.01,0.02
2014-7-17,73,65,80,64,83,52,98,1894,1998,0.00,0.00,0.01
2014-7-18,72,64,79,64,84,53,97,1884,1936,0.00,0.00,0.36
2014-7-19,71,66,75,64,84,52,97,1884,1960,0.0,0.00,0.02
2014-7-20,73,66,80,64,84,52,100,1892,1960,0.00,0.00,0.00
2014-7-21,74,66,81,64,84,53,96,1903,1960,0.00,0.00,0.00
2014-7-22,75,65,85,64,84,52,101,1880,2006,0.00,0.00,0.10
2014-7-23,77,65,88,64,84,53,97,1903,1890,0.00,0.00,0.08
2014-7-24,79,65,92,64,84,52,103,1882,1891,0.00,0.00,0.00
2014-7-25,79,69,88,64,84,52,109,1903,1891,0.00,0.00,0.04
2014-7-26,77,68,86,64,84,52,100,1886,1891,0.00,0.00,0.04
2014-7-27,76,67,84,64,84,52,102,1903,1972,0.0,0.00,0.00
2014-7-28,78,68,88,64,84,52,101,1883,1995,0.0,0.00,0.01
