date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation
2014-7-1,76,66,86,66,85,48,97,1885,1970,0.13,0.16,5.09
2014-7-2,71,63,79,66,85,50,99,1904,1970,0.00,0.16,4.50
2014-7-3,67,60,73,66,85,49,100,1968,1911,0.0,0.15,1.89
2014-7-4,67,54,79,66,85,48,103,1968,1911,0.00,0.15,2.40
2014-7-5,69,59,79,66,85,49,103,1972,2012,0.00,0.16,3.27
2014-7-6,74,64,83,66,85,48,105,2001,2012,0.03,0.15,1.64
2014-7-7,74,68,79,66,85,54,105,1894,2012,0.0,0.16,4.43
2014-7-8,74,67,81,66,85,51,104,1984,1936,0.32,0.16,2.60
2014-7-9,72,62,81,66,85,52,103,1952,1936,0.00,0.16,2.49
2014-7-10,71,61,80,66,85,50,105,1963,1936,0.00,0.16,1.52
2014-7-11,71,60,81,66,85,52,104,1945,1936,0.00,0.16,2.49
2014-7-12,74,67,80,66,85,53,103,1975,1936,0.07,0.16,2.70
2014-7-13,78,72,84,66,85,49,103,1976,1936,0.00,0.17,2.78
2014-7-14,75,65,85,66,85,48,106,1975,1936,0.39,0.16,2.96
2014-7-15,64,56,71,66,85,51,103,1967,1988,0.00,0.17,2.05
2014-7-16,63,53,72,66,85,49,98,1945,1988,0.00,0.15,2.32
2014-7-17,65,53,77,66,85,51,101,1976,2012,0.00,0.15,3.71
2014-7-18,68,57,78,66,85,51,100,1976,1954,0.00,0.15,2.61
2014-7-19,68,58,77,66,85,50,98,1984,1930,0.00,0.14,1.31
2014-7-20,71,60,81,66,85,49,103,1947,1934,0.00,0.13,4.00
2014-7-21,74,62,85,66,85,46,106,1944,1934,0.00,0.14,1.89
2014-7-22,78,67,88,66,85,49,106,1947,1901,0.00,0.14,1.82
2014-7-23,69,62,76,66,85,46,102,1947,1934,1.61,0.14,1.61
2014-7-24,67,58,76,66,85,52,105,1947,1934,0.00,0.14,1.98
2014-7-25,65,56,74,66,85,51,105,1911,1934,0.0,0.13,2.61
2014-7-26,75,67,82,66,85,51,98,1911,1941,0.10,0.13,2.41
2014-7-27,76,66,85,66,85,51,100,1962,1916,0.22,0.12,1.86
2014-7-28,65,57,73,66,85,51,101,2013,1930,0.00,0.12,2.95
2014-7-29,64,52,75,66,85,51,100,1881,1941,0.21,0.13,0.80
2014-7-30,68,57,78,66,84,51,103,1965,1940,0.02,0.13,1.63
2014-7-31,70,59,80,66,84,49,98,1895,1913,0.00,0.12,2.84
2014-8-1,72,61,82,65,84,53,97,1971,1887,0.01,0.11,2.86
2014-8-2,73,63,82,65,84,52,98,1927,1888,0.0,0.11,2.53
2014-8-3,73,61,84,65,84,50,98,1965,1897,0.00,0.11,1.72
2014-8-4,74,62,85,65,84,49,99,1912,1887,0.0,0.10,3.81
2014-8-5,73,65,81,65,84,51,103,1974,1918,0.00,0.10,1.65
2014-8-6,71,63,79,65,84,50,99,1994,1918,0.00,0.11,4.46
2014-8-7,71,64,78,65,84,49,98,1989,1930,0.00,0.10,1.08
2014-8-8,70,65,74,65,84,48,98,1989,2012,0.03,0.09,1.51
2014-8-9,76,68,83,65,84,50,99,1884,1930,0.0,0.10,2.36
2014-8-10,77,70,84,65,84,50,99,1972,1911,0.13,0.10,1.25
2014-8-11,75,68,82,65,84,52,99,1967,1941,0.10,0.09,2.07
2014-8-12,65,58,71,65,84,47,101,2004,1881,0.0,0.10,1.93
2014-8-13,67,55,79,65,84,48,98,1964,1936,0.00,0.09,3.08
2014-8-14,70,59,81,65,84,48,95,1964,1871,0.0,0.09,2.72
2014-8-15,63,49,77,65,84,45,96,1979,2010,0.00,0.10,2.26
2014-8-16,67,59,75,65,84,50,102,1979,1988,0.09,0.10,1.43
2014-8-17,73,65,81,65,84,52,99,1963,1988,0.03,0.11,3.18
2014-8-18,76,65,86,65,84,48,98,1963,1936,0.00,0.11,1.61
2014-8-19,76,65,86,64,84,50,100,1896,1936,0.50,0.10,1.65
2014-8-20,74,64,83,64,84,50,99,1897,1983,0.0,0.11,2.22
2014-8-21,78,70,86,64,84,47,100,1950,1936,0.16,0.10,1.23
2014-8-22,80,73,86,64,84,46,101,1950,1936,0.02,0.10,1.90
2014-8-23,79,70,88,64,84,46,96,1890,1936,0.81,0.10,2.07
2014-8-24,78,70,86,64,84,49,98,1927,1936,0.00,0.09,1.75
