date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation
2014-7-1,81,72,89,68,83,52,100,1943,1901,0.00,0.12,2.17
2014-7-2,82,72,91,68,83,56,100,2001,1966,0.96,0.13,1.79
2014-7-3,78,69,87,68,83,54,103,1933,1966,1.78,0.12,2.80
2014-7-4,70,65,74,68,84,55,102,1986,1949,0.14,0.13,1.76
2014-7-5,72,63,81,68,84,53,101,1979,1999,0.00,0.12,3.07
2014-7-6,75,66,84,68,84,54,103,1979,2010,0.00,0.13,1.97
2014-7-7,81,72,90,68,84,56,100,1914,2010,0.04,0.13,3.13
2014-7-8,81,71,91,69,84,56,100,1894,1993,0.39,0.14,1.80
2014-7-9,80,71,88,69,84,54,106,1963,1936,0.09,0.14,1.09
2014-7-10,78,72,83,69,84,55,102,1890,1993,0.00,0.15,1.79
2014-7-11,79,71,86,69,84,57,98,1898,1988,0.00,0.15,1.94
2014-7-12,78,71,85,69,84,57,99,1926,1966,0.00,0.15,2.68
2014-7-13,78,72,83,69,84,54,101,1888,1966,0.03,0.17,3.16
2014-7-14,78,72,84,69,84,58,100,1926,1954,0.46,0.16,1.60
2014-7-15,79,72,86,69,84,57,102,1930,1995,1.30,0.15,2.33
2014-7-16,75,68,81,69,84,56,99,1946,1980,0.0,0.16,1.38
2014-7-17,74,67,81,69,84,57,100,1892,1953,0.00,0.15,3.13
2014-7-18,73,64,81,69,84,57,101,1925,1953,0.00,0.15,1.76
2014-7-19,72,68,76,69,84,57,102,1924,1977,0.00,0.16,1.82
2014-7-20,72,66,78,69,84,55,101,1890,1980,0.0,0.15,1.97
2014-7-21,76,67,85,69,84,55,104,1890,1977,0.00,0.15,2.26
2014-7-22,79,71,86,69,84,55,104,1873,2011,0.00,0.14,1.86
2014-7-23,80,72,88,69,84,58,100,1890,2011,0.19,0.15,2.41
2014-7-24,75,70,80,69,84,56,97,1893,1999,0.00,0.15,3.75
2014-7-25,74,66,82,69,84,57,97,1953,1999,0.00,0.15,1.64
2014-7-26,75,69,81,69,84,55,98,1920,1940,0.00,0.16,3.80
2014-7-27,78,71,85,69,84,55,98,1920,1963,0.02,0.16,2.65
2014-7-28,75,68,82,69,84,57,97,1903,1999,0.19,0.17,3.11
2014-7-29,70,64,76,69,84,59,99,1914,1949,0.00,0.17,3.47
2014-7-30,72,63,80,69,84,57,98,1956,1988,0.00,0.17,3.56
2014-7-31,75,68,82,69,84,57,102,1914,1933,0.00,0.17,2.29
2014-8-1,78,71,84,69,84,59,100,1964,1933,0.00,0.16,2.85
2014-8-2,69,63,74,69,84,58,100,1924,1955,0.41,0.16,2.49
2014-8-3,71,66,76,69,84,55,97,1927,2005,0.07,0.17,2.71
2014-8-4,77,70,84,69,84,56,100,1886,1944,0.00,0.16,3.25
2014-8-5,81,71,90,69,84,56,101,1951,1944,0.00,0.16,1.44
2014-8-6,77,70,83,69,84,57,97,1994,1955,0.00,0.16,3.31
2014-8-7,75,66,83,69,84,57,104,1994,1918,0.00,0.15,2.18
2014-8-8,74,65,83,69,84,54,99,1903,2001,0.00,0.15,2.60
2014-8-9,77,66,87,69,84,57,103,1989,2001,0.00,0.15,4.10
2014-8-10,78,68,88,69,83,55,98,1879,1949,0.00,0.14,4.64
2014-8-11,79,71,87,69,83,56,102,1962,1944,0.00,0.14,2.39
2014-8-12,75,70,79,68,83,55,97,1889,1944,0.19,0.14,3.62
2014-8-13,75,68,82,68,83,55,99,1930,2005,0.53,0.14,2.70
2014-8-14,70,63,77,68,83,54,99,1964,1988,0.00,0.15,5.81
2014-8-15,67,61,73,68,83,54,97,1964,1988,0.00,0.14,1.52
2014-8-16,71,63,78,68,83,55,96,1880,1944,0.00,0.15,4.80
2014-8-17,74,66,82,68,83,56,95,1979,1944,0.01,0.14,2.86
2014-8-18,72,63,81,68,83,55,94,1915,2002,0.00,0.14,3.95
2014-8-19,73,63,83,68,83,55,94,1924,2002,0.00,0.15,2.53
2014-8-20,77,70,84,68,82,55,97,1949,1955,0.00,0.14,3.63
2014-8-21,74,65,83,68,82,53,96,1922,1955,0.35,0.15,4.19
2014-8-22,72,65,79,67,82,52,95,1895,1916,0.06,0.14,1.85
2014-8-23,72,67,77,67,82,51,92,1923,1916,0.01,0.14,3.03
2014-8-24,72,64,80,67,82,52,94,1890,1972,0.00,0.14,3.61
2014-8-25,76,64,88,67,82,52,95,1940,1948,0.00,0.14,1.86
2014-8-26,80,70,89,67,81,53,103,1887,1948,0.00,0.12,3.24
2014-8-27,80,70,90,67,81,50,101,1885,1948,0.00,0.13,4.16
2014-8-28,74,66,82,66,81,50,100,1885,1948,0.00,0.13,3.99
2014-8-29,71,61,80,66,81,50,99,1986,1953,0.00,0.12,2.68
2014-8-30,73,65,80,66,81,50,98,1965,1973,0.00,0.12,2.30
2014-8-31,82,73,90,66,80,50,100,1976,1953,0.62,0.12,3.76
2014-9-1,82,75,88,66,80,51,97,1872,1953,0.00,0.13,3.84
2014-9-2,85,77,92,65,80,51,102,1886,1953,0.00,0.13,2.12
2014-9-3,79,72,86,65,80,50,99,1893,1929,0.00,0.13,3.32
2014-9-4,78,69,87,65,79,47,97,1883,1929,0.00,0.14,3.48
2014-9-5,80,72,87,64,79,51,94,1963,1985,0.00,0.13,2.45
2014-9-6,79,67,91,64,79,48,97,1924,1881,0.11,0.13,3.26
2014-9-7,73,65,81,64,78,46,101,1888,1881,0.00,0.14,2.07
2014-9-8,70,65,75,64,78,54,93,1955,1919,0.00,0.13,4.86
2014-9-9,68,63,73,63,78,48,94,1883,1915,0.00,0.13,0.86
2014-9-10,72,63,80,63,77,43,97,1883,1983,0.00,0.13,1.38
2014-9-11,76,69,83,63,77,43,99,1917,1983,0.00,0.13,2.90
2014-9-12,70,62,78,62,77,46,94,1917,1961,0.00,0.14,2.35
2014-9-13,64,58,69,62,76,46,94,1963,1952,0.26,0.14,3.94
2014-9-14,62,53,71,62,76,46,93,1975,1931,0.00,0.14,3.82
2014-9-15,63,55,71,61,76,45,92,1913,1927,0.00,0.15,4.16
2014-9-16,64,58,70,61,75,47,93,1966,1915,0.37,0.15,5.02
2014-9-17,64,55,73,61,75,45,93,1986,1991,0.00,0.15,3.37
2014-9-18,67,57,76,60,75,44,91,1990,1891,0.00,0.15,3.92
2014-9-19,60,54,66,60,74,44,94,1929,1983,0.00,0.15,4.30
