date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation
2014-7-1,77,60,94,54,73,45,94,1948,2014,0.00,0.03,0.75
2014-7-2,70,58,81,54,73,43,93,1954,2015,0.00,0.03,0.50
2014-7-3,64,57,71,54,74,44,92,1954,2015,0.00,0.03,0.47
2014-7-4,66,57,75,54,74,43,92,1949,2015,0.00,0.03,0.57
2014-7-5,66,56,76,55,74,47,91,1951,1958,0.00,0.03,0.64
2014-7-6,72,59,84,55,74,45,94,1949,1960,0.00,0.03,0.44
2014-7-7,73,64,81,55,74,47,90,1955,2010,0.00,0.03,0.58
2014-7-8,73,60,86,55,75,47,95,1950,2010,0.00,0.03,0.80
2014-7-9,69,57,80,55,75,48,93,1960,2010,0.00,0.02,0.81
2014-7-10,70,55,84,55,75,46,90,1960,1945,0.00,0.03,0.38
2014-7-11,74,59,88,55,75,49,98,1960,2007,0.00,0.03,0.25
2014-7-12,76,62,90,55,75,47,97,1954,1961,0.00,0.02,0.64
2014-7-13,72,59,85,56,76,50,93,2010,1961,0.0,0.02,0.85
2014-7-14,71,59,82,56,76,50,91,1982,1996,0.00,0.03,0.74
2014-7-15,73,57,88,56,76,49,92,1982,1958,0.00,0.02,0.11
2014-7-16,73,58,88,56,76,50,98,1968,1979,0.00,0.02,0.65
2014-7-17,69,57,80,56,76,48,96,1950,1979,0.00,0.02,0.35
2014-7-18,64,53,75,56,76,47,93,1952,1995,0.00,0.02,0.29
2014-7-19,69,59,78,56,77,48,95,1962,1988,0.00,0.02,0.45
2014-7-20,63,58,67,56,77,50,100,1953,1994,0.00,0.02,0.60
2014-7-21,66,56,75,56,77,48,97,1951,2006,0.00,0.01,0.29
2014-7-22,63,56,70,56,77,49,96,1973,2006,0.01,0.02,0.33
2014-7-23,61,56,66,56,77,47,99,1955,1991,0.76,0.02,0.76
2014-7-24,62,55,69,56,77,43,95,1953,2004,0.0,0.02,0.28
2014-7-25,64,54,73,56,77,47,94,1954,1988,0.00,0.02,0.40
