RespondentID,Do you typically check a daily weather report?,How do you typically check the weather?,A specific website or app (please provide the answer),"If you had a smartwatch (like the soon to be released Apple Watch), how likely or unlikely would you be to check the weather on that device?",Age,What is your gender?,How much total combined money did all members of your HOUSEHOLD earn last year?,US Region
3887201482,Yes,The default weather app on your phone,-,Very likely,30 - 44,Male,"$50,000 to $74,999",South Atlantic
3887159451,Yes,The default weather app on your phone,-,Very likely,18 - 29,Male,Prefer not to answer,-
3887152228,Yes,The default weather app on your phone,-,Very likely,30 - 44,Male,"$100,000 to $124,999",Middle Atlantic
3887145426,Yes,The default weather app on your phone,-,Somewhat likely,30 - 44,Male,Prefer not to answer,-
3887021873,Yes,A specific website or app (please provide the answer),Iphone app,Very likely,30 - 44,Male,"$150,000 to $174,999",Middle Atlantic
3886937140,Yes,A specific website or app (please provide the answer),AccuWeather App,Somewhat likely,18 - 29,Male,"$100,000 to $124,999",West South Central
3886923931,Yes,The Weather Channel,-,Very unlikely,30 - 44,Male,"$25,000 to $49,999",West South Central
3886913587,Yes,-,-,-,-,-,-,-
3886889048,Yes,The Weather Channel,-,Very likely,30 - 44,Male,Prefer not to answer,Pacific
3886848806,Yes,The default weather app on your phone,-,Very likely,30 - 44,Male,"$150,000 to $174,999",West North Central
3886782609,No,Internet search,-,Somewhat unlikely,18 - 29,Male,"$0 to $9,999",Pacific
3886416355,No,The default weather app on your phone,-,Somewhat likely,30 - 44,Male,"$100,000 to $124,999",East North Central
3886356706,No,-,-,-,-,-,-,-
3886328736,Yes,Local TV News,-,Very likely,30 - 44,Male,"$0 to $9,999",Middle Atlantic
3886284495,No,The Weather Channel,-,Very unlikely,18 - 29,Male,"$10,000 to $24,999",Middle Atlantic
3886283555,Yes,Internet search,-,Somewhat likely,18 - 29,Male,"$75,000 to $99,999",Middle Atlantic
3886272525,Yes,The default weather app on your phone,-,Very likely,30 - 44,Male,"$10,000 to $24,999",Mountain
3886261814,Yes,A specific website or app (please provide the answer),nice,Very likely,30 - 44,Male,"$25,000 to $49,999",Middle Atlantic
3886258514,Yes,Local TV News,-,Very unlikely,30 - 44,Female,"$25,000 to $49,999",West South Central
